E,U,Frekans,Kaynak_IDler
Genk,(https://tr.wikipedia.org/wiki/KRC_Genk),6,"Kevin De Bruyne#4: Profesyonel kariyerine Genk 'te başlayan De Bruyne, 2010-11 Belçika Profesyonel Ligi 'ni kazandı. 2012 yılında İngiliz kulübü Chelsea 'ye katıldı ve burada forma şansı bulamayıp Werder Bremen 'e kiralandı. 2014'te 18 milyon sterlin karşılığında Wolfsburg 'la anlaştı ve burada Bundesliga 'nın en iyi oyuncularından biri olarak kendini kanıtladı ve kulübün 2014-15 DFB-Pokal zaferinin ayrılmaz bir parçası oldu. 2015 yazında De Bruyne, kulüp rekoru olan 54 milyon Sterlin karşılığında Manchester City'e katıldı. | Kevin De Bruyne#12: Hayatının bu döneminde genç takımdan kazandığı gelir ile idare etti, ailesinden maddi anlamda destek almadı. 14 yaşındayken Genk 'e transfer oldu. Genk'teki ilk yıllarında takımın anlaşmalı olduğu bir aile ile yaşamaya başladı fakat kapalı bir karaktere sahip olduğu için bir süre sonra aile tarafından istenmedi. | Kevin De Bruyne#14: 2008 yılında Genk 'in altyapısından A takıma yükseldi. 2008 - 2009 sezonunda ilk kez ligin 8. haftasında oynanan FC Dender maçında kadroda yer aldı fakat süre bulamadı. | Kevin De BruyneCard#9: Genk | Kevin De BruyneCard#11: Genk | Kevin De BruyneCard#13: → Genk (kiralık)"
Manchester City,(https://tr.wikipedia.org/wiki/Manchester_City_FC),3,"Kevin De Bruyne#25: Wolfsburg 'da, 73 maçta 20 gol 37 asist yapmıştır ve 80 milyon euro karşılığında Manchester City 'ye transfer oldu, aynı zamanda Bundesliga 'dan en yüksek ücretle ayrılan oyuncu oldu. | Kevin De Bruyne#26: 30 Ağustos 2015 tarihinde Manchester City , De Bruyne'nin kulüp rekoru olan 55 milyon sterlin (75 milyon avro) karşılığında altı yıllık bir sözleşme imzaladığını duyurdu ve De Bruyne, 2014 yılında Ángel Di María 'nın Manchester United 'a transferinden sonra İngiliz futbol tarihinin en pahalı ikinci transferi oldu. Premier League 'deki ilk maçına 12 Eylül'de Crystal Palace karşısında çıktı ve 25. dakikada sakatlanan Sergio Agüero 'nun yerine oyuna dahil oldu. 19 Eylül'de West Ham United karşısında 2-1 kaybedilen maçta, kulüp adına ilk golünü attı. Daha sonra 22 Eylül'de Sunderland 'e karşı alınan 4-1'lik Lig Kupası galibiyetinde ve 26 Eylül'de Premier League'de Tottenham Hotspur 'a karşı alınan 4-1'lik mağlubiyette gol attı. 3 Ekim'de takımının Newcastle United 'a karşı aldığı 6-1'lik galibiyette gol attı. | Kevin De BruyneCard#16: Manchester City"
Wolfsburg,(https://tr.wikipedia.org/wiki/VfL_Wolfsburg),3,"Kevin De Bruyne#4: Profesyonel kariyerine Genk 'te başlayan De Bruyne, 2010-11 Belçika Profesyonel Ligi 'ni kazandı. 2012 yılında İngiliz kulübü Chelsea 'ye katıldı ve burada forma şansı bulamayıp Werder Bremen 'e kiralandı. 2014'te 18 milyon sterlin karşılığında Wolfsburg 'la anlaştı ve burada Bundesliga 'nın en iyi oyuncularından biri olarak kendini kanıtladı ve kulübün 2014-15 DFB-Pokal zaferinin ayrılmaz bir parçası oldu. 2015 yazında De Bruyne, kulüp rekoru olan 54 milyon Sterlin karşılığında Manchester City'e katıldı. | Kevin De Bruyne#25: Wolfsburg 'da, 73 maçta 20 gol 37 asist yapmıştır ve 80 milyon euro karşılığında Manchester City 'ye transfer oldu, aynı zamanda Bundesliga 'dan en yüksek ücretle ayrılan oyuncu oldu. | Kevin De BruyneCard#15: Wolfsburg"
Chelsea,(https://tr.wikipedia.org/wiki/Chelsea_FC),3,"Kevin De Bruyne#4: Profesyonel kariyerine Genk 'te başlayan De Bruyne, 2010-11 Belçika Profesyonel Ligi 'ni kazandı. 2012 yılında İngiliz kulübü Chelsea 'ye katıldı ve burada forma şansı bulamayıp Werder Bremen 'e kiralandı. 2014'te 18 milyon sterlin karşılığında Wolfsburg 'la anlaştı ve burada Bundesliga 'nın en iyi oyuncularından biri olarak kendini kanıtladı ve kulübün 2014-15 DFB-Pokal zaferinin ayrılmaz bir parçası oldu. 2015 yazında De Bruyne, kulüp rekoru olan 54 milyon Sterlin karşılığında Manchester City'e katıldı. | Kevin De Bruyne#23: Bir sonraki hafta Club Brugge deplasmanında 4-5 galip geldikleri maçta kariyerinin ilk hat trickine imza attı. 23. hafta oynanan Oud-Heverlee Leuven maçında 2 gol kaydetti. 2011 - 2012 sezonunun genelinde 36 maça çıktı, 8 gol atıp 15 asist yaptı. 2011 - 2012 sezonunun kış transfer döneminde İngiliz ekiplerinden Chelsea ile 5 yıllığına anlaştı ve sezonun bitmesiyle birlikte Chelsea dönemi başladı. | Kevin De BruyneCard#12: Chelsea"
Belçika | Belçika millî takımında,(https://tr.wikipedia.org/wiki/Bel%C3%A7ika_mill%C3%AE_futbol_tak%C4%B1m%C4%B1),3,"Kevin De Bruyne#8: De Bruyne, ilk uluslararası maçına 2010 yılında çıktı ve o tarihten bu yana Belçika adına 90'dan fazla kez millî formayı giydi ve 26 gol attı. Hem 2014 FIFA Dünya Kupası 'nda hem de 2016 Avrupa Futbol Şampiyonası 'nda çeyrek finale yükselen Belçika kadrolarının bir üyesiydi. | Kevin De BruyneCard#22: Belçika | Kevin De Bruyne#24: 2014-2015 sezonu Bundesliga 'da yılın futbolcusu seçilmiştir. Belçika millî takımında aktif futbol oynamaktadır."
Gent,(https://tr.wikipedia.org/wiki/KAA_Gent),3,"Kevin De Bruyne#11: İki yıl bu takımın altyapısında futbol oynadıktan sonra ailesinden uzaklaşıp Gent 'e transfer oldu. Gent yıllarında gösterdiği performans ile Belçika basınının dikkatini çekti, o dönem Belçika'da futbolun kötü hâlde olması sebebiyle Belçika futbolunun gelecekteki önemli yüzlerinden birisi olacağı tahmin edilmeye başlandı. | Kevin De Bruyne#19: Aynı sezon ligde ilk golünü 2. hafta oynanan Gent deplasmanında attı. Bir sonraki hafta Charleroi SC ile oynanan, 60 dakika sahada kaldığı maçta 2 gol 1 asistlik performans sergiledi. 2010 - 2011 sezonunun genelinde 35 maça çıktı, 6 gol atıp 17 asist yaptı. | Kevin De BruyneCard#8: Gent"
Napoli | SSC Napoli,(https://tr.wikipedia.org/wiki/SSC_Napoli),3,"Kevin De Bruyne#1: Kevin De Bruyne (d. 28 Haziran 1991), merkezi orta saha mevkiinde oynayan Belçikalı millî futbolcudur . Serie A ekibi Napoli 'de forma giymektedir. | Kevin De BruyneCard#6: SSC Napoli | Kevin De BruyneCard#17: SSC Napoli"
Bundesliga,(https://tr.wikipedia.org/wiki/Bundesliga),3,"Kevin De Bruyne#4: Profesyonel kariyerine Genk 'te başlayan De Bruyne, 2010-11 Belçika Profesyonel Ligi 'ni kazandı. 2012 yılında İngiliz kulübü Chelsea 'ye katıldı ve burada forma şansı bulamayıp Werder Bremen 'e kiralandı. 2014'te 18 milyon sterlin karşılığında Wolfsburg 'la anlaştı ve burada Bundesliga 'nın en iyi oyuncularından biri olarak kendini kanıtladı ve kulübün 2014-15 DFB-Pokal zaferinin ayrılmaz bir parçası oldu. 2015 yazında De Bruyne, kulüp rekoru olan 54 milyon Sterlin karşılığında Manchester City'e katıldı. | Kevin De Bruyne#24: 2014-2015 sezonu Bundesliga 'da yılın futbolcusu seçilmiştir. Belçika millî takımında aktif futbol oynamaktadır. | Kevin De Bruyne#25: Wolfsburg 'da, 73 maçta 20 gol 37 asist yapmıştır ve 80 milyon euro karşılığında Manchester City 'ye transfer oldu, aynı zamanda Bundesliga 'dan en yüksek ücretle ayrılan oyuncu oldu."
UEFA Şampiyonlar Ligi | Şampiyonlar Ligi,(https://tr.wikipedia.org/wiki/UEFA_%C5%9Eampiyonlar_Ligi),3,"Kevin De Bruyne#20: Kariyerinin ilk Şampiyonlar Ligi maçına 26 Temmuz 2011 tarihinde Partizan ile oynanan maçta çıktı, takımının 2-1 galip geldiği maçta ikinci golün asistini yaptı. | Kevin De Bruyne#5: O zamandan beri kulüple UEFA Şampiyonlar Ligi , beş Premier League şampiyonluğu , beş EFL Cup ve iki FA Cup kazandı. 2017-18 sezonunda Manchester City'nin bir sezonda 100 puana ulaşan tek Premier League takımı olma rekorunda önemli bir rol oynadı. | Kevin De Bruyne#28: Sadece 18 gün sonra, 20 Ekim'de FIFA tarafından Ballon d'Or için 23 kişilik kısa listedeki oyunculardan biri olarak açıklandı. 21 Ekim'de De Bruyne, UEFA Şampiyonlar Ligi 'nde Sevilla 'ya karşı uzatma dakikalarında attığı golle City'yi üç maç kala grup lideri Juventus 'un bir puan gerisine taşıdı. 1 Aralık'ta Hull City karşısında alınan 4-1'lik galibiyette attığı golle Manchester City'yi Lig Kupası'nda yarı finale taşıdı."
Werder Bremen,(https://tr.wikipedia.org/wiki/SV_Werder_Bremen),2,"Kevin De Bruyne#4: Profesyonel kariyerine Genk 'te başlayan De Bruyne, 2010-11 Belçika Profesyonel Ligi 'ni kazandı. 2012 yılında İngiliz kulübü Chelsea 'ye katıldı ve burada forma şansı bulamayıp Werder Bremen 'e kiralandı. 2014'te 18 milyon sterlin karşılığında Wolfsburg 'la anlaştı ve burada Bundesliga 'nın en iyi oyuncularından biri olarak kendini kanıtladı ve kulübün 2014-15 DFB-Pokal zaferinin ayrılmaz bir parçası oldu. 2015 yazında De Bruyne, kulüp rekoru olan 54 milyon Sterlin karşılığında Manchester City'e katıldı. | Kevin De BruyneCard#14: → Werder Bremen (kiralık)"
