E,U,Frekans,Kaynak_IDler
AC Milan | Milan,https://tr.wikipedia.org/wiki/AC_Milan,4,"Gennaro GattusoCard#12: Milan | Gennaro GattusoCard#21: Milan | Gennaro Gattuso#4: Başlangıçta Perugia , Salernitana ve Rangers 'ta oynadı, 1999'da efsanesi olacağı AC Milan 'a transfer oldu ve kulüple 2002-03 ve 2006-07 'de olmak üzere iki kez UEFA Şampiyonlar Ligi 'ni kazandı. | Gennaro Gattuso#12: Gattuso, AC Milan tarafından 1999 yazında Salernitana 'dan 8 milyon € karşılığında satın alındı."
İtalya,https://tr.wikipedia.org/wiki/%C4%B0talya_mill%C3%AE_futbol_tak%C4%B1m%C4%B1,3,Gennaro GattusoCard#6: İtalya (teknik direktör) | Gennaro GattusoCard#17: İtalya | Gennaro GattusoCard#26: İtalya
Perugia,https://tr.wikipedia.org/wiki/AC_Perugia_Calcio,3,"Gennaro Gattuso#4: Başlangıçta Perugia , Salernitana ve Rangers 'ta oynadı, 1999'da efsanesi olacağı AC Milan 'a transfer oldu ve kulüple 2002-03 ve 2006-07 'de olmak üzere iki kez UEFA Şampiyonlar Ligi 'ni kazandı. | Gennaro GattusoCard#7: Perugia | Gennaro GattusoCard#9: Perugia"
Salernitana,https://tr.wikipedia.org/wiki/US_Salernitana_1919,3,"Gennaro Gattuso#4: Başlangıçta Perugia , Salernitana ve Rangers 'ta oynadı, 1999'da efsanesi olacağı AC Milan 'a transfer oldu ve kulüple 2002-03 ve 2006-07 'de olmak üzere iki kez UEFA Şampiyonlar Ligi 'ni kazandı. | Gennaro Gattuso#12: Gattuso, AC Milan tarafından 1999 yazında Salernitana 'dan 8 milyon € karşılığında satın alındı. | Gennaro GattusoCard#11: Salernitana"
Rangers,https://tr.wikipedia.org/wiki/Rangers_FC,2,"Gennaro Gattuso#4: Başlangıçta Perugia , Salernitana ve Rangers 'ta oynadı, 1999'da efsanesi olacağı AC Milan 'a transfer oldu ve kulüple 2002-03 ve 2006-07 'de olmak üzere iki kez UEFA Şampiyonlar Ligi 'ni kazandı. | Gennaro GattusoCard#10: Rangers"
Hajduk Split,https://tr.wikipedia.org/wiki/HNK_Hajduk_Split,2,"Gennaro Gattuso#11: Daha sonra Fiorentina , Valencia ve Marsilya 'da kısa süreli teknik direktörlük görevlerinin ardından Haziran 2024'te Hırvat kulübü Hajduk Split 'in başına geçti. 16 Haziran 2025 tarihinde İtalya milli takımının teknik direktörü olarak görevlendirildi. | Gennaro GattusoCard#25: Hajduk Split"
OFI Crete | OFİ,https://tr.wikipedia.org/wiki/OF%C4%B0,2,"Gennaro GattusoCard#19: OFİ | Gennaro Gattuso#7: Gattuso'nun antrenörlük kariyeri, son kulübü olan İsviçre Süper Ligi takımlarından Sion 'da oyuncu-antrenör olarak başladı ve kısa sürelerle Palermo ve OFI Crete 'nin başında da görev yaptı."
Sion | İsviçre Süper Ligi U:(https://tr.wikipedia.org/wiki/Super_League_(%C4%B0svi%C3%A7re))___ takımlarından ___E:Sion,https://tr.wikipedia.org/wiki/FC_Sion,2,"Gennaro GattusoCard#13: Sion | Gennaro Gattuso#7: Gattuso'nun antrenörlük kariyeri, son kulübü olan İsviçre Süper Ligi takımlarından Sion 'da oyuncu-antrenör olarak başladı ve kısa sürelerle Palermo ve OFI Crete 'nin başında da görev yaptı."
Valencia,https://tr.wikipedia.org/wiki/Valencia_CF,2,"Gennaro Gattuso#11: Daha sonra Fiorentina , Valencia ve Marsilya 'da kısa süreli teknik direktörlük görevlerinin ardından Haziran 2024'te Hırvat kulübü Hajduk Split 'in başına geçti. 16 Haziran 2025 tarihinde İtalya milli takımının teknik direktörü olarak görevlendirildi. | Gennaro GattusoCard#23: Valencia"
Napoli,https://tr.wikipedia.org/wiki/SSC_Napoli,2,Gennaro Gattuso#9: Daha sonra 2017-2019 yılları arasında eski kulübü Milan'ın hem genç takımını hem de A takımını çalıştırdı ve aynı yıl Napoli 'nin teknik direktörlüğüne getirildi. | Gennaro GattusoCard#22: Napoli
Pisa,https://tr.wikipedia.org/wiki/Pisa_SC,2,Gennaro Gattuso#8: Haziran 2016'da Pisa 'yı Serie B 'ye yükseltti. | Gennaro GattusoCard#20: Pisa
Palermo,https://tr.wikipedia.org/wiki/Palermo_FC,2,"Gennaro Gattuso#7: Gattuso'nun antrenörlük kariyeri, son kulübü olan İsviçre Süper Ligi takımlarından Sion 'da oyuncu-antrenör olarak başladı ve kısa sürelerle Palermo ve OFI Crete 'nin başında da görev yaptı. | Gennaro GattusoCard#18: Palermo"
Marsilya,https://tr.wikipedia.org/wiki/Olympique_de_Marseille,2,"Gennaro Gattuso#11: Daha sonra Fiorentina , Valencia ve Marsilya 'da kısa süreli teknik direktörlük görevlerinin ardından Haziran 2024'te Hırvat kulübü Hajduk Split 'in başına geçti. 16 Haziran 2025 tarihinde İtalya milli takımının teknik direktörü olarak görevlendirildi. | Gennaro GattusoCard#24: Marsilya"
UEFA Şampiyonlar Ligi,https://tr.wikipedia.org/wiki/2003_UEFA_%C5%9Eampiyonlar_Ligi_finali,1,"Gennaro Gattuso#15: Kulüpte geçirdiği süre boyunca Gattuso'nun çalışma temposu ve top kazanmadaki çok yönlülüğü, Milan teknik direktörü Carlo Ancelotti 'nin orta sahadaki oyun kurucu Andrea Pirlo 'yu daha yaratıcı ve hücumcu bir pozisyonda onun yanına yerleştirmesine, Gattuso'nun ise daha derin bir rolde, defansif bir orta saha oyuncusu olarak ona destek olmasına olanak sağladı; Bu orta saha ortaklığı, Milan'ın Ancelotti yönetiminde elde ettiği, 2003 yılında Coppa Italia, UEFA Şampiyonlar Ligi ve UEFA Süper Kupası 'nın yanı sıra 2004 yılında Serie A şampiyonluğu ve Supercoppa Italiana 'yı da içeren ulusal ve uluslararası başarılarda çok önemli bir rol oynadı."
Andrea Pirlo,https://tr.wikipedia.org/wiki/Andrea_Pirlo,1,"Gennaro Gattuso#15: Kulüpte geçirdiği süre boyunca Gattuso'nun çalışma temposu ve top kazanmadaki çok yönlülüğü, Milan teknik direktörü Carlo Ancelotti 'nin orta sahadaki oyun kurucu Andrea Pirlo 'yu daha yaratıcı ve hücumcu bir pozisyonda onun yanına yerleştirmesine, Gattuso'nun ise daha derin bir rolde, defansif bir orta saha oyuncusu olarak ona destek olmasına olanak sağladı; Bu orta saha ortaklığı, Milan'ın Ancelotti yönetiminde elde ettiği, 2003 yılında Coppa Italia, UEFA Şampiyonlar Ligi ve UEFA Süper Kupası 'nın yanı sıra 2004 yılında Serie A şampiyonluğu ve Supercoppa Italiana 'yı da içeren ulusal ve uluslararası başarılarda çok önemli bir rol oynadı."
2002-03,https://tr.wikipedia.org/wiki/2002-03_UEFA_%C5%9Eampiyonlar_Ligi,1,"Gennaro Gattuso#4: Başlangıçta Perugia , Salernitana ve Rangers 'ta oynadı, 1999'da efsanesi olacağı AC Milan 'a transfer oldu ve kulüple 2002-03 ve 2006-07 'de olmak üzere iki kez UEFA Şampiyonlar Ligi 'ni kazandı."
