E,U,Frekans,Kaynak_IDler
Arjantin | Arjantin millî futbol takımıin | Arjantin millî futbol takımında | Arjantin millî futbol takımının | Arjantin millî takımı | Arjantin millî takımının,(https://tr.wikipedia.org/wiki/Arjantin_mill%C3%AE_futbol_tak%C4%B1m%C4%B1),10,"Lionel Messi#198: Messi, 2014 FIFA Dünya Kupası 'da Arjantin millî futbol takımının kadrosunda kaptan olarak kendine yer buldu. | Lionel Messi#201: 2021 Copa América , Messi için millî takım kariyerindeki en önemli an sayılabilir. 34 yaşına kadar Arjantin millî takımı ile hiçbir şampiyonluk elde edemeyen Messi, kariyerinin ilk millî takım şampiyonluğunu bu turnuvada elde etmiştir. | Lionel Messi#159: Arjantin millî futbol takımında ise ilk maçına 17 Ağustos 2005'te, 18 yaşında Macaristan 'a karşı çıktı. 63. dakikada oyuna girdiği maçta, formasını çeken Vilmos Vanczák 'a attığı dirsek yüzünden 2 dakika içinde hakem Markus Merk tarafından oyundan atıldı. | Lionel Messi#92: Messi, 2014 FIFA Ballon d'Or 'da Cristiano Ronaldo 'nun arkasında ikinci oldu. Bu ikincilik büyük ölçüde Arjantin 'in Dünya Kupası 'nda elde ettiği ikincilik başarısı sayesindedir. | Lionel Messi#145: Messi'nin normal sezondaki ilk golü, oyların %89,7'sini alarak Maç Gününün Golünü kazandırdı. 30 Ekim'de, Arjantin 'le kazandığı Dünya Kupası ve PSG ile Ligue 1 kupasını kazanan Messi, rekora imza atan sekizinci Ballon d'Or ile ödüllendirildi. | Lionel Messi#199: Grup aşamasında attığı 4 Gol ile takımının son 16'ya kalmasında büyük rol oynadı. Arjantin bu şekilde finale kadar yükseldi; ancak finalde Almanya'ya Mario Götze 'nin uzatmalarda attığı gol ile 1-0 mağlup oldu ve 2014 FIFA Dünya Kupası 'nı 2. olarak tamamladı. | Lionel Messi#207: Uzatmalar sonrası 2-2 biten ve penaltılara giden maçı Arjantin 4-3 kazanırken takımın ilk seri penaltı vuruşunu Messi kullandı. | Lionel MessiCard#19: Arjantin | Lionel Messi#196: Messi, 2011 Copa América turnuvasında Arjantin millî futbol takımıin kadrosunda yer aldı. Turnuvada Messi 3 asist yaptı ama gol atmayı başaramadı. 1-1 berabere kaldıkları Bolivya ve 3-0 kazandıkları Kosta Rika maçlarında maçın adamı seçildi. | Lionel Messi#1: Lionel Andrés Messi [a] (d. 24 Haziran 1987, Rosario ), ayrıca Leo Messi olarak da bilinir, Major League Soccer takımlarından Inter Miami 'de forma giyen ve Arjantin millî takımının kaptanlığını yapan Arjantinli futbolcudur ."
Barcelona,(https://tr.wikipedia.org/wiki/FC_Barcelona),9,"Lionel Messi#4: Kulüpten ayrılmadan önce bütün profesyonel kariyerini Barcelona 'da geçirmiş; orada on La Liga şampiyonluğu, yedi Copa del Rey ve dört UEFA Şampiyonlar Ligi de dâhil olmak üzere 35 kupa kazanmış, toplamda ise 46 kupa kazanmıştır. La Liga'da en çok gol (474) atan, en çok Hat trick (36) yapan ve en çok asist (192) yapan oyuncu rekorlarını elinde tutmaktadır. | Lionel Messi#22: Messi 5 yaşında, babasının antrenörlüğünü yaptığı Grandoli adlı futbol takımında forma giymeye başladı. 1995'te, doğduğu şehir Rosairo'nun takımı Newell's Old Boys 'un altyapısına geçti. 11 yaşında kendisine büyüme hormonu eksikliği teşhisi konuldu. Primera División (Arjantin) ekiplerinden River Plate , Messi'nin tedavisine yardım etmek istese de aylık 900 $'lık tedavi masrafını karşılayacak paraları olmadığını söylediler. Barcelona 'nın sportif direktörü Carles Rexach , Messi'nin Lleida , Katalonya 'daki akrabaları sayesinde kendisinin yeteneğinden haberdardı ve bir müddet sonra oyuncu ile babasına deneme süreci önerdi. | Lionel Messi#25: Messi, Barcelona forması altındaki ilk maçına 16 Kasım 2003 tarihinde daha 16 yaş 145 günlükken hazırlık maçında Porto 'ya karşı çıktı. | Lionel Messi#33: 16 Eylül 2005'te, 3 ay içinde ikinci kez, Barcelona , Messi'nin kontratını uzattığını açıkladı. | Lionel Messi#73: 2011 UEFA Süper Kupası 'nda ise Barcelona , Porto 'yu 2-0 yenerken maçın ilk golünü atan Messi, ikinci golde de Fabregas 'a asist yapan yapan isim oldu. Bu sonuçla 2009 'dan sonra kariyerinde ikinci kez bu kupayı kazanmış oldu. | Lionel Messi#140: PSG 'den ayrıldığının doğrulanmasının ardından, 5 Haziran 2023'e kadar Barcelona başkanı Joan Laporta 'ya iletildi. | Lionel Messi#224: Aynı zamanda Barcelona takımının da UNICEF ile birlikte güçlü bir ilişkisi de bulunmaktadır. | Lionel MessiCard#10: Barcelona | Lionel MessiCard#14: Barcelona"
Real Madrid | Real Madrid'i,(https://tr.wikipedia.org/wiki/Real_Madrid_CF),8,"Lionel Messi#42: Messi, bir frikik golü ve bir asist yaparak, Barça'nın maçı 6-1 kazanmasına yardım etti. Messi, Sevilla maçında da 23 metreden attığı vole golü ve sonra kaleciyi çalımlayıp, dar açıdan attığı golle dikkat çekti. 13 Aralık 2008 tarihindeki ilk El Clasico 'da Barcelona, Real Madrid 'i 2-0 yenerken, Messi ikinci golü kaydetti. | Lionel Messi#47: La Liga'nın 28. haftasında Messi, Malaga 'yı 6-0 yenerlerken sezon içindeki 30. golünü attı. 8 Nisan 2009 tarihinde Şampiyonlar Ligi'nde Bayern Münih 'e iki gol atarken, bu turnuvada 8 gol atarak kendi rekorunu kırdı. 18 Nisan 2009 tarihinde Getafe 'yi 1-0 yenerlerken, 20. lig golünü atmış oldu. Böylece ligde Barcelona ile Real Madrid 'in arasında 6 puan fark olmasını ve Barcelona'nın Real Madrid ile yapacağı maç öncesinde haftaya avantajlı girmesini sağladı. | Lionel Messi#63: Bu maç sonunda Şampiyonlar Ligi'nde en çok gol atan Barcelonalı unvanını Rivaldo 'dan kaptı. 10 Nisan 2010 tarihinde 2-0 kazandıkları Real Madrid maçında bir gol kaydetti ve sezonun 40. golünü attı. Messi, 1 Mayıs 2010 tarihinde ise Villareal 'e karşı 4-1 kazandıkları maçta 2 gol attı. 4 Mayıs 2010 tarihinde Tenerife'ye karşı 4-1 kazandıkları maçta yine 2 gol kaydetti. 8 Mayıs 2010 tarihinde ise Sevilla'ya karşı sezonun 32. golünü kaydetti ve ligin son haftasında Valladolid 'e karşı 2 gol daha attı. Messi, böylece Ronaldo 'nun 1996-97 sezonunda (yani bir sezonda) attığı 34 gollük rekorunu egale etti ve 3 Haziran 2010 tarihinde kendisinden 4 gol önde olan Telmo Zarra adına düzenlenen La Liga Yılın Oyuncusu ödülüne layık görüldü. | Lionel Messi#72: Barcelona, iki maçın sonunda Real Madrid 'i 5-4 yendi ve Supercopa de España 'yın sahibi oldu. | Lionel Messi#89: 16 Mart'ta Osasuna 'ya karşı hat-trick yaptı ve Paulino Alcantara 'yı geçerek Barcelona tarihinin en golcü oyuncusu oldu. 23 Mart'ta Real Madrid 'e karşı hat-trick yaparak El Clasico'nun en skorer oyuncusu ve Hugo Sanchez 'i geçerek La Liga tarihinin en golcü 2. oyuncusu oldu. | Lionel Messi#105: 2019-20 sezonunda Barcelona, Supercopa de España 'da yarı finalde Atlético Madrid 'e, Copa del Rey 'de çeyrek finalde Athletic Bilbao 'ya elendi; La Liga şampiyonluğunu Real Madrid 'e kaptırdı. Şampiyonlar Ligi 'nde ise Bayern Münih 'e çeyrek finalde 2-8 mağlup olarak büyük bir hezimet yaşadı. | Lionel Messi#130: 2 Ocak 2022'de PSG, Messi'nin COVID-19 testinin pozitif çıktığını ve bunun sonucunda iki lig ve bir kupa maçını kaçıracağını duyurdu. 23 Ocak'ta takıma geri dönen Messi, yedekten girdiği maçta Reims 'i 4-0 mağlup ettikleri maçta 1 asist yapmayı başardı. UEFA Şampiyonlar Ligi 'nde son 16 turunda İspanyol takımı Real Madrid 'e elenmelerinin ardından 13 Mart'ta ligde oynadıkları Bordeaux maçında takım arkadaşı Neymar ile birlikte bazı PSG taraftarları tarafından yuhalandı. | Lionel Messi#94: Messi, 2015-16 sezonunu, UEFA Süper Kupası'nda Barcelona'nın Sevilla'ya karşı 5-4 galibiyetinde (uzatmaların ardından) serbest vuruşlardan iki gol atarak açtı. 16 Eylül'de, deplasmanda Roma ile 1-1 berabere kaldığı UEFA Şampiyonlar Ligi'nde 100 maça çıkan en genç oyuncu oldu. Dizinden sakatlandıktan sonra 21 Kasım'da sahaya döndü ve El Clásico'da Barcelona'nın deplasmanda Real Madrid'i 4-0 yendiği maçta yedek oyuncu olarak yer aldı. Messi, 2015 FIFA Kulüpler Dünya Kupası Finalini kazanarak yılı kapattı. 20 Aralık'ta, Barcelona'nın Yokohama'da River Plate'i 3-0 mağlup etmesiyle 2015'in beşinci kulüp kupasını topladı. 30 Aralık'ta Messi, Barcelona formasıyla 500. kez Real Betis'i 4-0 yendikleri maçta gol attı."
Cristiano Ronaldo | Cristiano Ronaldo'nun,(https://tr.wikipedia.org/wiki/Cristiano_Ronaldo),7,"Lionel Messi#96: Messi, yılı 51 golle tamamlayarak Zlatan Ibrahimović'in bir önünde Avrupa'nın en çok gol atan oyuncusu oldu. 2016 Ballon d'Or'da ikinci olduktan sonra, 9 Ocak 2017'de Messi, 2016 En İyi FIFA Erkek Oyuncu Ödülü'nü bir kez daha Cristiano Ronaldo'nun arkasında ikinci sırada tamamladı. | Lionel Messi#57: İkinci gelen Cristiano Ronaldo 233 puan alırken, Messi 473 oy almıştı. | Lionel Messi#59: 19 Aralık 2009 tarihinde Messi, FIFA Kulüpler Dünya Kupası finalinde Abu Dabi 'de Estudiantes 'e galibiyet golünü attı ve bu kupayı takımına kazandırdı. 2 gün sonra, FIFA Dünyada Yılın Futbolcusu Ödülü'nü Cristiano Ronaldo , Xavi , Kaká ve Iniesta 'yı geçerek aldı. | Lionel Messi#75: Messi, 2011 yılında takım arkadaşı Xavi ve Cristiano Ronaldo 'yu geçerek "" UEFA Avrupa'da En İyi Oyuncu Ödülü ""'nü kazandı. | Lionel Messi#82: Messi, Cristiano Ronaldo ve Franck Ribery ile birlikte üst üste 3. kez UEFA En iyi oyuncu ödüllerine aday gösterildi. | Lionel Messi#92: Messi, 2014 FIFA Ballon d'Or 'da Cristiano Ronaldo 'nun arkasında ikinci oldu. Bu ikincilik büyük ölçüde Arjantin 'in Dünya Kupası 'nda elde ettiği ikincilik başarısı sayesindedir. | Lionel Messi#137: Bu gol, onun kariyerinde attığı 700. kulüp golüydü. 8 Nisan'da, ligde Nice 'ı 2-1 yendikleri maçta gol atan Messi, böylece Cristiano Ronaldo 'yu geride bırakarak 702 golle Avrupa kulüp futbolunda en çok gol atan futbolcu olmayı başardı. 2 Mayıs'ta Messi, tanıtım amaçlı bir ticari anlaşmanın parçası olarak ailesiyle Suudi Arabistan 'a izinsiz bir gezi yaptığı için takımdan iki hafta süreyle uzaklaştırıldı ve para cezasına çarptırıldı. 3 Mayıs'ta, Messi'nin sözleşmesinin bitmesiyle kulüpten ayrılacağı bildirildi."
PSG | Paris Saint-Germain,(https://tr.wikipedia.org/wiki/Paris_Saint-Germain_FC),7,"Lionel Messi#9: Sözleşmesinin bitişiyle beraber Ağustos 2021'de Paris Saint-Germain 'le anlaştı. | Lionel Messi#124: 10 Ağustos 2021'de Ligue 1 takımlarından Paris Saint-Germain 'e transfer oldu ve 2+1 yıllık sözleşme imzaladı. | Lionel Messi#139: 1 Haziran'da teknik direktör Christophe Galtier , Clermont ile oynanacak maçın Messi'nin kulüpteki son maçı olacağını doğruladı. 3 Haziran 2023 tarihinde Paris Saint-Germain ile sözleşmesi bittiği için resmi olarak ayrılığı kulüp başkanı Nasır el-Halifi tarafından duyuruldu. | Lionel MessiCard#15: Paris Saint-Germain | Lionel Messi#136: Messi, 26 Şubat'ta PSG 'nin Marsilya 'yı 3-0 yendiği maçta bir gol atmayı başardı. | Lionel Messi#140: PSG 'den ayrıldığının doğrulanmasının ardından, 5 Haziran 2023'e kadar Barcelona başkanı Joan Laporta 'ya iletildi. | Lionel Messi#145: Messi'nin normal sezondaki ilk golü, oyların %89,7'sini alarak Maç Gününün Golünü kazandırdı. 30 Ekim'de, Arjantin 'le kazandığı Dünya Kupası ve PSG ile Ligue 1 kupasını kazanan Messi, rekora imza atan sekizinci Ballon d'Or ile ödüllendirildi."
UEFA Şampiyonlar Ligi | Şampiyonlar Ligi,(https://tr.wikipedia.org/wiki/UEFA_%C5%9Eampiyonlar_Ligi),6,"Lionel Messi#4: Kulüpten ayrılmadan önce bütün profesyonel kariyerini Barcelona 'da geçirmiş; orada on La Liga şampiyonluğu, yedi Copa del Rey ve dört UEFA Şampiyonlar Ligi de dâhil olmak üzere 35 kupa kazanmış, toplamda ise 46 kupa kazanmıştır. La Liga'da en çok gol (474) atan, en çok Hat trick (36) yapan ve en çok asist (192) yapan oyuncu rekorlarını elinde tutmaktadır. | Lionel Messi#128: Paris ekibiyle ilk UEFA Şampiyonlar Ligi maçına 15 Eylül'de oynanan ve 1-1'lik sonuçla tamamlanan Club Brugge maçında çıktı. | Lionel Messi#130: 2 Ocak 2022'de PSG, Messi'nin COVID-19 testinin pozitif çıktığını ve bunun sonucunda iki lig ve bir kupa maçını kaçıracağını duyurdu. 23 Ocak'ta takıma geri dönen Messi, yedekten girdiği maçta Reims 'i 4-0 mağlup ettikleri maçta 1 asist yapmayı başardı. UEFA Şampiyonlar Ligi 'nde son 16 turunda İspanyol takımı Real Madrid 'e elenmelerinin ardından 13 Mart'ta ligde oynadıkları Bordeaux maçında takım arkadaşı Neymar ile birlikte bazı PSG taraftarları tarafından yuhalandı. | Lionel Messi#135: 5 Ekim'de UEFA Şampiyonlar Ligi 'nde Benfica 'ya karşı oynayan Messi, maçta bir gol kaydederek Şampiyonlar Ligi tarihinde 40 farklı takıma gol atan ilk futbolcu olarak tarihe geçti. | Lionel Messi#35: Messi, 26 Eylül 2005 tarihinde İspanya vatandaşlığı hakkını kazandı. 27 Eylül'de İtalyan kulüp Udinese 'ye karşı oynadığı ilk Şampiyonlar Ligi maçına kendi evinde çıktı. | Lionel Messi#105: 2019-20 sezonunda Barcelona, Supercopa de España 'da yarı finalde Atlético Madrid 'e, Copa del Rey 'de çeyrek finalde Athletic Bilbao 'ya elendi; La Liga şampiyonluğunu Real Madrid 'e kaptırdı. Şampiyonlar Ligi 'nde ise Bayern Münih 'e çeyrek finalde 2-8 mağlup olarak büyük bir hezimet yaşadı."
La Liga | La Liga'da,(https://tr.wikipedia.org/wiki/La_Liga),6,"Lionel Messi#4: Kulüpten ayrılmadan önce bütün profesyonel kariyerini Barcelona 'da geçirmiş; orada on La Liga şampiyonluğu, yedi Copa del Rey ve dört UEFA Şampiyonlar Ligi de dâhil olmak üzere 35 kupa kazanmış, toplamda ise 46 kupa kazanmıştır. La Liga'da en çok gol (474) atan, en çok Hat trick (36) yapan ve en çok asist (192) yapan oyuncu rekorlarını elinde tutmaktadır. | Lionel Messi#27: Messi, böylece La Liga maçına çıkan en genç oyuncu oldu. Bu rekor Eylül 2007'de Bojan Krkić tarafından kırılacaktı. | Lionel Messi#105: 2019-20 sezonunda Barcelona, Supercopa de España 'da yarı finalde Atlético Madrid 'e, Copa del Rey 'de çeyrek finalde Athletic Bilbao 'ya elendi; La Liga şampiyonluğunu Real Madrid 'e kaptırdı. Şampiyonlar Ligi 'nde ise Bayern Münih 'e çeyrek finalde 2-8 mağlup olarak büyük bir hezimet yaşadı. | Lionel Messi#114: Aynı gün La Liga yönetimi, Messi'nin yalnızca 700 milyon avroluk serbest kalma bedeli ödendiğinde Barcelona'dan ayrılabileceğini açıkladı. | Lionel Messi#233: Bir yılda en çok gol atan futbolcu (91) gol ile, La Liga tarihinin bir sezonda en çok gol atan futbolcusu (50) | Lionel Messi#91: Yeni teknik direktör ve eski kaptan Luis Enrique yönetiminde Messi, 2014-15 sezonuna büyük ölçüde sakatlıksız bir başlangıç yaptı ve yılın sonuna doğru uzun süredir devam eden üç rekor daha kırmasına izin verdi. 22 Kasım'da Sevilla'ya karşı attığı bir hat-trick, onu La Liga'da tüm zamanların en çok gol atan oyuncusu yaptı ve Telmo Zarra'nın elinde tuttuğu 251 lig golüyle 59 yıllık rekoru geride bıraktı. 7 Aralık'ta şehirdeki rakipleri Espanyol'a karşı attığı üçüncü bir hat-trick, Derbi barceloní'de 12 golle tüm zamanların en çok gol atan oyuncusu olarak César Rodríguez 'i geçmesini sağladı."
Rosario,(https://tr.wikipedia.org/wiki/Rosario),5,"Lionel Messi#1: Lionel Andrés Messi [a] (d. 24 Haziran 1987, Rosario ), ayrıca Leo Messi olarak da bilinir, Major League Soccer takımlarından Inter Miami 'de forma giyen ve Arjantin millî takımının kaptanlığını yapan Arjantinli futbolcudur . | Lionel Messi#6: Arjantin 'in Rosario şehrinde dünyaya gelen Messi, futbola sekiz yaşındayken şehrin takımı olan Newell's Old Boys 'da başladı. 13 yaşındayken büyüme hormonu eksikliği tedavisi görmesi ve futbola Barcelona'da devam etmesi için İspanya 'nın Barselona şehrine taşındı. | Lionel Messi#19: Messi, 24 Haziran 1987 tarihinde Arjantin 'in Santa Fe eyaletine bağlı Rosario şehrinde dünyaya geldi. | Lionel Messi#211: Messi ilk olarak doğum yeri Rosario 'dan Macarena Lemos ile aşk yaşadı. 2006 FIFA Dünya Kupası öncesi, Rosario'da tedavi gördüğü sıra, Lemos'un babası tarafından tanıştırıldığı söylendi. | Lionel MessiCard#3: Rosario , Arjantin"
Inter Miami,(https://tr.wikipedia.org/wiki/Inter_Miami_CF),5,"Lionel Messi#1: Lionel Andrés Messi [a] (d. 24 Haziran 1987, Rosario ), ayrıca Leo Messi olarak da bilinir, Major League Soccer takımlarından Inter Miami 'de forma giyen ve Arjantin millî takımının kaptanlığını yapan Arjantinli futbolcudur . | Lionel Messi#141: Fakat mali kısıtlamalar nedeniyle onu kadrosuna katamadı. 15 Temmuz 2023'te MLS takımlarından Inter Miami 'ye transfer oldu ve 2025'e kadar sözleşme imzaladı. | Lionel Messi#148: Inter Miami 'nin Şubat 2024'teki sezon öncesi hazırlık döneminde Messi, Hong Kong Stadyumu 'nda Hong Kong Ligi oyuncularıyla bir gösteri maçı oynayacaktı. | Lionel MessiCard#6: Inter Miami | Lionel MessiCard#16: Inter Miami"
Andrés Iniesta | Iniesta,(https://tr.wikipedia.org/wiki/Andr%C3%A9s_Iniesta),5,"Lionel Messi#8: Takip eden üç sezonda da Ballon d'Or kazanarak tarihte bu ödülü üst üste dört kez kazanan ilk ve tek futbolcu oldu. 2011-12 sezonunda lig ve Avrupa için toplamda 73 gol atarak rekor kırarken aynı sezon Barcelona tarihinin en golcü futbolcusu oldu. Sonraki iki sezonun Ballon d'Or listesinde Ronaldo'nun arkasında yer aldı. 2014-15 sezonunda yeniden Şampiyonlar Ligi'ni kazanarak sezonu üç kupayla bitirdi ve beşinci Ballon d'Or'unu kazandı. Andrés Iniesta 'nın takımdan ayrılmasıyla 2018'de Barcelona kaptanı olan Messi, 2019'da altıncı kez Ballon d'Or ödülünü kazandı. | Lionel Messi#50: Messi, Şampiyonlar Ligi yarı finalinde Andrés Iniesta 'nın duraklama dakikalarında attığı golün hazırlanışında yer aldı ve Chelsea 'yi geçen Barcelona, finalde Manchester United 'ın rakibi oldu. 13 Mayıs'ta, Copa del Rey finalinde Athletic Bilbao 'yu 4-1 yenerlerken, Messi, bir gol iki asist yaptı ve ilk Copa del Rey 'i kazandı. | Lionel Messi#101: Mayıs 2018'de eski kaptan Andrés Iniesta 'nın ayrılmasıyla Messi, bir sonraki sezon için takımın yeni kaptanı seçildi. 12 Ağustos'ta, Sevilla'ya karşı 2-1 galibiyetin ardından Barcelona'nın kaptanı Supercopa de España olarak ilk unvanını kaldırdı. 19 Ağustos'ta Messi, Barcelona'nın sezonun ilk La Liga maçında Alavés'i 3-0 mağlup etmesine yardımcı olmak için iki gol attı ve ilk golü, zıplayan Alavés duvarının altından yuvarladığı bir serbest vuruşla Barcelona'nın 6000. golü olarak tarihe geçti. 1 | Lionel Messi#59: 19 Aralık 2009 tarihinde Messi, FIFA Kulüpler Dünya Kupası finalinde Abu Dabi 'de Estudiantes 'e galibiyet golünü attı ve bu kupayı takımına kazandırdı. 2 gün sonra, FIFA Dünyada Yılın Futbolcusu Ödülü'nü Cristiano Ronaldo , Xavi , Kaká ve Iniesta 'yı geçerek aldı. | Lionel Messi#65: Messi, takım arkadaşları; Xavi ve Iniesta 'yı geçerek FIFA Yılın Oyuncusu ödülüne layık görüldü."
