E,U,Frekans,Kaynak_IDler
Rennes | Rennes II,https://tr.wikipedia.org/wiki/Stade_Rennais_FC,4,"Ousmane Dembélé#2: Profesyonel kariyerine 2014 yılında Rennes II kulübünde başladı. | Ousmane Dembélé#3: Daha sonra sırasıyla Rennes , Borussia Dortmund , Barcelona kulüplerinde oynadı. | Ousmane DembéléCard#9: Rennes | Ousmane DembéléCard#12: Rennes"
Paris Saint-Germain,https://tr.wikipedia.org/wiki/Paris_Saint-Germain_FC,3,"Ousmane Dembélé#1: Masour Ousmane Dembélé (d. 15 Mayıs 1997), Ligue 1 takımlarından Paris Saint-Germain takımında forvet pozisyonunda görev yapan Fransız futbolcudur . | Ousmane DembéléCard#5: Paris Saint-Germain | Ousmane DembéléCard#15: Paris Saint-Germain"
Barcelona,https://tr.wikipedia.org/wiki/FC_Barcelona,2,"Ousmane Dembélé#3: Daha sonra sırasıyla Rennes , Borussia Dortmund , Barcelona kulüplerinde oynadı. | Ousmane DembéléCard#14: Barcelona"
Borussia Dortmund,https://tr.wikipedia.org/wiki/Borussia_Dortmund,2,"Ousmane Dembélé#3: Daha sonra sırasıyla Rennes , Borussia Dortmund , Barcelona kulüplerinde oynadı. | Ousmane DembéléCard#13: Borussia Dortmund"
Ligue 1,https://tr.wikipedia.org/wiki/Ligue_1,1,"Ousmane Dembélé#1: Masour Ousmane Dembélé (d. 15 Mayıs 1997), Ligue 1 takımlarından Paris Saint-Germain takımında forvet pozisyonunda görev yapan Fransız futbolcudur ."
Fransa,https://tr.wikipedia.org/wiki/Fransa_mill%C3%AE_futbol_tak%C4%B1m%C4%B1,1,Ousmane DembéléCard#20: Fransa
Fransa U-21,https://tr.wikipedia.org/wiki/Fransa_21_ya%C5%9F_alt%C4%B1_mill%C3%AE_futbol_tak%C4%B1m%C4%B1,1,Ousmane DembéléCard#19: Fransa U-21
Vernon,"https://tr.wikipedia.org/wiki/Vernon,_Eure",1,"Ousmane DembéléCard#2: Vernon , Fransa"
Fransa U-17,https://tr.wikipedia.org/wiki/Fransa_17_ya%C5%9F_alt%C4%B1_mill%C3%AE_futbol_tak%C4%B1m%C4%B1,1,Ousmane DembéléCard#17: Fransa U-17
forvet U:(https://tr.wikipedia.org/wiki/Forvet_(futbol))___ pozisyonunda görev yapan Fransız ___E:futbolcudur,https://tr.wikipedia.org/wiki/Futbolcu,1,"Ousmane Dembélé#1: Masour Ousmane Dembélé (d. 15 Mayıs 1997), Ligue 1 takımlarından Paris Saint-Germain takımında forvet pozisyonunda görev yapan Fransız futbolcudur ."
Fransa U-19,https://tr.wikipedia.org/wiki/Fransa_19_ya%C5%9F_alt%C4%B1_mill%C3%AE_futbol_tak%C4%B1m%C4%B1,1,Ousmane DembéléCard#18: Fransa U-19
Fransa,https://tr.wikipedia.org/wiki/Fransa,1,"Ousmane DembéléCard#2: Vernon , Fransa"
Fransa U-18,https://tr.wikipedia.org/wiki/Fransa_18_ya%C5%9F_alt%C4%B1_mill%C3%AE_futbol_tak%C4%B1m%C4%B1,1,Ousmane DembéléCard#11: Fransa U-18
Évreux,https://tr.wikipedia.org/wiki/%C3%89vreux_FC,1,Ousmane DembéléCard#8: Évreux
