E,U,Frekans,Kaynak_IDler
Brezilya | Brezilya millî futbol takımı,https://tr.wikipedia.org/wiki/Brezilya_mill%C3%AE_futbol_tak%C4%B1m%C4%B1,2,"PeléCard#13: Brezilya | Pelé#3: Pelé on beş yaşındayken Santos , on altı yaşındayken Brezilya millî futbol takımı için oynamaya başladı."
FIFA Dünya Kupası,https://tr.wikipedia.org/wiki/FIFA_D%C3%BCnya_Kupas%C4%B1,2,"Pelé#5: Brezilya 1962 Dünya Kupası 'nda da şampiyon oldu ancak Pelé grup aşamasında sakatlandığı için turnuvanın geri kalanında oynayamadı. 1970 Dünya Kupası 'nda dört gol yedi asistle oynayarak üçüncü şampiyonluğun merkezinde yer aldı. On dört yıllık millî takım kariyerinde üç FIFA Dünya Kupası (1958, 1962, 1970) kazandı ve tarihte bunu başarabilen tek futbolcu oldu. 92 maçta attığı 77 golle Neymar 'dan sonra Brezilya'nın en çok gol atan ikinci futbolcusudur. | Pelé#17: Dünya'nın gelmiş geçmiş en iyi futbolcularından biri olarak kabul görmekteydi. 3 kere, FIFA Dünya Kupası 'nı kazanan takımda yer almıştır."
Brezilya Ligi,https://tr.wikipedia.org/w/index.php?title=Brezilya_Ligi&action=edit&redlink=1,2,Pelé#14: Kariyerine Brezilya Ligi 'nin o zamanların en iyi takımlarından Santos 'ta başlayıp ve yine ünlü bir kulüp olan Cosmos 'ta bırakmıştır. | Pelé#22: Bir başka olayda Brezilya Ligi 'nde oynanan bir maçta Pelé'nin oyundan atılması sonrası taraftarlar isyan etmiş ve hakemi zor durumda bırakmıştır.
Brezilya,https://tr.wikipedia.org/wiki/Brezilya,2,"PeléCard#3: Minas Gerais , Brezilya | PeléCard#5: São Paulo , Brezilya"
São Paulo,https://tr.wikipedia.org/wiki/S%C3%A3o_Paulo,2,"Pelé#26: Pelé, 2022 Kasım ayı sonlarında solunum yolu enfeksiyonu ve kolon kanserine bağlı komplikasyonlar nedeniyle São Paulo 'daki Albert Einstein Israelite hastanesine kaldırıldı. | PeléCard#5: São Paulo , Brezilya"
Santos,https://tr.wikipedia.org/wiki/Santos_FC,2,"Pelé#3: Pelé on beş yaşındayken Santos , on altı yaşındayken Brezilya millî futbol takımı için oynamaya başladı. | PeléCard#10: Santos"
Santos,https://tr.wikipedia.org/wiki/Santos,2,"Pelé#13: Aile tarafından Pepe takma adıyla çağrılırdı ama kuzenleri ve küçük arkadaşları tarafından yaramaz anlamına gelen ' Peli lakabı takıldı, bu lakap zamanla Pelé oldu. 11 yaşında keşfedilene kadar ayakkabı parlatıyordu. 4 yıl sonra onu keşfeden De Brito , bir gün Santos 'un yöneticilerine ""Bu çocuk dünyanın en iyi futbolcusu olacak."" dedi. Sonraki sezonda Pelé, ligin yıldız oyuncusu olunca bu sözün doğruluğunu ispatlamış oldu. | Pelé#14: Kariyerine Brezilya Ligi 'nin o zamanların en iyi takımlarından Santos 'ta başlayıp ve yine ünlü bir kulüp olan Cosmos 'ta bırakmıştır."
Milan,https://tr.wikipedia.org/wiki/AC_Milan,1,"Pelé#6: Kulüp kariyerinin büyük çoğunluğunu Santos'ta geçiren Pelé, orada toplamda yirmi beş kupa kazandı. 1962 'de kulübüne tarihinin ilk Libertadores kupasını kazandırdı, ardından 1963'te tekrar şampiyon oldu. Libertadores şampiyonu olarak oynadığı iki Kıtalararası Kupa finalinde ( 1962 , 1963 ) sırasıyla Benfica ve Milan 'a karşı oynadığı dört maçta dokuz gol attı; Santos iki finali de kazandı."
Karl-Heinz Rummenigge,https://tr.wikipedia.org/wiki/Karl-Heinz_Rummenigge,1,"Pelé#2: Tüm zamanların en iyi futbolcularından biri olarak kabul edilen Pelé; Franz Beckenbauer , Alfredo Di Stéfano ve Karl-Heinz Rummenigge gibi futbolcuların yanı sıra FIFA tarafından da ""en iyi"" olarak nitelendirilmiştir. 2000'de Diego Maradona ile birlikte FIFA Yüzyılın Oyuncusu ödülünü kazanmıştır."
1970 Dünya Kupası,https://tr.wikipedia.org/wiki/1970_FIFA_D%C3%BCnya_Kupas%C4%B1,1,"Pelé#5: Brezilya 1962 Dünya Kupası 'nda da şampiyon oldu ancak Pelé grup aşamasında sakatlandığı için turnuvanın geri kalanında oynayamadı. 1970 Dünya Kupası 'nda dört gol yedi asistle oynayarak üçüncü şampiyonluğun merkezinde yer aldı. On dört yıllık millî takım kariyerinde üç FIFA Dünya Kupası (1958, 1962, 1970) kazandı ve tarihte bunu başarabilen tek futbolcu oldu. 92 maçta attığı 77 golle Neymar 'dan sonra Brezilya'nın en çok gol atan ikinci futbolcusudur."
