E,U,Frekans,Kaynak_IDler
Brezilya | Brezilya Kadrosu | Brezilya millî futbol takımı | Brezilya millî takımı | Brezilya millî takımında,https://tr.wikipedia.org/wiki/Brezilya_mill%C3%AE_futbol_tak%C4%B1m%C4%B1,8,"Ronaldinho#74: Ronaldinho, Brezilya millî takımı ile FIFA Konfederasyonlar Kupası 'nda 1999 Meksika İkinci 2005 Almanya 'da şampiyon, Copa América 'da 1999 Paraguay 'da şampiyon, FIFA Dünya Kupası 'nda 2002 Güney Kore-Japonya 'da şampiyon ve Yaz Olimpiyat Oyunları 2008 Pekin 'de şampiyon olan takımlarda görev aldı. | Ronaldinho#72: Ronaldinho, Brezilya millî takımında 11 numaraydı. | Ronaldinho#73: Ronaldinho, Dunga tarafından 2010 FIFA Dünya Kupası Brezilya Kadrosu 'na çağırılmamıştır. 2013 Konfedarasyon Kupası Kadrosuna Çağrılmıştır. | Ronaldinho#75: Ronaldinho, 2002 ve 2006 yıllarında olmak üzere iki kez Brezilya formasıyla Dünya Kupasında forma giydi. | Ronaldinho#76: Dünya Kupasından sonra dünyada en önemli ikinci turnuva olan Konfederasyonlar Kupası 'nda 1999 , 2003 ve 2005 yıllarında 3 kez Brezilya kadrosunda yer aldı. | RonaldinhoCard#20: Brezilya | Ronaldinho#3: Kariyerinin büyük bir bölümünü Avrupa kulüplerinden Paris Saint-Germain , Barcelona ve Milan 'da geçirdi, aynı zamanda Brezilya millî futbol takımı için de oynadı. | Ronaldinho#14: Ronaldinho, uluslararası düzeyde Brezilya millî futbol takımı için 97 maça çıktı, 33 gol attı. Ülkesiyle 2 kez Dünya Kupası 'na katıldı. 2002 yılında Kore ve Japonya'da düzenlenen 2002 FIFA Dünya Kupası 'nda şampiyon oldular, Ronaldo ve Rivaldo ile birlikte hücumda etkili bir performans sergilediler."
Milan,https://tr.wikipedia.org/wiki/AC_Milan,8,"Ronaldinho#3: Kariyerinin büyük bir bölümünü Avrupa kulüplerinden Paris Saint-Germain , Barcelona ve Milan 'da geçirdi, aynı zamanda Brezilya millî futbol takımı için de oynadı. | Ronaldinho#11: 2007-08 sezonunda sakatlık geçirdi, sezon sonunda Milan 'a katıldı. 2011 yılında Flamengo ile anlaşarak ülkesine döndü, sonraki sene Atlético Mineiro 'ya katıldı. | Ronaldinho#57: 15 Temmuz 2008 tarihinde Milan takımına transfer olmuştur. | Ronaldinho#58: Ronaldinho, Temmuz 2008'de Manchester City 'nin 25.500.000 £'lik teklifini reddetip, İtalyan devi Milan ile anlaşmıştır. Milan 'da 10 numaralı formayı Clarence Seedorf giydiği için forma numarası 80 olmuştur. | Ronaldinho#59: Ronaldinho, yeni takımındaki ilk golünü 28 Eylül 2008'de Milan 'ın ezeli rakibi Inter ile yaptığı maçta atmıştır. | Ronaldinho#60: Bu maçı Milan Ronaldinho'nun attığı golle 1-0 kazanmıştır. | Ronaldinho#61: Milan 'da istikrarlı bir performans gösteremeyince 2011'in başında Milan ile yollarını ayırmıştır. Blackburn Rovers , Gremio , Flamengo ve Palmeiras kendisine teklif götürmüştür. | RonaldinhoCard#11: Milan"
Barcelona,https://tr.wikipedia.org/wiki/FC_Barcelona,6,"Ronaldinho#3: Kariyerinin büyük bir bölümünü Avrupa kulüplerinden Paris Saint-Germain , Barcelona ve Milan 'da geçirdi, aynı zamanda Brezilya millî futbol takımı için de oynadı. | Ronaldinho#7: Daha sonra 2003 yılında Barcelona ile anlaştı. | Ronaldinho#50: Beckham 'ı Barcelona 'ya getireceği vaadiyle başkan olan Joan Laporta , bu transfer denemesinde başarısız olmuş, üstelik Beckham ezeli rakip Real Madrid 'e kaptırılmıştı. Barcelona ise bu oyuncunun yerine 19 Temmuz 2003 tarihinde, 21,250 milyon Euro bonservis bedeliyle transferi tamamladı. | Ronaldinho#51: Barcelona 'daki ilk maçına 27 Temmuz 2003 tarihinde çıktı. | Ronaldinho#53: İlk senesinde Barcelona La Liga 'yı ikinci bitirdi. | RonaldinhoCard#10: Barcelona"
Flamengo,https://tr.wikipedia.org/wiki/CR_Flamengo,6,"Ronaldinho#11: 2007-08 sezonunda sakatlık geçirdi, sezon sonunda Milan 'a katıldı. 2011 yılında Flamengo ile anlaşarak ülkesine döndü, sonraki sene Atlético Mineiro 'ya katıldı. | Ronaldinho#61: Milan 'da istikrarlı bir performans gösteremeyince 2011'in başında Milan ile yollarını ayırmıştır. Blackburn Rovers , Gremio , Flamengo ve Palmeiras kendisine teklif götürmüştür. | Ronaldinho#62: Brezilyalı oyuncu Flamengo 'nun teklifini kabul etmiştir. | Ronaldinho#63: Ronaldinho, 11 Ocak 2011'de resmi olarak Flamengo 'ya transfer olmuştur. | Ronaldinho#65: 2012 yılında, alacaklarını alamadığı sebebiyle Flamengo 'dan serbest kalmıştır. | RonaldinhoCard#12: Flamengo"
Dünya Kupası | Dünya Kupasında | Dünya Kupasından | FIFA Dünya Kupası,https://tr.wikipedia.org/wiki/FIFA_D%C3%BCnya_Kupas%C4%B1,5,"Ronaldinho#75: Ronaldinho, 2002 ve 2006 yıllarında olmak üzere iki kez Brezilya formasıyla Dünya Kupasında forma giydi. | Ronaldinho#76: Dünya Kupasından sonra dünyada en önemli ikinci turnuva olan Konfederasyonlar Kupası 'nda 1999 , 2003 ve 2005 yıllarında 3 kez Brezilya kadrosunda yer aldı. | Ronaldinho#14: Ronaldinho, uluslararası düzeyde Brezilya millî futbol takımı için 97 maça çıktı, 33 gol attı. Ülkesiyle 2 kez Dünya Kupası 'na katıldı. 2002 yılında Kore ve Japonya'da düzenlenen 2002 FIFA Dünya Kupası 'nda şampiyon oldular, Ronaldo ve Rivaldo ile birlikte hücumda etkili bir performans sergilediler. | Ronaldinho#17: Turnuvada 3 gol atarak 9 golle turnuvanın en çok gol atan iki oyuncusundan biri oldu. Kulüp ve uluslararası düzeyde başarılı bir performans sergiledi, FIFA Dünya Kupası , UEFA Şampiyonlar Ligi ve Ballon d'Or 'u kazanan yedi oyuncu arasında yer aldı. | Ronaldinho#74: Ronaldinho, Brezilya millî takımı ile FIFA Konfederasyonlar Kupası 'nda 1999 Meksika İkinci 2005 Almanya 'da şampiyon, Copa América 'da 1999 Paraguay 'da şampiyon, FIFA Dünya Kupası 'nda 2002 Güney Kore-Japonya 'da şampiyon ve Yaz Olimpiyat Oyunları 2008 Pekin 'de şampiyon olan takımlarda görev aldı."
"Gremio | Grêmio | Roberto U:(https://tr.wikipedia.org/wiki/Assis_(futbolcu))___ , ___E:Grêmio",https://tr.wikipedia.org/wiki/Gr%C3%AAmio_FBPA,5,"Ronaldinho#61: Milan 'da istikrarlı bir performans gösteremeyince 2011'in başında Milan ile yollarını ayırmıştır. Blackburn Rovers , Gremio , Flamengo ve Palmeiras kendisine teklif götürmüştür. | Ronaldinho#6: Ronaldinho profesyonel futbol kariyerine 1998 yılında Grêmio 'da başladı. 20 yaşında Paris Saint-Germain sözleşme imzaladı. | RonaldinhoCard#6: Grêmio | RonaldinhoCard#8: Grêmio | Ronaldinho#22: Ronaldo'nun büyük abisi Roberto , Grêmio ile anlaşma sağladı, kulüp tarafından abisine bir ev tahsis edildi, ailesiyle birlikte Porto Alegre'nin Guarujá bölgesine taşındılar."
Paris Saint-Germain,https://tr.wikipedia.org/wiki/Paris_Saint-Germain_FC,4,"Ronaldinho#3: Kariyerinin büyük bir bölümünü Avrupa kulüplerinden Paris Saint-Germain , Barcelona ve Milan 'da geçirdi, aynı zamanda Brezilya millî futbol takımı için de oynadı. | Ronaldinho#6: Ronaldinho profesyonel futbol kariyerine 1998 yılında Grêmio 'da başladı. 20 yaşında Paris Saint-Germain sözleşme imzaladı. | Ronaldinho#36: Ronaldinho 2001 yılında 5 milyon € karşılığında Fransız kulübü Paris Saint-Germain 'e transfer oldu. Kendisine 21 numaralı forma verildi. | RonaldinhoCard#9: Paris Saint-Germain"
Atlético Mineiro,https://tr.wikipedia.org/wiki/Atl%C3%A9tico_Mineiro,3,"Ronaldinho#11: 2007-08 sezonunda sakatlık geçirdi, sezon sonunda Milan 'a katıldı. 2011 yılında Flamengo ile anlaşarak ülkesine döndü, sonraki sene Atlético Mineiro 'ya katıldı. | Ronaldinho#66: Ronaldinho, 4 Haziran 2012'de resmi olarak Atlético Mineiro 'ya transfer olmuştur. | RonaldinhoCard#13: Atlético Mineiro"
2002 | 2002 FIFA Dünya Kupası | 2002 Güney Kore-Japonya,https://tr.wikipedia.org/wiki/2002_FIFA_D%C3%BCnya_Kupas%C4%B1,3,"Ronaldinho#14: Ronaldinho, uluslararası düzeyde Brezilya millî futbol takımı için 97 maça çıktı, 33 gol attı. Ülkesiyle 2 kez Dünya Kupası 'na katıldı. 2002 yılında Kore ve Japonya'da düzenlenen 2002 FIFA Dünya Kupası 'nda şampiyon oldular, Ronaldo ve Rivaldo ile birlikte hücumda etkili bir performans sergilediler. | Ronaldinho#75: Ronaldinho, 2002 ve 2006 yıllarında olmak üzere iki kez Brezilya formasıyla Dünya Kupasında forma giydi. | Ronaldinho#74: Ronaldinho, Brezilya millî takımı ile FIFA Konfederasyonlar Kupası 'nda 1999 Meksika İkinci 2005 Almanya 'da şampiyon, Copa América 'da 1999 Paraguay 'da şampiyon, FIFA Dünya Kupası 'nda 2002 Güney Kore-Japonya 'da şampiyon ve Yaz Olimpiyat Oyunları 2008 Pekin 'de şampiyon olan takımlarda görev aldı."
2003 | 2005 | 2005 Almanya | Konfederasyonlar Kupası,https://tr.wikipedia.org/wiki/2005_FIFA_Konfederasyonlar_Kupas%C4%B1,3,"Ronaldinho#76: Dünya Kupasından sonra dünyada en önemli ikinci turnuva olan Konfederasyonlar Kupası 'nda 1999 , 2003 ve 2005 yıllarında 3 kez Brezilya kadrosunda yer aldı. | Ronaldinho#16: Kaptan olarak 2005 yılında Konfederasyonlar Kupası finalinde Arjantin ile oynanan maçta 4-1 galip geldiler, Ronaldinho maçın oyuncusu seçildi. | Ronaldinho#74: Ronaldinho, Brezilya millî takımı ile FIFA Konfederasyonlar Kupası 'nda 1999 Meksika İkinci 2005 Almanya 'da şampiyon, Copa América 'da 1999 Paraguay 'da şampiyon, FIFA Dünya Kupası 'nda 2002 Güney Kore-Japonya 'da şampiyon ve Yaz Olimpiyat Oyunları 2008 Pekin 'de şampiyon olan takımlarda görev aldı."
