E,U,Frekans,Kaynak_IDler
Barcelona,(https://tr.wikipedia.org/wiki/FC_Barcelona),6,"Lamine Yamal#1: Lamine Yamal Nasraoui Ebana (d. 13 Temmuz 2007, Esplugues de Llobregat ), sağ kanat pozisyonunda oynayan Fas asıllı İspanyol profesyonel futbolcu . La Liga ekiplerinden Barcelona forması giymektedir. | Lamine Yamal#12: Yamal, altı yaşındayken Barcelona tarafından keşfedildi ve La Masia 'daki antrenmanlara davet edildi. 2014 yılında kulüple sözleşme imzaladı ve ailesiyle birlikte Barselona 'ya taşındı. | Lamine Yamal#14: Barcelona 'nın ɡençlik akademisi La Masia 'da yetişen Yamal, kısa sürede akademinin en iyi adaylarından biri olarak görülmeye başlandı. 2022-23 sezonunda Juvenil A takımına eklenen (zaten yaş sınırının üzerinde) olan Yamal, Xavi tarafından Eylül 2022'nin başlarında diğer gençlerle birlikte seçildi. | Lamine Yamal#16: Yamal, A takımdaki ilk maçına 29 Nisan 2023'te çıktı ve La Liga 'da Real Betis 'e karşı alınan 4-0'lık galibiyette 83. dakikada Gavi 'nin yerine geçerek Barcelona 'nın eski kalecisi Claudio Bravo 'ya karşı kaleyi bulan şutunu kaydetti ve bu maça çıkan en genç oyuncu oldu 15 yıl, 9 ay ve 16 günlükken Barselona'nın ilk takımına çıktı. 2022-23 La Liga 'yı kazanan kadroda yer alarak 14 Mayıs 2023'te Barça ile ilk şampiyonluğunu kazandı. | Lamine YamalCard#6: Barcelona | Lamine YamalCard#9: Barcelona"
La Masia,(https://tr.wikipedia.org/wiki/La_Masia),4,"Lamine Yamal#4: Yamal, 2023-24 sezonunda Barcelona A takım kadrosuna girmeden önce La Masia gençlik akademisinin bir üyesiydi. 17 yaşında Ballon d'Or ödülüne aday gösterilen en genç oyuncu oldu ve 2024 yılında dünyanın en iyi genç oyuncusuna verilen Kopa Kupası 'nı kazandı. | Lamine Yamal#12: Yamal, altı yaşındayken Barcelona tarafından keşfedildi ve La Masia 'daki antrenmanlara davet edildi. 2014 yılında kulüple sözleşme imzaladı ve ailesiyle birlikte Barselona 'ya taşındı. | Lamine Yamal#14: Barcelona 'nın ɡençlik akademisi La Masia 'da yetişen Yamal, kısa sürede akademinin en iyi adaylarından biri olarak görülmeye başlandı. 2022-23 sezonunda Juvenil A takımına eklenen (zaten yaş sınırının üzerinde) olan Yamal, Xavi tarafından Eylül 2022'nin başlarında diğer gençlerle birlikte seçildi. | Lamine Yamal#21: Teknik profiliyle Lamine Yamal, kendisi ɡibi La Masia 'da yetişen birçok oyuncunun idolü olan Lionel Messi ve aynı zamanda bir başka eski Barselona oyuncusu Ansu Fati ile karşılaştırıldı."
İspanya | İspanya millî takımını,(https://tr.wikipedia.org/wiki/%C4%B0spanya_mill%C3%AE_futbol_tak%C4%B1m%C4%B1),3,"Lamine Yamal#2: Uluslararası düzeyde İspanya millî takımını temsil etmektedir. | Lamine Yamal#6: Yamal, İspanya 'yı çeşitli gençlik seviyelerinde uluslararası düzeyde temsil etti ve 2023 yılında A takım için ilk maçına çıkarak 16 yaşında ülkeyi temsil eden ve gol atan en genç oyuncu oldu. 2024 Avrupa Futbol Şampiyonası 'nda forma giyerek İspanya'nın dördüncü şampiyonluğunu kazanmasında önemli bir rol oynadı; aynı zamanda turnuvanın Genç Oyuncu Ödülü 'nü kazandı. | Lamine YamalCard#12: İspanya"
Esplugues de Llobregat,(https://tr.wikipedia.org/wiki/Esplugues_de_Llobregat),2,"Lamine Yamal#1: Lamine Yamal Nasraoui Ebana (d. 13 Temmuz 2007, Esplugues de Llobregat ), sağ kanat pozisyonunda oynayan Fas asıllı İspanyol profesyonel futbolcu . La Liga ekiplerinden Barcelona forması giymektedir. | Lamine YamalCard#3: Esplugues de Llobregat , İspanya"
Sağ kanat | sağ kanat,(https://tr.wikipedia.org/wiki/Orta_saha#Kanat),2,"Lamine Yamal#1: Lamine Yamal Nasraoui Ebana (d. 13 Temmuz 2007, Esplugues de Llobregat ), sağ kanat pozisyonunda oynayan Fas asıllı İspanyol profesyonel futbolcu . La Liga ekiplerinden Barcelona forması giymektedir. | Lamine YamalCard#5: Sağ kanat"
Barselona,(https://tr.wikipedia.org/wiki/Barselona),2,"Lamine Yamal#9: Çocukluğunun çoğunu Barselona 'da geçirdi. | Lamine Yamal#12: Yamal, altı yaşındayken Barcelona tarafından keşfedildi ve La Masia 'daki antrenmanlara davet edildi. 2014 yılında kulüple sözleşme imzaladı ve ailesiyle birlikte Barselona 'ya taşındı."
La Liga,(https://tr.wikipedia.org/wiki/La_Liga),2,"Lamine Yamal#1: Lamine Yamal Nasraoui Ebana (d. 13 Temmuz 2007, Esplugues de Llobregat ), sağ kanat pozisyonunda oynayan Fas asıllı İspanyol profesyonel futbolcu . La Liga ekiplerinden Barcelona forması giymektedir. | Lamine Yamal#16: Yamal, A takımdaki ilk maçına 29 Nisan 2023'te çıktı ve La Liga 'da Real Betis 'e karşı alınan 4-0'lık galibiyette 83. dakikada Gavi 'nin yerine geçerek Barcelona 'nın eski kalecisi Claudio Bravo 'ya karşı kaleyi bulan şutunu kaydetti ve bu maça çıkan en genç oyuncu oldu 15 yıl, 9 ay ve 16 günlükken Barselona'nın ilk takımına çıktı. 2022-23 La Liga 'yı kazanan kadroda yer alarak 14 Mayıs 2023'te Barça ile ilk şampiyonluğunu kazandı."
Lionel Messi,(https://tr.wikipedia.org/wiki/Lionel_Messi),2,"Lamine Yamal#13: Yamal'ın çocukluk kahramanları Ronaldinho , Lionel Messi ve Neymar 'dı. | Lamine Yamal#21: Teknik profiliyle Lamine Yamal, kendisi ɡibi La Masia 'da yetişen birçok oyuncunun idolü olan Lionel Messi ve aynı zamanda bir başka eski Barselona oyuncusu Ansu Fati ile karşılaştırıldı."
Ballon d'Or | Ballon d’Or,(https://tr.wikipedia.org/wiki/Ballon_d%27Or),2,"Lamine Yamal#22: Messi'nin 2023 yılında kazandığı Ballon d’Or ödülü konuşmasında Lionel Messi tarafından ""önemli bir genç yetenek"" ve ""Ballon d’Or için yarışacak oyunculardan biri"" olarak nitelendirildi. | Lamine Yamal#4: Yamal, 2023-24 sezonunda Barcelona A takım kadrosuna girmeden önce La Masia gençlik akademisinin bir üyesiydi. 17 yaşında Ballon d'Or ödülüne aday gösterilen en genç oyuncu oldu ve 2024 yılında dünyanın en iyi genç oyuncusuna verilen Kopa Kupası 'nı kazandı."
2022-23 La Liga,(https://tr.wikipedia.org/wiki/2022-23_La_Liga),1,"Lamine Yamal#16: Yamal, A takımdaki ilk maçına 29 Nisan 2023'te çıktı ve La Liga 'da Real Betis 'e karşı alınan 4-0'lık galibiyette 83. dakikada Gavi 'nin yerine geçerek Barcelona 'nın eski kalecisi Claudio Bravo 'ya karşı kaleyi bulan şutunu kaydetti ve bu maça çıkan en genç oyuncu oldu 15 yıl, 9 ay ve 16 günlükken Barselona'nın ilk takımına çıktı. 2022-23 La Liga 'yı kazanan kadroda yer alarak 14 Mayıs 2023'te Barça ile ilk şampiyonluğunu kazandı."
