E,U,Frekans,Kaynak_IDler
Recep Tayyip Erdoğan,https://tr.wikipedia.org/wiki/Recep_Tayyip_Erdo%C4%9Fan,2,"Türkiye#25: Aralık 2021'de cumhurbaşkanı , ihracatta ""Made in Türkiye"" ibaresinin kullanılmasına ilişkin bir genelge yayımladı. | Türkiye#116: 1980'li yıllarda Türk ekonomisinin liberalleştirilmesinden bu yana ülke, ekonomik büyüme ve siyasi istikrar yakaladı. 1984'ten itibaren , Türk hükûmetlerine karşı başladı; tarafların çatışmaları sonucunda resmî verilere göre 40 binden fazla insan öldü. 2012'de taraflar arasında başladı, ancak 2015'te görüşmeler sona erdi ve dönüldü. 2013'te 'ndaki düzenlemeler nedeniyle başlayan , daha sonra hükûmet karşıtı protestolara dönüşerek birçok ilde patlak verdi ancak hükûmet tarafından bastırıldı. 28 Ağustos 2014'te doğrudan halk oyuyla ilk cumhurbaşkanı oldu. 15 Temmuz 2016'da, Türkiye'de bir meydana geldi. 2017'de yapılan ile parlamenter sistemin yerini icracı bir aldı. Başbakanlık makamı kaldırılarak yetki ve görevleri cumhurbaşkanına devredildi. | Türkiye#158: 12. Cumhurbaşkanı şu anda ve olarak görev yapıyor. , Türkiye'nin . , 'dır. | 2011 Türkiye genel seçimleri#3: Başbakan 3 Ekim 2010 günü yaptığı açıklamada genel seçimlerin normal tarihinden bir ay önce -Haziran ayı başında- yapılacağını duyurdu. | 2018 Türkiye genel seçimleri#4: Seçimlerin erkene alınmasının nedeni, Cumhurbaşkanı ve MHP Genel Başkanı tarafından kabul gören yürürlüğe girmesi için daha fazla beklenmemesi gerekçe olarak gösterilmiştir. | 2018 Türkiye genel seçimleri#9: Seçimin normal şartlarda 3 Kasım 2019'da yapılması gerekiyordu ancak, Bahçeli'nin 17 Nisan 2018 tarihinde partisinin TBMM'deki grup toplantısında erken seçimi gerekli gördüğünü belirtmesi ve Cumhurbaşkanı 'ın ertesi gün buna olumlu yaklaştığını açıklaması ile seçim tarihi erkene alındı. | 2018 Türkiye genel seçimleri#24: Anayasa değişikliği referandumunda ""Evet"" cephesinde yer alan , ve , "" "" adı altında seçimlere katılacaklarını ve cumhurbaşkanı adayı olarak da 'ı destekleyeceklerini açıkladılar."
Recep Tayyip Erdoğan,https://tr.wikipedia.org/wiki/Recep_Tayyip_Erdo%C4%9Fan,2,"Türkiye#25: Aralık 2021'de cumhurbaşkanı , ihracatta ""Made in Türkiye"" ibaresinin kullanılmasına ilişkin bir genelge yayımladı. | Türkiye#116: 1980'li yıllarda Türk ekonomisinin liberalleştirilmesinden bu yana ülke, ekonomik büyüme ve siyasi istikrar yakaladı. 1984'ten itibaren , Türk hükûmetlerine karşı başladı; tarafların çatışmaları sonucunda resmî verilere göre 40 binden fazla insan öldü. 2012'de taraflar arasında başladı, ancak 2015'te görüşmeler sona erdi ve dönüldü. 2013'te 'ndaki düzenlemeler nedeniyle başlayan , daha sonra hükûmet karşıtı protestolara dönüşerek birçok ilde patlak verdi ancak hükûmet tarafından bastırıldı. 28 Ağustos 2014'te doğrudan halk oyuyla ilk cumhurbaşkanı oldu. 15 Temmuz 2016'da, Türkiye'de bir meydana geldi. 2017'de yapılan ile parlamenter sistemin yerini icracı bir aldı. Başbakanlık makamı kaldırılarak yetki ve görevleri cumhurbaşkanına devredildi. | Türkiye#158: 12. Cumhurbaşkanı şu anda ve olarak görev yapıyor. , Türkiye'nin . , 'dır. | 2011 Türkiye genel seçimleri#3: Başbakan 3 Ekim 2010 günü yaptığı açıklamada genel seçimlerin normal tarihinden bir ay önce -Haziran ayı başında- yapılacağını duyurdu. | 2018 Türkiye genel seçimleri#4: Seçimlerin erkene alınmasının nedeni, Cumhurbaşkanı ve MHP Genel Başkanı tarafından kabul gören yürürlüğe girmesi için daha fazla beklenmemesi gerekçe olarak gösterilmiştir. | 2018 Türkiye genel seçimleri#9: Seçimin normal şartlarda 3 Kasım 2019'da yapılması gerekiyordu ancak, Bahçeli'nin 17 Nisan 2018 tarihinde partisinin TBMM'deki grup toplantısında erken seçimi gerekli gördüğünü belirtmesi ve Cumhurbaşkanı 'ın ertesi gün buna olumlu yaklaştığını açıklaması ile seçim tarihi erkene alındı. | 2018 Türkiye genel seçimleri#24: Anayasa değişikliği referandumunda ""Evet"" cephesinde yer alan , ve , "" "" adı altında seçimlere katılacaklarını ve cumhurbaşkanı adayı olarak da 'ı destekleyeceklerini açıkladılar."
AK Parti,https://tr.wikipedia.org/wiki/Adalet_ve_Kalk%C4%B1nma_Partisi,2,"TrabzonCard#2: ( ) | Türkiye#200: 'ne göre uzun yıllardır ülkeyi yöneten hükûmeti, basın özgürlüğü açısından dünyanın en büyük baskılarından birini uygulamaktadır. | AraklıCard#5: Hüseyin Avni Çoşkun Çebi ( ) | 2011 Türkiye genel seçimleri#61: Yapılan (Mart-Nisan 2011) %48,2 ile %51,2, %24,4 ile %28,8, %10,7 ile %15,0 ve %4,3 ile %6,6 arasında değişen oy almaktadır."
AK Parti,https://tr.wikipedia.org/wiki/Adalet_ve_Kalk%C4%B1nma_Partisi,2,"TrabzonCard#2: ( ) | Türkiye#200: 'ne göre uzun yıllardır ülkeyi yöneten hükûmeti, basın özgürlüğü açısından dünyanın en büyük baskılarından birini uygulamaktadır. | AraklıCard#5: Hüseyin Avni Çoşkun Çebi ( ) | 2011 Türkiye genel seçimleri#61: Yapılan (Mart-Nisan 2011) %48,2 ile %51,2, %24,4 ile %28,8, %10,7 ile %15,0 ve %4,3 ile %6,6 arasında değişen oy almaktadır."
E-muhtıra,https://tr.wikipedia.org/wiki/E-muht%C4%B1ra,2,2007 Türkiye genel seçimleri#9: CHP'nin seçimi boykot etmesiyle beraber 367 Krizi çıktı. yayınlandı. | 2007 Türkiye genel seçimleri#16: Aynı günün gece saatlerinde internet sitesinde laiklik uyarısı içeren bir mesaj yayınlandı ( ).
E-muhtıra,https://tr.wikipedia.org/wiki/E-muht%C4%B1ra,2,2007 Türkiye genel seçimleri#9: CHP'nin seçimi boykot etmesiyle beraber 367 Krizi çıktı. yayınlandı. | 2007 Türkiye genel seçimleri#16: Aynı günün gece saatlerinde internet sitesinde laiklik uyarısı içeren bir mesaj yayınlandı ( ).
Abdullah Gül,https://tr.wikipedia.org/wiki/Abdullah_G%C3%BCl,2,"2007 Türkiye genel seçimleri#8: Baykal döneminde CHP, ordu ve yargının ""demokratik olmayan"" girişimlerine destek verdi. [kaynak belirtilmeli] Cumhurbaşkanı adayı 'e karşı ortaya çıkan protestolar; Gül'ün İslamcı siyaset geçmişi ve eşinin başörtüsü takması gibi popüler nedenlerle [kim?] düzenlendi. | 2007 Türkiye genel seçimleri#15: TBMM'de grubu bulunan muhalefet partilerinden 'nin (CHP) ve 'nin (ANAP) boykot ettiği ve 361 milletvekilinin katıldığı ilk tura tek aday olarak katılan AK Parti Kayseri milletvekili ve Dışişleri Bakanı 357 oy aldı. Seçimin hemen ardından ana muhalefet CHP birinci tur oylamasında TBMM'de 367 toplantı yeter sayısına ulaşılmadığı gerekçesiyle seçimin iptali istemiyle başvurdu."
Abdullah Gül,https://tr.wikipedia.org/wiki/Abdullah_G%C3%BCl,2,"2007 Türkiye genel seçimleri#8: Baykal döneminde CHP, ordu ve yargının ""demokratik olmayan"" girişimlerine destek verdi. [kaynak belirtilmeli] Cumhurbaşkanı adayı 'e karşı ortaya çıkan protestolar; Gül'ün İslamcı siyaset geçmişi ve eşinin başörtüsü takması gibi popüler nedenlerle [kim?] düzenlendi. | 2007 Türkiye genel seçimleri#15: TBMM'de grubu bulunan muhalefet partilerinden 'nin (CHP) ve 'nin (ANAP) boykot ettiği ve 361 milletvekilinin katıldığı ilk tura tek aday olarak katılan AK Parti Kayseri milletvekili ve Dışişleri Bakanı 357 oy aldı. Seçimin hemen ardından ana muhalefet CHP birinci tur oylamasında TBMM'de 367 toplantı yeter sayısına ulaşılmadığı gerekçesiyle seçimin iptali istemiyle başvurdu."
Demokratik Sol Parti,https://tr.wikipedia.org/wiki/Demokratik_Sol_Parti,2,"Türkiye#156: Yelpazenin sol tarafında (CHP), (SHP) ve (DSP) yerel ve genel seçimlerde büyük başarılar elde ettiler. | 2007 Türkiye genel seçimleri#25: , , ve seçime katılma hakları olmasına rağmen seçime katılmayacaklarını açıkladılar. | 2007 Türkiye genel seçimleri#29: ANAVATAN aday listelerini geç verdiği gerekçesiyle genel seçimlere de katılamadı. , CHP çatısı altında seçime girme kararı aldı. 2002 seçimlerine olarak katılan ve seçim barajını geçememiş olan Demokratik Toplum Partisi (DTP), bu seçimlerde adlı bağımsız aday blokuyla seçime katıldı."
Demokratik Sol Parti,https://tr.wikipedia.org/wiki/Demokratik_Sol_Parti,2,"Türkiye#156: Yelpazenin sol tarafında (CHP), (SHP) ve (DSP) yerel ve genel seçimlerde büyük başarılar elde ettiler. | 2007 Türkiye genel seçimleri#25: , , ve seçime katılma hakları olmasına rağmen seçime katılmayacaklarını açıkladılar. | 2007 Türkiye genel seçimleri#29: ANAVATAN aday listelerini geç verdiği gerekçesiyle genel seçimlere de katılamadı. , CHP çatısı altında seçime girme kararı aldı. 2002 seçimlerine olarak katılan ve seçim barajını geçememiş olan Demokratik Toplum Partisi (DTP), bu seçimlerde adlı bağımsız aday blokuyla seçime katıldı."
