E,U,Frekans,Kaynak_IDler
sosyal bilimlerin,https://tr.wikipedia.org/wiki/Sosyal_bilimler,1,"Ekonomist#1: Ekonomist veya iktisatçı , bir dalı olan alanında uzmanlaşan kişi. Ekonomistlerin çalışma alanları arasında akademi, devlet kurumları ve özel sektör yer almaktadır."
sosyal bilimlerin,https://tr.wikipedia.org/wiki/Sosyal_bilimler,1,"Ekonomist#1: Ekonomist veya iktisatçı , bir dalı olan alanında uzmanlaşan kişi. Ekonomistlerin çalışma alanları arasında akademi, devlet kurumları ve özel sektör yer almaktadır."
bankacılık,https://tr.wikipedia.org/wiki/Banka,1,"Türkiye#256: Türk ekonomisinin diğer önemli bölümlerini ise , , , , , , ürünleri, , , - ve oluşturmaktadır. 2013 verilerine göre Türkiye'deki sektörel dağılım %8,9 tarım, %27,3 sanayi ve %63,8 hizmet şeklinde olmuştur. | Ekonomist#2: Bunlara ek olarak ekonomistler; , , , , , , sektörlerinde görev alabilmektedirler."
bankacılık,https://tr.wikipedia.org/wiki/Banka,1,"Türkiye#256: Türk ekonomisinin diğer önemli bölümlerini ise , , , , , , ürünleri, , , - ve oluşturmaktadır. 2013 verilerine göre Türkiye'deki sektörel dağılım %8,9 tarım, %27,3 sanayi ve %63,8 hizmet şeklinde olmuştur. | Ekonomist#2: Bunlara ek olarak ekonomistler; , , , , , , sektörlerinde görev alabilmektedirler."
finans,https://tr.wikipedia.org/wiki/Finans,1,"Ekonomist#2: Bunlara ek olarak ekonomistler; , , , , , , sektörlerinde görev alabilmektedirler."
finans,https://tr.wikipedia.org/wiki/Finans,1,"Ekonomist#2: Bunlara ek olarak ekonomistler; , , , , , , sektörlerinde görev alabilmektedirler."
muhasebe,https://tr.wikipedia.org/wiki/Muhasebe,1,"Ekonomist#2: Bunlara ek olarak ekonomistler; , , , , , , sektörlerinde görev alabilmektedirler."
muhasebe,https://tr.wikipedia.org/wiki/Muhasebe,1,"Ekonomist#2: Bunlara ek olarak ekonomistler; , , , , , , sektörlerinde görev alabilmektedirler."
ticaret,https://tr.wikipedia.org/wiki/Ticaret,1,"Trabzon#46: Canlı bir kenti olan Trabzon'un köklü Rum ve Müslüman ailelerden oluşan eşrafı aktif olarak siyasetle uğraşmaktaydı. 'in sahibi olduğu İstikbal gazetesi yerel sermaye ve aydınların düşüncelerini kamuoyuna duyurdukları en önemli haber kaynağıydı. 'nin ardından bölgede bir 'nin kurulması hatta daha çok destek bulan bir proje olarak yeni kurulacak 'a liman kenti olarak verilmesi gündeme geldiğinde Trabzonlular 12 Şubat 1919 tarihinde 'ni kurarak 'ne bağlılığın korunması için mücadele etmeye karar vermişlerdi. 'ne kalabalık bir heyetle katılan Trabzon heyeti ile kongreyi düzenleyenler arasında başkanlık seçimi ve kongrenin niteliği konusunda bazı pürüzler çıkmıştır. | Ekonomist#2: Bunlara ek olarak ekonomistler; , , , , , , sektörlerinde görev alabilmektedirler."
ticaret,https://tr.wikipedia.org/wiki/Ticaret,1,"Trabzon#46: Canlı bir kenti olan Trabzon'un köklü Rum ve Müslüman ailelerden oluşan eşrafı aktif olarak siyasetle uğraşmaktaydı. 'in sahibi olduğu İstikbal gazetesi yerel sermaye ve aydınların düşüncelerini kamuoyuna duyurdukları en önemli haber kaynağıydı. 'nin ardından bölgede bir 'nin kurulması hatta daha çok destek bulan bir proje olarak yeni kurulacak 'a liman kenti olarak verilmesi gündeme geldiğinde Trabzonlular 12 Şubat 1919 tarihinde 'ni kurarak 'ne bağlılığın korunması için mücadele etmeye karar vermişlerdi. 'ne kalabalık bir heyetle katılan Trabzon heyeti ile kongreyi düzenleyenler arasında başkanlık seçimi ve kongrenin niteliği konusunda bazı pürüzler çıkmıştır. | Ekonomist#2: Bunlara ek olarak ekonomistler; , , , , , , sektörlerinde görev alabilmektedirler."
pazarlama,https://tr.wikipedia.org/wiki/Pazarlama,1,"Ekonomist#2: Bunlara ek olarak ekonomistler; , , , , , , sektörlerinde görev alabilmektedirler."
pazarlama,https://tr.wikipedia.org/wiki/Pazarlama,1,"Ekonomist#2: Bunlara ek olarak ekonomistler; , , , , , , sektörlerinde görev alabilmektedirler."
işletme,https://tr.wikipedia.org/wiki/%C4%B0%C5%9Fletme,1,"Ekonomist#2: Bunlara ek olarak ekonomistler; , , , , , , sektörlerinde görev alabilmektedirler."
işletme,https://tr.wikipedia.org/wiki/%C4%B0%C5%9Fletme,1,"Ekonomist#2: Bunlara ek olarak ekonomistler; , , , , , , sektörlerinde görev alabilmektedirler."
lobicilik,https://tr.wikipedia.org/wiki/Lobicilik,1,"Ekonomist#2: Bunlara ek olarak ekonomistler; , , , , , , sektörlerinde görev alabilmektedirler."
lobicilik,https://tr.wikipedia.org/wiki/Lobicilik,1,"Ekonomist#2: Bunlara ek olarak ekonomistler; , , , , , , sektörlerinde görev alabilmektedirler."
