E,U,Frekans,Kaynak_IDler
Araklı,https://tr.wikipedia.org/wiki/Arakl%C4%B1,3,"Akif Hamzaçebi#1: Mehmet Akif Hamzaçebi (1 Aralık 1953, , ), Türk maliyeci, ekonomist, spor yöneticisi, politikacı. | Akif Hamzaçebi#2: 1 Aralık 1953'te 'un ilçesinde doğdu. | Akif HamzaçebiCard#4: 1 Aralık 1953 (71 yaşında) , ,"
Araklı,https://tr.wikipedia.org/wiki/Arakl%C4%B1,3,"Akif Hamzaçebi#1: Mehmet Akif Hamzaçebi (1 Aralık 1953, , ), Türk maliyeci, ekonomist, spor yöneticisi, politikacı. | Akif Hamzaçebi#2: 1 Aralık 1953'te 'un ilçesinde doğdu. | Akif HamzaçebiCard#4: 1 Aralık 1953 (71 yaşında) , ,"
Trabzon,https://tr.wikipedia.org/wiki/Trabzon,3,"Akif Hamzaçebi#1: Mehmet Akif Hamzaçebi (1 Aralık 1953, , ), Türk maliyeci, ekonomist, spor yöneticisi, politikacı. | Akif Hamzaçebi#2: 1 Aralık 1953'te 'un ilçesinde doğdu. | Akif HamzaçebiCard#4: 1 Aralık 1953 (71 yaşında) , ,"
Trabzon,https://tr.wikipedia.org/wiki/Trabzon,3,"Akif Hamzaçebi#1: Mehmet Akif Hamzaçebi (1 Aralık 1953, , ), Türk maliyeci, ekonomist, spor yöneticisi, politikacı. | Akif Hamzaçebi#2: 1 Aralık 1953'te 'un ilçesinde doğdu. | Akif HamzaçebiCard#4: 1 Aralık 1953 (71 yaşında) , ,"
Bakırköy Lisesi,https://tr.wikipedia.org/wiki/Bak%C4%B1rk%C3%B6y_Lisesi,2,"Akif Hamzaçebi#5: 1970 yılında İstanbul 'nden, 1974 yılında İktisat ve Maliye Bölümünden mezun oldu. Yüksek lisansını Sosyal Bilimler Enstitüsü Maliye Bölümünde ""Gelir ve Kurumlar Vergilerinin Entegrasyonu"" alanında tamamladı. 1983-1984 döneminde ABD'de bir yıl süreyle staj yaptı."
Bakırköy Lisesi,https://tr.wikipedia.org/wiki/Bak%C4%B1rk%C3%B6y_Lisesi,2,"Akif Hamzaçebi#5: 1970 yılında İstanbul 'nden, 1974 yılında İktisat ve Maliye Bölümünden mezun oldu. Yüksek lisansını Sosyal Bilimler Enstitüsü Maliye Bölümünde ""Gelir ve Kurumlar Vergilerinin Entegrasyonu"" alanında tamamladı. 1983-1984 döneminde ABD'de bir yıl süreyle staj yaptı."
Ankara Üniversitesi Siyasal Bilgiler Fakültesi,https://tr.wikipedia.org/wiki/Ankara_%C3%9Cniversitesi_Siyasal_Bilgiler_Fak%C3%BCltesi,2,"Akif Hamzaçebi#5: 1970 yılında İstanbul 'nden, 1974 yılında İktisat ve Maliye Bölümünden mezun oldu. Yüksek lisansını Sosyal Bilimler Enstitüsü Maliye Bölümünde ""Gelir ve Kurumlar Vergilerinin Entegrasyonu"" alanında tamamladı. 1983-1984 döneminde ABD'de bir yıl süreyle staj yaptı."
Ankara Üniversitesi Siyasal Bilgiler Fakültesi,https://tr.wikipedia.org/wiki/Ankara_%C3%9Cniversitesi_Siyasal_Bilgiler_Fak%C3%BCltesi,2,"Akif Hamzaçebi#5: 1970 yılında İstanbul 'nden, 1974 yılında İktisat ve Maliye Bölümünden mezun oldu. Yüksek lisansını Sosyal Bilimler Enstitüsü Maliye Bölümünde ""Gelir ve Kurumlar Vergilerinin Entegrasyonu"" alanında tamamladı. 1983-1984 döneminde ABD'de bir yıl süreyle staj yaptı."
Gazi Üniversitesi,https://tr.wikipedia.org/wiki/Gazi_%C3%9Cniversitesi,1,"Akif Hamzaçebi#5: 1970 yılında İstanbul 'nden, 1974 yılında İktisat ve Maliye Bölümünden mezun oldu. Yüksek lisansını Sosyal Bilimler Enstitüsü Maliye Bölümünde ""Gelir ve Kurumlar Vergilerinin Entegrasyonu"" alanında tamamladı. 1983-1984 döneminde ABD'de bir yıl süreyle staj yaptı."
Gazi Üniversitesi,https://tr.wikipedia.org/wiki/Gazi_%C3%9Cniversitesi,1,"Akif Hamzaçebi#5: 1970 yılında İstanbul 'nden, 1974 yılında İktisat ve Maliye Bölümünden mezun oldu. Yüksek lisansını Sosyal Bilimler Enstitüsü Maliye Bölümünde ""Gelir ve Kurumlar Vergilerinin Entegrasyonu"" alanında tamamladı. 1983-1984 döneminde ABD'de bir yıl süreyle staj yaptı."
Maliye Bakanlığı Gelirler Genel Müdürlüğünde,https://tr.wikipedia.org/wiki/Gelir_%C4%B0daresi_Ba%C5%9Fkanl%C4%B1%C4%9F%C4%B1,1,"Akif Hamzaçebi#6: memur olarak göreve başladı. 1974 yılında Maliye Müfettiş Yardımcısı ve 06.12.1977 tarihinde Maliye Müfettişi oldu. 13.01.1985 tarihinde Maliye Başmüfettişi oldu. 1986-1990 yılları arasında İstanbul Defterdar Yardımcısı, 05.02.1990- 24.06.1993 tarihlerinde Ankara Defterdarı, 24.06.1993- 04.09.1997 tarihlerinde , 08.09.1997- 02.03.1999 tarihlerinde İstanbul Defterdarı ve 04.03.1999- 03.11.2002 tarihlerinde olarak görev yaptı."
Maliye Bakanlığı Gelirler Genel Müdürlüğünde,https://tr.wikipedia.org/wiki/Gelir_%C4%B0daresi_Ba%C5%9Fkanl%C4%B1%C4%9F%C4%B1,1,"Akif Hamzaçebi#6: memur olarak göreve başladı. 1974 yılında Maliye Müfettiş Yardımcısı ve 06.12.1977 tarihinde Maliye Müfettişi oldu. 13.01.1985 tarihinde Maliye Başmüfettişi oldu. 1986-1990 yılları arasında İstanbul Defterdar Yardımcısı, 05.02.1990- 24.06.1993 tarihlerinde Ankara Defterdarı, 24.06.1993- 04.09.1997 tarihlerinde , 08.09.1997- 02.03.1999 tarihlerinde İstanbul Defterdarı ve 04.03.1999- 03.11.2002 tarihlerinde olarak görev yaptı."
Millî Emlak Genel Müdürü,https://tr.wikipedia.org/w/index.php?title=Mill%C3%AE_Emlak_Genel_M%C3%BCd%C3%BCrl%C3%BC%C4%9F%C3%BC&action=edit&redlink=1,1,"Akif Hamzaçebi#6: memur olarak göreve başladı. 1974 yılında Maliye Müfettiş Yardımcısı ve 06.12.1977 tarihinde Maliye Müfettişi oldu. 13.01.1985 tarihinde Maliye Başmüfettişi oldu. 1986-1990 yılları arasında İstanbul Defterdar Yardımcısı, 05.02.1990- 24.06.1993 tarihlerinde Ankara Defterdarı, 24.06.1993- 04.09.1997 tarihlerinde , 08.09.1997- 02.03.1999 tarihlerinde İstanbul Defterdarı ve 04.03.1999- 03.11.2002 tarihlerinde olarak görev yaptı."
Millî Emlak Genel Müdürü,https://tr.wikipedia.org/w/index.php?title=Mill%C3%AE_Emlak_Genel_M%C3%BCd%C3%BCrl%C3%BC%C4%9F%C3%BC&action=edit&redlink=1,1,"Akif Hamzaçebi#6: memur olarak göreve başladı. 1974 yılında Maliye Müfettiş Yardımcısı ve 06.12.1977 tarihinde Maliye Müfettişi oldu. 13.01.1985 tarihinde Maliye Başmüfettişi oldu. 1986-1990 yılları arasında İstanbul Defterdar Yardımcısı, 05.02.1990- 24.06.1993 tarihlerinde Ankara Defterdarı, 24.06.1993- 04.09.1997 tarihlerinde , 08.09.1997- 02.03.1999 tarihlerinde İstanbul Defterdarı ve 04.03.1999- 03.11.2002 tarihlerinde olarak görev yaptı."
Gelirler Genel Müdürü,https://tr.wikipedia.org/wiki/Gelir_%C4%B0daresi_Ba%C5%9Fkanl%C4%B1%C4%9F%C4%B1,1,"Akif Hamzaçebi#6: memur olarak göreve başladı. 1974 yılında Maliye Müfettiş Yardımcısı ve 06.12.1977 tarihinde Maliye Müfettişi oldu. 13.01.1985 tarihinde Maliye Başmüfettişi oldu. 1986-1990 yılları arasında İstanbul Defterdar Yardımcısı, 05.02.1990- 24.06.1993 tarihlerinde Ankara Defterdarı, 24.06.1993- 04.09.1997 tarihlerinde , 08.09.1997- 02.03.1999 tarihlerinde İstanbul Defterdarı ve 04.03.1999- 03.11.2002 tarihlerinde olarak görev yaptı."
Gelirler Genel Müdürü,https://tr.wikipedia.org/wiki/Gelir_%C4%B0daresi_Ba%C5%9Fkanl%C4%B1%C4%9F%C4%B1,1,"Akif Hamzaçebi#6: memur olarak göreve başladı. 1974 yılında Maliye Müfettiş Yardımcısı ve 06.12.1977 tarihinde Maliye Müfettişi oldu. 13.01.1985 tarihinde Maliye Başmüfettişi oldu. 1986-1990 yılları arasında İstanbul Defterdar Yardımcısı, 05.02.1990- 24.06.1993 tarihlerinde Ankara Defterdarı, 24.06.1993- 04.09.1997 tarihlerinde , 08.09.1997- 02.03.1999 tarihlerinde İstanbul Defterdarı ve 04.03.1999- 03.11.2002 tarihlerinde olarak görev yaptı."
