Entity,Sayfa_Frekans,Kaynak_Sayfa_Sayisi,Kaynak_Basliklar,Sayfa_IDleri
Türkiye,10,10,Akif Hamzaçebi | 2002 Türkiye genel seçimleri | Trabzon | 2007 Türkiye genel seçimleri | Bakırköy Anadolu Lisesi | Cumhuriyet Halk Partisi | 2011 Türkiye genel seçimleri | Ankara Üniversitesi Siyasal Bilgiler Fakültesi | Gazi Üniversitesi | Araklı,Page_1 | Page_26 | Page_5 | Page_22 | Page_23 | Page_28 | Page_15 | Page_21 | Page_19 | Page_12
AK Parti,10,10,2002 Türkiye genel seçimleri | Türkiye | Kasım 2015 Türkiye genel seçimleri | Haziran 2015 Türkiye genel seçimleri | Trabzon | 2007 Türkiye genel seçimleri | Cumhuriyet Halk Partisi | 2011 Türkiye genel seçimleri | Araklı | 2018 Türkiye genel seçimleri,Page_26 | Page_7 | Page_10 | Page_24 | Page_5 | Page_22 | Page_28 | Page_15 | Page_12 | Page_16
Cumhuriyet Halk Partisi,8,8,Akif Hamzaçebi | 2002 Türkiye genel seçimleri | Türkiye | Haziran 2015 Türkiye genel seçimleri | 2007 Türkiye genel seçimleri | 2011 Türkiye genel seçimleri | Cumhuriyet Halk Partisi genel sekreterleri listesi | 2018 Türkiye genel seçimleri,Page_1 | Page_26 | Page_7 | Page_24 | Page_22 | Page_15 | Page_4 | Page_16
Recep Tayyip Erdoğan,7,7,2002 Türkiye genel seçimleri | Türkiye | Haziran 2015 Türkiye genel seçimleri | 2007 Türkiye genel seçimleri | Cumhuriyet Halk Partisi | 2011 Türkiye genel seçimleri | 2018 Türkiye genel seçimleri,Page_26 | Page_7 | Page_24 | Page_22 | Page_28 | Page_15 | Page_16
Ankara,6,6,Türkiye | Cumhuriyet Halk Partisi | Ankara Üniversitesi Siyasal Bilgiler Fakültesi | Gazi Üniversitesi | Türkiye Voleybol Federasyonu | Türk Patent ve Marka Kurumu,Page_7 | Page_28 | Page_21 | Page_19 | Page_6 | Page_11
Adalet ve Kalkınma Partisi,6,6,2002 Türkiye genel seçimleri | Türkiye | Haziran 2015 Türkiye genel seçimleri | Cumhuriyet Halk Partisi | 2011 Türkiye genel seçimleri | 2018 Türkiye genel seçimleri,Page_26 | Page_7 | Page_24 | Page_28 | Page_15 | Page_16
sayfayı yenileyin,5,5,"""Finansal Forum"" sayfasını oluşturmaktasınız | ""Sualtı Sporları Federasyonu"" sayfasını oluşturmaktasınız | ""Özcal Korkmaz"" sayfasını oluşturmaktasınız | ""Millî Emlak Genel Müdürlüğü"" sayfasını oluşturmaktasınız | ""Halit Demir"" sayfasını oluşturmaktasınız",Page_2 | Page_18 | Page_3 | Page_20 | Page_13
Milliyetçi Hareket Partisi,5,5,2002 Türkiye genel seçimleri | Türkiye | Haziran 2015 Türkiye genel seçimleri | 2011 Türkiye genel seçimleri | 2018 Türkiye genel seçimleri,Page_26 | Page_7 | Page_24 | Page_15 | Page_16
Saadet Partisi,5,5,2002 Türkiye genel seçimleri | Haziran 2015 Türkiye genel seçimleri | Cumhuriyet Halk Partisi | 2011 Türkiye genel seçimleri | 2018 Türkiye genel seçimleri,Page_26 | Page_24 | Page_28 | Page_15 | Page_16
Kemal Kılıçdaroğlu,4,4,Cumhuriyet Halk Partisi 36. Olağan Kurultayı | Haziran 2015 Türkiye genel seçimleri | 2011 Türkiye genel seçimleri | Cumhuriyet Halk Partisi,Page_8 | Page_24 | Page_15 | Page_28
