Entity,URL,Sayfa_Frekans,Kaynak_Sayfa_Sayisi,Kaynak_Basliklar,Sayfa_IDleri
Türkiye,https://tr.wikipedia.org/wiki/T%C3%BCrkiye,10,10,Akif Hamzaçebi | 2002 Türkiye genel seçimleri | Trabzon | 2007 Türkiye genel seçimleri | Bakırköy Anadolu Lisesi | Cumhuriyet Halk Partisi | 2011 Türkiye genel seçimleri | Ankara Üniversitesi Siyasal Bilgiler Fakültesi | Gazi Üniversitesi | Araklı,Page_1 | Page_26 | Page_5 | Page_22 | Page_23 | Page_28 | Page_15 | Page_21 | Page_19 | Page_12
AK Parti,https://tr.wikipedia.org/wiki/Adalet_ve_Kalk%C4%B1nma_Partisi,10,10,2002 Türkiye genel seçimleri | Türkiye | Kasım 2015 Türkiye genel seçimleri | Haziran 2015 Türkiye genel seçimleri | Trabzon | 2007 Türkiye genel seçimleri | Cumhuriyet Halk Partisi | 2011 Türkiye genel seçimleri | Araklı | 2018 Türkiye genel seçimleri,Page_26 | Page_7 | Page_10 | Page_24 | Page_5 | Page_22 | Page_28 | Page_15 | Page_12 | Page_16
Cumhuriyet Halk Partisi,https://tr.wikipedia.org/wiki/Cumhuriyet_Halk_Partisi,8,8,Akif Hamzaçebi | 2002 Türkiye genel seçimleri | Türkiye | Haziran 2015 Türkiye genel seçimleri | 2007 Türkiye genel seçimleri | 2011 Türkiye genel seçimleri | Cumhuriyet Halk Partisi genel sekreterleri listesi | 2018 Türkiye genel seçimleri,Page_1 | Page_26 | Page_7 | Page_24 | Page_22 | Page_15 | Page_4 | Page_16
Recep Tayyip Erdoğan,https://tr.wikipedia.org/wiki/Recep_Tayyip_Erdo%C4%9Fan,7,7,2002 Türkiye genel seçimleri | Türkiye | Haziran 2015 Türkiye genel seçimleri | 2007 Türkiye genel seçimleri | Cumhuriyet Halk Partisi | 2011 Türkiye genel seçimleri | 2018 Türkiye genel seçimleri,Page_26 | Page_7 | Page_24 | Page_22 | Page_28 | Page_15 | Page_16
Ankara,https://tr.wikipedia.org/wiki/Ankara,6,6,Türkiye | Cumhuriyet Halk Partisi | Ankara Üniversitesi Siyasal Bilgiler Fakültesi | Gazi Üniversitesi | Türkiye Voleybol Federasyonu | Türk Patent ve Marka Kurumu,Page_7 | Page_28 | Page_21 | Page_19 | Page_6 | Page_11
Adalet ve Kalkınma Partisi,https://tr.wikipedia.org/wiki/Adalet_ve_Kalk%C4%B1nma_Partisi,6,6,2002 Türkiye genel seçimleri | Türkiye | Haziran 2015 Türkiye genel seçimleri | Cumhuriyet Halk Partisi | 2011 Türkiye genel seçimleri | 2018 Türkiye genel seçimleri,Page_26 | Page_7 | Page_24 | Page_28 | Page_15 | Page_16
Milliyetçi Hareket Partisi,https://tr.wikipedia.org/wiki/Milliyet%C3%A7i_Hareket_Partisi,5,5,2002 Türkiye genel seçimleri | Türkiye | Haziran 2015 Türkiye genel seçimleri | 2011 Türkiye genel seçimleri | 2018 Türkiye genel seçimleri,Page_26 | Page_7 | Page_24 | Page_15 | Page_16
Saadet Partisi,https://tr.wikipedia.org/wiki/Saadet_Partisi,5,5,2002 Türkiye genel seçimleri | Haziran 2015 Türkiye genel seçimleri | Cumhuriyet Halk Partisi | 2011 Türkiye genel seçimleri | 2018 Türkiye genel seçimleri,Page_26 | Page_24 | Page_28 | Page_15 | Page_16
Demokratik Sol Parti,https://tr.wikipedia.org/wiki/Demokratik_Sol_Parti,4,4,2002 Türkiye genel seçimleri | Cumhuriyet Halk Partisi | 2007 Türkiye genel seçimleri | Türkiye,Page_26 | Page_28 | Page_22 | Page_7
I. Dünya Savaşı,https://tr.wikipedia.org/wiki/I._D%C3%BCnya_Sava%C5%9F%C4%B1,4,4,Ankara Üniversitesi Siyasal Bilgiler Fakültesi | Araklı | Trabzon | Türkiye,Page_21 | Page_12 | Page_5 | Page_7
