E,U,Frekans,Kaynak_IDler
bayttır,(https://tr.wikipedia.org/wiki/Bayt),8,IP adresi#40: Uzunluğu bir bayttır . | IP adresi#41: Uzunluğu iki bayttır . | IP adresi#42: Uzunluğu iki bayttır . | IP adresi#44: Uzunluğu bir bayttır . | IP adresi#45: Uzunluğu bir bayttır . | IP adresi#46: Uzunluğu iki bayttır . | IP adresi#47: Uzunluğu dört bayttır . | IP adresi#48: Uzunluğu dört bayttır .
İngilizce,(https://tr.wikipedia.org/wiki/%C4%B0ngilizce),4,"DNS#1: DNS ( İngilizce : Domain Name System , Türkçe : Alan Adı Sistemi ), internet uzayını bölümlemeye, bölümleri adlandırmaya ve bölümler arası iletişimi organize etmeye yarayan, bilgisayar, servis, internet veya özel bir ağa bağlı herhangi bir kaynak için hiyerarşik dağıtılmış bir adlandırma sistemidir. | .us#5: Birinci seviye içinde sadece Amerika Birleşik Devletleri'nin İngilizce kısaltmasının ilk iki harfi alınmıştır U nited S tates . | .sg#3: Singapur Ağ Bilgi Merkezi ( İngilizce : Singapore Network Information Centre ) (SGNIC) tarafından yönetilir. | Vikipedi#1: Vikipedi ( İngilizce : Wikipedia ), kullanıcıları tarafından ortaklaşa olarak birçok dilde hazırlanan; özgür, bağımsız, ücretsiz, reklamsız ve kâr amacı gütmeyen bir internet ansiklopedisidir . MediaWiki yazılımı kullanılarak hazırlanmaktadır. | .am#5: Ayrıca sonu ""am"" ile biten İngilizce kelimeler için şekilli alan adı oluşturmak için kullanılabilir. | IP adresi#1: IP adresi ( İngilizce : Internet Protocol address ), interneti ya da TCP/IP protokolünü kullanan diğer paket anahtarlamalı ağlara bağlı cihazların, ağ üzerinden birbirleri ile veri alışverişi yapmak için kullandıkları adres. | IP adresi#36: Versiyon ya da sürüm ( İngilizce : version ), kullanılan IP versiyonunu gösterir. | IP adresi#51: Ayrıca IPv4 başlık formatı ( İngilizce : header format ), IPv6 formatına göre daha basit yapıdadır. | IP adresi#56: IPv6'da NAT ’a ( İngilizce : Network Address Translation ) duyulan ihtiyaç azalmıştır."
bittir,(https://tr.wikipedia.org/wiki/Bit_(bili%C5%9Fim)),3,IP adresi#37: Uzunluğu dört bittir . | IP adresi#39: Uzunluğu dört bittir . | IP adresi#43: Uzunluğu üç bittir .
NAT,(https://tr.wikipedia.org/wiki/NAT),2,IP adresi#35: Bu nedenle bu IP ağlarından internete çıkarken gerçek IP adreslerine NAT yapılır. | IP adresi#56: IPv6'da NAT ’a ( İngilizce : Network Address Translation ) duyulan ihtiyaç azalmıştır.
ağlara,(https://tr.wikipedia.org/wiki/Bilgisayar_a%C4%9F%C4%B1),1,"IP adresi#1: IP adresi ( İngilizce : Internet Protocol address ), interneti ya da TCP/IP protokolünü kullanan diğer paket anahtarlamalı ağlara bağlı cihazların, ağ üzerinden birbirleri ile veri alışverişi yapmak için kullandıkları adres."
İnternet,(https://tr.wikipedia.org/wiki/%C4%B0nternet),1,"DNS#2: İnternet ağını oluşturan her birim sadece kendine ait bir IP adresine sahiptir. | IP adresi#3: İnternet 'e bağlanan her cihaza , İnternet Servis Sağlayıcısı tarafından bir ""public"" IP adresi atanır ve internete bağlı cihazlar birbirleriyle bu ""public"" IP adresleri üzerinden ulaşırlar."
cihaza,(https://tr.wikipedia.org/wiki/%C4%B0nternet_of_Things),1,"IP adresi#3: İnternet 'e bağlanan her cihaza , İnternet Servis Sağlayıcısı tarafından bir ""public"" IP adresi atanır ve internete bağlı cihazlar birbirleriyle bu ""public"" IP adresleri üzerinden ulaşırlar."
İnternet Servis Sağlayıcısı,(https://tr.wikipedia.org/wiki/%C4%B0nternet_Servis_Sa%C4%9Flay%C4%B1c%C4%B1),1,"IP adresi#3: İnternet 'e bağlanan her cihaza , İnternet Servis Sağlayıcısı tarafından bir ""public"" IP adresi atanır ve internete bağlı cihazlar birbirleriyle bu ""public"" IP adresleri üzerinden ulaşırlar."
OSI modeli,(https://tr.wikipedia.org/wiki/OSI_modeli),1,IP adresi#2: OSI modeli
interneti,(https://tr.wikipedia.org/wiki/%C4%B0nternet),1,"IP adresi#1: IP adresi ( İngilizce : Internet Protocol address ), interneti ya da TCP/IP protokolünü kullanan diğer paket anahtarlamalı ağlara bağlı cihazların, ağ üzerinden birbirleri ile veri alışverişi yapmak için kullandıkları adres."
TCP/IP,(https://tr.wikipedia.org/wiki/%C4%B0nternet_ileti%C5%9Fim_kurallar%C4%B1_dizisi),1,"DNS#45: Arpanet üzerinde TCP/IP kullanımına paralel olarak ortaya çıkan bağlantı patlaması, isim çözümü için birçok sunucuda ve her bilgisayara özgün bir isim atanmasında problemler yaşanmaktaydı. | IP adresi#1: IP adresi ( İngilizce : Internet Protocol address ), interneti ya da TCP/IP protokolünü kullanan diğer paket anahtarlamalı ağlara bağlı cihazların, ağ üzerinden birbirleri ile veri alışverişi yapmak için kullandıkları adres."
bit,(https://tr.wikipedia.org/wiki/Bit_(bili%C5%9Fim)),1,"DNS#25: Bu adres, protokol seviyesinin IPv4 ve IPv6 olmasına göre 32 bit ya da 128 bit uzunluğundadır. | Virtual hosting#10: Kısaca bu teknoloji ile birlikte tek bir IP adresi kullanılarak binlerce site yayında kalabilmektedir. IPv6 , 128 bit uzunluğundaki adres yapısıyla, çok daha geniş bir adres alanı sunar. | IP adresi#5: IP adresleri şu anda yaygın kullanımda olan IPv4 adresleri 32 bit boyutunda olup, noktalarla ayrılmış 4 adet onluk düzendeki sayılarla gösterilirler."
IPv4,(https://tr.wikipedia.org/wiki/IPv4),1,"DNS#25: Bu adres, protokol seviyesinin IPv4 ve IPv6 olmasına göre 32 bit ya da 128 bit uzunluğundadır. | Virtual hosting#7: IPv4 , her biri 32 bit uzunluğunda olan yaklaşık 4,3 milyar benzersiz adres sağlamaktadır. | IP adresi#5: IP adresleri şu anda yaygın kullanımda olan IPv4 adresleri 32 bit boyutunda olup, noktalarla ayrılmış 4 adet onluk düzendeki sayılarla gösterilirler."
yönlendiriciler,(https://tr.wikipedia.org/wiki/Y%C3%B6nlendirici),1,"IP adresi#4: IP adresine sahip iki farklı cihaz aynı ağda olmadıkları durumlarda, yönlendiriciler (router) ya da yönlendirme (routing) özelliği olan cihazlar vasıtası ile birbirleri ile iletişim kurarlar."
alan adı,(https://tr.wikipedia.org/wiki/DNS),1,"IP adresi#9: Ancak bu IP adreslerinin hangi sayfalara ait olduklarını bilebilmek pratikte çok mümkün olmadığından IP adreslerine karşılık gelen bir alan adı sistemi kullanılmaktadır. Alan Adı Sunucuları 'ndan (DNS -Domain Name System ) oluşan hiyerarşik bir sistem, hangi alan adının hangi IP adresine karşılık geldiği bilgisini eşler."
