E,U,Frekans,Kaynak_IDler
Microsoft SQL Server,(https://tr.wikipedia.org/wiki/Microsoft_SQL_Server),2,"Veritabanı#10: Bu sistemlere; Microsoft Access , MySQL , IBM DB2 , Informix , Interbase , Microsoft SQL Server , PostgreSQL , Oracle ve Sybase örnek olarak verilebilir. | Veritabanı#15: Bir veritabanı yöneticisi mantıksal data modelleme, fiziksel veritabanı dizaynı çıkarma, fiziksel olarak veritabanı oluşturma, Transact-SQL kullanarak sorgu yazma, Microsoft SQL Server kurulumu ve yapılandırılması, güvenlik yönetimi ve yapılandırılması, veritabanı yönetimi ve bakımı, veritabanı denetleme ve optimize etme işlerini üstlenir."
bilgi,(https://tr.wikipedia.org/wiki/Bilgi),1,"Veritabanı#1: Veritabanları , yapılandırılmış bilgi veya verilerin depolandığı alanlardır."
internet,(https://tr.wikipedia.org/wiki/%C4%B0nternet),1,".kh#1: .kh Kamboçya için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) Alan adı tescilini yalnızca Kamboçya'da kayıtlı şirketler, devlet kurumları, kuruluşlar ve Kamboçya vatandaşları yapabilir. | .ga#1: .ga Gabon için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .om#1: .om Umman için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .us#1: .us , Amerika Birleşik Devletleri için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) Ülkede en çok kullanılan CcTLD .com , .net , .org ikinci düzey alan adlarıdır. | .sv#1: .sv El Salvador için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .tk#1: .tk Tokelau için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) Dağıtımı dot.tk tarafından yapılmaktadır. | .kw#1: .kw Kuveyt için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .ci#1: .ci Fildişi Sahili için internet ülke kodu üst seviye alan adıdır . ( CcTLD ). | .gf#1: .gf Fransız Guyanası için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .sj#1: .sj Svalbard ve Jan Mayen Adaları için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) Kullanılmıyor | .st#1: .st São Tomé ve Príncipe için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .fo#1: .fo Faroe Adaları için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .tj#1: .tj Tacikistan için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .do#1: .do Dominik Cumhuriyeti için internet ülke kodu üst seviye alan adıdır ( CcTLD ). | .qa#1: .qa Katar için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | Veritabanı#5: Bunların dışında internet sitelerindeki üyelik sistemleri, akademik dergilerin ve üniversitelerin tez yönetim sistemleri de veritabanı kullanımına örnektir."
verilerin,(https://tr.wikipedia.org/wiki/Veri),1,"Veritabanı#1: Veritabanları , yapılandırılmış bilgi veya verilerin depolandığı alanlardır."
bibliyografik,(https://tr.wikipedia.org/wiki/Bibliyografya),1,Veritabanı#8: Akademik veritabanları aracılığıyla bazen bibliyografik bilgi bazen de tam metinlere erişmek mümkündür.
Microsoft Access,(https://tr.wikipedia.org/wiki/Microsoft_Access),1,"Veritabanı#10: Bu sistemlere; Microsoft Access , MySQL , IBM DB2 , Informix , Interbase , Microsoft SQL Server , PostgreSQL , Oracle ve Sybase örnek olarak verilebilir."
IBM DB2,(https://tr.wikipedia.org/wiki/IBM_DB2),1,"Veritabanı#10: Bu sistemlere; Microsoft Access , MySQL , IBM DB2 , Informix , Interbase , Microsoft SQL Server , PostgreSQL , Oracle ve Sybase örnek olarak verilebilir."
MySQL,(https://tr.wikipedia.org/wiki/MySQL),1,"Veritabanı#10: Bu sistemlere; Microsoft Access , MySQL , IBM DB2 , Informix , Interbase , Microsoft SQL Server , PostgreSQL , Oracle ve Sybase örnek olarak verilebilir."
Informix,(https://tr.wikipedia.org/w/index.php?title=Informix&action=edit&redlink=1),1,"Veritabanı#10: Bu sistemlere; Microsoft Access , MySQL , IBM DB2 , Informix , Interbase , Microsoft SQL Server , PostgreSQL , Oracle ve Sybase örnek olarak verilebilir."
Interbase,(https://tr.wikipedia.org/w/index.php?title=Interbase&action=edit&redlink=1),1,"Veritabanı#10: Bu sistemlere; Microsoft Access , MySQL , IBM DB2 , Informix , Interbase , Microsoft SQL Server , PostgreSQL , Oracle ve Sybase örnek olarak verilebilir."
PostgreSQL,(https://tr.wikipedia.org/wiki/PostgreSQL),1,"Veritabanı#10: Bu sistemlere; Microsoft Access , MySQL , IBM DB2 , Informix , Interbase , Microsoft SQL Server , PostgreSQL , Oracle ve Sybase örnek olarak verilebilir."
Oracle,(https://tr.wikipedia.org/wiki/Oracle),1,"Veritabanı#10: Bu sistemlere; Microsoft Access , MySQL , IBM DB2 , Informix , Interbase , Microsoft SQL Server , PostgreSQL , Oracle ve Sybase örnek olarak verilebilir."
Sybase,(https://tr.wikipedia.org/wiki/Sybase),1,"Veritabanı#10: Bu sistemlere; Microsoft Access , MySQL , IBM DB2 , Informix , Interbase , Microsoft SQL Server , PostgreSQL , Oracle ve Sybase örnek olarak verilebilir."
otomotiv,(https://tr.wikipedia.org/wiki/Otomotiv),1,"Veritabanı#12: Günümüzde veritabanı sistemleri, bankacılıktan otomotiv sanayisine, sağlık bilgi sistemlerinden şirket yönetimine, telekomünikasyon sistemlerinden hava taşımacılığına , çok geniş alanlarda kullanılan bilgisayar sistemlerinin altyapısını oluşturmaktadır."
telekomünikasyon,(https://tr.wikipedia.org/wiki/Telekom%C3%BCnikasyon),1,"Veritabanı#12: Günümüzde veritabanı sistemleri, bankacılıktan otomotiv sanayisine, sağlık bilgi sistemlerinden şirket yönetimine, telekomünikasyon sistemlerinden hava taşımacılığına , çok geniş alanlarda kullanılan bilgisayar sistemlerinin altyapısını oluşturmaktadır."
hava taşımacılığına,(https://tr.wikipedia.org/w/index.php?title=Hava_ta%C5%9F%C4%B1mac%C4%B1l%C4%B1%C4%9F%C4%B1&action=edit&redlink=1),1,"Veritabanı#12: Günümüzde veritabanı sistemleri, bankacılıktan otomotiv sanayisine, sağlık bilgi sistemlerinden şirket yönetimine, telekomünikasyon sistemlerinden hava taşımacılığına , çok geniş alanlarda kullanılan bilgisayar sistemlerinin altyapısını oluşturmaktadır."
Transact-SQL,(https://tr.wikipedia.org/w/index.php?title=Transact-SQL&action=edit&redlink=1),1,"Veritabanı#15: Bir veritabanı yöneticisi mantıksal data modelleme, fiziksel veritabanı dizaynı çıkarma, fiziksel olarak veritabanı oluşturma, Transact-SQL kullanarak sorgu yazma, Microsoft SQL Server kurulumu ve yapılandırılması, güvenlik yönetimi ve yapılandırılması, veritabanı yönetimi ve bakımı, veritabanı denetleme ve optimize etme işlerini üstlenir."
güvenlik yönetimi,(https://tr.wikipedia.org/w/index.php?title=G%C3%BCvenlik_y%C3%B6netimi&action=edit&redlink=1),1,"Veritabanı#15: Bir veritabanı yöneticisi mantıksal data modelleme, fiziksel veritabanı dizaynı çıkarma, fiziksel olarak veritabanı oluşturma, Transact-SQL kullanarak sorgu yazma, Microsoft SQL Server kurulumu ve yapılandırılması, güvenlik yönetimi ve yapılandırılması, veritabanı yönetimi ve bakımı, veritabanı denetleme ve optimize etme işlerini üstlenir."
anahtar-değer,(https://tr.wikipedia.org/wiki/Anahtar-de%C4%9Fer_veritaban%C4%B1),1,Veritabanı#16: İlişkisel olmayan (NoSQL) veritabanı sistemleri anahtar-değer prensibiyle çalışan veritabanı sistemleridir.
ilişkisel modeldir,(https://tr.wikipedia.org/wiki/%C4%B0li%C5%9Fkisel_model),1,Veritabanı#23: En yaygın olanı ilişkisel modeldir ( İngilizce: relational model ).
