E,U,Frekans,Kaynak_IDler
Arapça,(https://tr.wikipedia.org/wiki/Arap%C3%A7a),6,"Türkçe#7: Almanca, Arapça gibi dillerin aksine gramatik cinsiyetin (erillik, dişilik, cinsiyet ayrımı) bulunmadığı Türkçede, sözcüklerin bir kısmı Arapça , Farsça ve Fransızca gibi yabancı dillerden geçmedir. | Türkçe#83: Devrinde Arapça ve Farsça eser vermek revaçta iken, Hacı Bayram Veli'nin halk ile ilişki kurabileceği Türkçeyi tercih etmesi belli bir olgunluğa işaret eder. Bu olgunluk Anadolu'da dil birliğinin sağlanması ve Türk kültürünün egemen olmasıdır. | Türkçe#87: Osmanlı Türkçesi, Osmanlı İmparatorluğu 'nda konuşulmuş, Eski Anadolu Türkçesinin ardılı olan bir dildir. Arapça ve Farsçadan etkilenmiş bu dönemin Türkçesinde söz varlığının %88'i bu iki dil kaynaklı olmaktadır. | Türkçe#123: Bu yazı sistemi, Osmanlıcanın Farsça ve Arapça dillerinden alınma söz varlığını yazmak için uygun olmak ile birlikte, dildeki Türkçe kökenli sözcükleri yazarken pek çok zorluk getirmekteydi. | Türkçe#148: Ağızlar arasında bulunan bazı farklılıkların nedeni, bölgeye göre Lazca , Azerice , Arapça , Kürtçe veya Yunancanın bölgede konuşulan Türkçeye olan etkileridir. | Türkçe#340: Ancak Arapça ve Farsçadan gelmiş sözcüklerin bir bölümü o denli Türkçeleşmiştir ki Arap veya Fars dilindeki durumundan oldukça farklıdır ve kimi sözcüklerin anlamı da farklılaşmıştır. [kaynak belirtilmeli]"
Türkiye,(https://tr.wikipedia.org/wiki/T%C3%BCrkiye),6,".tr#1: .tr , Türkiye 'nin ve Kuzey Kıbrıs Türk Cumhuriyeti 'nin internet ülke üst seviye alan adıdır . 17 Eylül 1990'de ortaya çıkmıştır. | Türkçe#2: Dil, başta Türkiye olmak üzere Balkanlar , Ege Adaları , Kıbrıs ve Orta Doğu 'yu kapsayan eski Osmanlı İmparatorluğu coğrafyasında konuşulur. | Türkçe#4: Türkçe, Türkiye , Kuzey Kıbrıs ve Kıbrıs Cumhuriyeti 'nde ulusal resmî dil statüsüne sahiptir. | Türkçe#26: Türkiye ve Kuzey Kıbrıs Türk Cumhuriyeti 'nde bu dil ülkenin resmî dilidir. Kıbrıs Cumhuriyeti 'nde (diğer adıyla Güney Kıbrıs Rum Yönetimi ) anayasal olarak Türkçe, Yunanca ile beraber resmî dil olarak geçer. 1982 T.C. Anayasasına göre Türkçe, Türkiye Devleti 'nin dilidir. | Türkçe#41: Türkçe, Türkiye'nin ve Türkiye Türklerinin kurumsal dilidir. Türkiye 'de Türk Dil Kurumu , Türk Dili Tetkik Cemiyeti adıyla 12 Temmuz 1932'de Atatürk 'ün talimatıyla kurulmuştur. | Türkçe#150: Anadolu ağız bölgesi , Türkiye 'nin Anadolu topraklarını içerir. | Türkçe#164: Doğu Rumeli ağız bölgesi ise Batı Rumeli'nin doğusunda kalan bütün alanı kapsar. Bulgaristan 'da Lom , Vraça , Sofya , Samokov ve Köstendil şehirlerinin doğusundan itibaren ülkenin tamamı, Yunanistan , Makedonya 'nın güney kesimleri ve Türkiye 'nin Trakya 'sı (Doğu Trakya) bu sahanın içindedir."
Türk dilleri,(https://tr.wikipedia.org/wiki/T%C3%BCrk_dilleri),5,"Türkçe#1: Türkçe ya da Türkiye Türkçesi , Güneydoğu Avrupa ve Batı Asya 'da konuşulan, Türk dilleri dil ailesine ait sondan eklemeli bir dildir . Türk dilleri ailesinin Oğuz dilleri grubundan bir Batı Oğuz dili olan Osmanlı Türkçesinin devamını oluşturur. | Türkçe#12: Türkçe, dil ailesi sınıflandırmasında Doğu Avrupa , Orta Asya ve Sibirya 'da konuşulan 30 kadar yaşayan dili kapsayan Türk dilleri ailesine mensuptur ve bu dil ailesinin Şaz Türkçesi koluna bağlı Oğuz dil grubunda yer alır. Oğuz grubu içinde ise Rumeli Türkçesi ve Gagavuzca ile birlikte grubun Batı kolunu oluşturur. | Türkçe#17: Önce Ural-Altay dil ailesine mensup olduğu ifade edilen ancak sonrasında Altay dillerinin bir üyesi olarak sınıflandırılan Türk dilleri , günümüzde diğer dil ailelerinden bağımsız bir dil ailesi olduğu kanısı, dilbilimciler arasında giderek daha çok taraftar toplayan bir görüştür. | Türkçe#55: Ön Türkçe, Ana Türkçe veya Proto-Türkçe; Türk dilleri ailesinin Şaz (Doğu) ve Oğur (Batı) branşlarına ayrılmadan önceki dönemlerine ait varsayımsal (hipotetik) bir ön dil veya proto-dildir ."
Osmanlı İmparatorluğu,(https://tr.wikipedia.org/wiki/Osmanl%C4%B1_%C4%B0mparatorlu%C4%9Fu),5,"Türkçe#2: Dil, başta Türkiye olmak üzere Balkanlar , Ege Adaları , Kıbrıs ve Orta Doğu 'yu kapsayan eski Osmanlı İmparatorluğu coğrafyasında konuşulur. | Türkçe#20: Eski Osmanlı İmparatorluğu coğrafyasının kapsadığı Kuzey Suriye ve Irak , bazı Ege Adaları ve Balkanların güneyi ve doğusunda yaşayan Türk azınlıklar da Türkçeyi ana dilleri olarak kullanır. | Türkçe#87: Osmanlı Türkçesi, Osmanlı İmparatorluğu 'nda konuşulmuş, Eski Anadolu Türkçesinin ardılı olan bir dildir. Arapça ve Farsçadan etkilenmiş bu dönemin Türkçesinde söz varlığının %88'i bu iki dil kaynaklı olmaktadır. | Türkçe#122: Arap harfli bir alfabe kullanmış olan Osmanlı İmparatorluğu 'nda alfabenin üzerinde birtakım düzenleme ve eklemeler yapılarak Osmanlı alfabesi denilen bir alfabe kullanılmıştır. | Türkçe#146: Buna rağmen günümüzde modern Türkiye Cumhuriyeti 'ni de kapsayan tarihî Osmanlı İmparatorluğu coğrafyasında hâlâ konuşulmaya devam eden Türkçe ağız ve lehçeleri bulunmakta ve bu ağızlar özellikleri bakımından çeşitli gruplara ayrılmaktadır."
Anadolu,(https://tr.wikipedia.org/wiki/Anadolu),4,"Türkçe#78: Yunus Emre'nin edebiyat tarihi bakımından önemli bir yanı da Anadolu 'da, Türkçe şiir dilinin öncüsü olması ve tasavvuf sorunlarını yalın ve kolay anlaşılır bir dille söyleyişi nedeniyledir. | Türkçe#147: Bu gruplara, kendi içlerinde de alt gruplara ayrılan Anadolu , Rumeli , Kıbrıs , Suriye ve Irak diyalekt bölgeleri dahildir. | Türkçe#150: Anadolu ağız bölgesi , Türkiye 'nin Anadolu topraklarını içerir. | Türkçe#153: Leylâ Karahan'ın Anadolu Ağızlarının Sınıflandırılması adlı çalışması Anadolu ağızları üzerine yapılmış en geniş akademik çalışmadır."
Azerice,(https://tr.wikipedia.org/wiki/Azerice),4,"Türkçe#8: Ayrıca Azerice , Gagavuzca ve Türkmence gibi diğer Oğuz dilleri ile Türkçe yüksek oranda karşılıklı anlaşılabilirlik gösterir. | Türkçe#14: Türkçe dışında Azerice , Başkurtça , Çuvaşça , Kazan Tatarcası , Kazakça , Kırgızca , Nogayca , Özbekçe , Türkmence ve Yakutça Türk dilleri ailesinin en çok konuşulan diğer üyeleridir. | Türkçe#51: Türkçe, Türkmence , Salarca ve Azerice 'nin, Ana Oğuzca denilen bir dilden evrilerek oluştuğu varsayılır. | Türkçe#148: Ağızlar arasında bulunan bazı farklılıkların nedeni, bölgeye göre Lazca , Azerice , Arapça , Kürtçe veya Yunancanın bölgede konuşulan Türkçeye olan etkileridir."
Farsça,(https://tr.wikipedia.org/wiki/Fars%C3%A7a),4,"Türkçe#7: Almanca, Arapça gibi dillerin aksine gramatik cinsiyetin (erillik, dişilik, cinsiyet ayrımı) bulunmadığı Türkçede, sözcüklerin bir kısmı Arapça , Farsça ve Fransızca gibi yabancı dillerden geçmedir. | Türkçe#83: Devrinde Arapça ve Farsça eser vermek revaçta iken, Hacı Bayram Veli'nin halk ile ilişki kurabileceği Türkçeyi tercih etmesi belli bir olgunluğa işaret eder. Bu olgunluk Anadolu'da dil birliğinin sağlanması ve Türk kültürünün egemen olmasıdır. | Türkçe#91: Alfabe olarak Arap alfabesinin Farsça ve Türkçe için uyarlanmış bir biçimi kullanılmıştır. | Türkçe#123: Bu yazı sistemi, Osmanlıcanın Farsça ve Arapça dillerinden alınma söz varlığını yazmak için uygun olmak ile birlikte, dildeki Türkçe kökenli sözcükleri yazarken pek çok zorluk getirmekteydi."
Orhun Yazıtları,(https://tr.wikipedia.org/wiki/Orhun_Yaz%C4%B1tlar%C4%B1),4,"Türkçe#50: Türkçe, Eski Türkçe yazılmış ve Türk dillerinin bilinen ilk yazılı kaynağı olan Orhun Yazıtları ele alındığında yaklaşık 1.300 yıllık bir tarihe sahiptir. Eski Türkçenin de üyesi olduğu Doğu grubu ile Ogur grubuna ait tüm Türk dillerinin ortak atası olan varsayımsal bir Ön Türkçenin var olduğu da düşünülmektedir. | Türkçe#65: Bilinen en eski Türkçe yazıt olan Orhun Yazıtları , Eski Türkçe ile yazılmıştır. | Türkçe#68: Çıgany bodunug bay kıltım, az bodunug üküş kıltım - (Yoksul halkı zengin yaptım, az halkı çok yaptım) - Orhun Yazıtları | Türkçe#114: Türkçenin bilinen ilk alfabesi, Orhun Yazıtları 'nda da kullanılan ve yaygın adıyla Göktürk alfabesi olarak bilinen Orhun alfabesidir. Avrasya'da çeşitli örnekleri bulunan Runik yazıya benzerliğinden ötürü bazen bu şekilde adlandırıldığı da olmuştur. 8. yüzyılın başlarına tarihlenen yazı sisteminin Çin veya Soğd yazı sistemlerinden etkilenerek oluşturulduğu düşünülmektedir."
Türkmence,(https://tr.wikipedia.org/wiki/T%C3%BCrkmence),4,"Türkçe#8: Ayrıca Azerice , Gagavuzca ve Türkmence gibi diğer Oğuz dilleri ile Türkçe yüksek oranda karşılıklı anlaşılabilirlik gösterir. | Türkçe#14: Türkçe dışında Azerice , Başkurtça , Çuvaşça , Kazan Tatarcası , Kazakça , Kırgızca , Nogayca , Özbekçe , Türkmence ve Yakutça Türk dilleri ailesinin en çok konuşulan diğer üyeleridir. | Türkçe#15: Azerice, Gagavuzca, Kaşkayca ve Türkmence gibi diğer Oğuz dilleri ile Türkçenin yüksek oranda karşılıklı anlaşılabilirlik gösterdiği bulunmuştur. | Türkçe#51: Türkçe, Türkmence , Salarca ve Azerice 'nin, Ana Oğuzca denilen bir dilden evrilerek oluştuğu varsayılır."
Orta Doğu,(https://tr.wikipedia.org/wiki/Orta_Do%C4%9Fu),4,"Türkçe#2: Dil, başta Türkiye olmak üzere Balkanlar , Ege Adaları , Kıbrıs ve Orta Doğu 'yu kapsayan eski Osmanlı İmparatorluğu coğrafyasında konuşulur. | Türkçe#11: İstanbul Türkçesi olarak da adlandırılan İstanbul ağzı; Türkçenin standart formudur ve Türkçe yazı dili , bu ağzı temel alır. Bununla birlikte Güneydoğu Avrupa ve Orta Doğu 'da çeşitli Türkçe şiveleri bulunur ve bu şiveler İstanbul Türkçesi ile çeşitli ses ve dilbilgisi farklılıklarına sahiptir. | Türkçe#18: Türkçe, Güneydoğu Avrupa ve Orta Doğu 'da yer alan çeşitli ülke ve bölgelerde ana dil veya ikinci dil olarak konuşulur. | Türkçe#71: Türkçe, onu kullanan göçebe ve yerleşik kavimlerin Orta Asya , Doğu Avrupa , Sibirya ve Orta Doğu 'ya doğru göçleriyle yayılmıştır."
