E,U,Frekans,Kaynak_IDler
bilginin,(https://tr.wikipedia.org/wiki/Bilgi),1,"İletişim#1: İletişim , iletilmek istenen bilginin hem gönderici hem de alıcı tarafından anlaşıldığı ortamda, bilginin bir göndericiden bir alıcıya aktarılma sürecidir."
alıcı,(https://tr.wikipedia.org/wiki/Al%C4%B1c%C4%B1),1,"İletişim#1: İletişim , iletilmek istenen bilginin hem gönderici hem de alıcı tarafından anlaşıldığı ortamda, bilginin bir göndericiden bir alıcıya aktarılma sürecidir."
dili,(https://tr.wikipedia.org/wiki/Dil),1,İletişim#3: İletişim tüm tarafların üzerinden bilgi alışverişi yapılacak ortak bir dili anlamalarına ihtiyaç duyar.
sözcük,(https://tr.wikipedia.org/wiki/S%C3%B6zc%C3%BCk),1,"İletişim#21: Kendi dışında başka bir şeyi gösteren, düşündüren, onun yerini alabilen, sözcük , nesne , görünüş veya olgulara gösterge denir."
nesne,(https://tr.wikipedia.org/wiki/Nesne),1,"İletişim#21: Kendi dışında başka bir şeyi gösteren, düşündüren, onun yerini alabilen, sözcük , nesne , görünüş veya olgulara gösterge denir."
Karl Bühler,(https://tr.wikipedia.org/wiki/Karl_B%C3%BChler),1,"İletişim#28: Bilinen iletişim modeli Karl Bühler 'in ""Organan modeli"" adlı (1933) kuramıdır."
Roman Jakobson,(https://tr.wikipedia.org/wiki/Roman_Jakobson),1,"İletişim#29: Bühler, göstergelerin betimleme, ifade etme ve algılama işlevini ayırır. Roman Jakobson 1960 yılında bu modeli altı işlev olarak genişletmiştir."
Claude Shannon,(https://tr.wikipedia.org/wiki/Claude_Shannon),1,"İletişim#30: İletişimin standart modeli olarak, bilgi kuramı çerçevesinde Claude Shannon ve Warren Weaver tarafından geliştirilen “ileten- iletilen modeli” (1949) geçerlidir. Dan Sperber ve Deirde Wilson , bu modelin iletişimin açıklanmasına yönelik çok kısa ele alındığını ve bir aracı model yoluyla genişletilmesi gerektiğini gösterir."
Warren Weaver,(https://tr.wikipedia.org/wiki/Warren_Weaver),1,"İletişim#30: İletişimin standart modeli olarak, bilgi kuramı çerçevesinde Claude Shannon ve Warren Weaver tarafından geliştirilen “ileten- iletilen modeli” (1949) geçerlidir. Dan Sperber ve Deirde Wilson , bu modelin iletişimin açıklanmasına yönelik çok kısa ele alındığını ve bir aracı model yoluyla genişletilmesi gerektiğini gösterir."
Dan Sperber,(https://tr.wikipedia.org/w/index.php?title=Dan_Sperber&action=edit&redlink=1),1,"İletişim#30: İletişimin standart modeli olarak, bilgi kuramı çerçevesinde Claude Shannon ve Warren Weaver tarafından geliştirilen “ileten- iletilen modeli” (1949) geçerlidir. Dan Sperber ve Deirde Wilson , bu modelin iletişimin açıklanmasına yönelik çok kısa ele alındığını ve bir aracı model yoluyla genişletilmesi gerektiğini gösterir."
Deirde Wilson,(https://tr.wikipedia.org/w/index.php?title=Deirde_Wilson&action=edit&redlink=1),1,"İletişim#30: İletişimin standart modeli olarak, bilgi kuramı çerçevesinde Claude Shannon ve Warren Weaver tarafından geliştirilen “ileten- iletilen modeli” (1949) geçerlidir. Dan Sperber ve Deirde Wilson , bu modelin iletişimin açıklanmasına yönelik çok kısa ele alındığını ve bir aracı model yoluyla genişletilmesi gerektiğini gösterir."
Sözsüz iletişim,(https://tr.wikipedia.org/wiki/S%C3%B6zs%C3%BCz_ileti%C5%9Fim),1,İletişim#33: Sözsüz iletişim sözcük kullanmadan anlaşılan dildir.
işaret dili,(https://tr.wikipedia.org/wiki/%C4%B0%C5%9Faret_dili),1,İletişim#36: Sözsüz iletişim ne sesli dil üzerinden ne de işaret dili ya da yazı dili üzerinden gerçekleştirilir.
yazı dili,(https://tr.wikipedia.org/wiki/Yaz%C4%B1_dili),1,"Türkçe#11: İstanbul Türkçesi olarak da adlandırılan İstanbul ağzı; Türkçenin standart formudur ve Türkçe yazı dili , bu ağzı temel alır. Bununla birlikte Güneydoğu Avrupa ve Orta Doğu 'da çeşitli Türkçe şiveleri bulunur ve bu şiveler İstanbul Türkçesi ile çeşitli ses ve dilbilgisi farklılıklarına sahiptir. | İletişim#36: Sözsüz iletişim ne sesli dil üzerinden ne de işaret dili ya da yazı dili üzerinden gerçekleştirilir."
işaretlerin,(https://tr.wikipedia.org/wiki/%C4%B0%C5%9Faret),1,İletişim#41: Farklı işaretlerin ve sembollerin ve bilgi grafiklerinin kullanımı da bir diğer düzeyde sözsüz iletişim olarak tanımlanmaktadır.
sembollerin,(https://tr.wikipedia.org/wiki/Sembol),1,İletişim#41: Farklı işaretlerin ve sembollerin ve bilgi grafiklerinin kullanımı da bir diğer düzeyde sözsüz iletişim olarak tanımlanmaktadır.
ses,(https://tr.wikipedia.org/wiki/Ses),1,"Türkçe#179: Dilbilgisi ya da gramer, bir dilin ses , biçim ve cümle yapısını inceleyip, kurallarını saptayan bir bilim dalıdır. | Türkçe#214: Türkçede iki adet ses ya da fonem grubu vardır. | Türkçe#221: Türkçede bulunan diğer bir ses grubu ise ünsüz seslerdir. | İletişim#42: Kavramın diğer bir yorumu, ses bakımından önemli olmayan iletişimle sözsüz iletişimin ve ses dilsel iletişimli sözlü iletişimin eşit değerlere sahip olmasıdır."
göndericinin,(https://tr.wikipedia.org/w/index.php?title=G%C3%B6nderici&action=edit&redlink=1),1,İletişim#46: İletişimin alıcısı bir diğerinin tutumundan ya da bir diğerinin algılanan sonuçlarından anahtarlar aldıkça göndericinin iletişimsel amacı bu durumda gerekli değildir.
Mesaj,(https://tr.wikipedia.org/wiki/Mesaj),1,"İletişim#48: Mesaj taşıyıcıları, sadece jestler , mimikler , göz teması ya da gülme gibi dilsel olmayan seslendirmeler, istemli olarak kontrol edilebilir açıklamalar değildir, dahası o tutumların kavramının kullanış biçimi sözsüz iletişim olarak kabul görebilmektedir. Paul Watzlawick ’in ünlü sözüne göre insan iletişimi bu olguya dayanır."
jestler,(https://tr.wikipedia.org/wiki/Jest),1,"İletişim#48: Mesaj taşıyıcıları, sadece jestler , mimikler , göz teması ya da gülme gibi dilsel olmayan seslendirmeler, istemli olarak kontrol edilebilir açıklamalar değildir, dahası o tutumların kavramının kullanış biçimi sözsüz iletişim olarak kabul görebilmektedir. Paul Watzlawick ’in ünlü sözüne göre insan iletişimi bu olguya dayanır."
mimikler,(https://tr.wikipedia.org/wiki/Mimik),1,"İletişim#48: Mesaj taşıyıcıları, sadece jestler , mimikler , göz teması ya da gülme gibi dilsel olmayan seslendirmeler, istemli olarak kontrol edilebilir açıklamalar değildir, dahası o tutumların kavramının kullanış biçimi sözsüz iletişim olarak kabul görebilmektedir. Paul Watzlawick ’in ünlü sözüne göre insan iletişimi bu olguya dayanır."
Paul Watzlawick,(https://tr.wikipedia.org/wiki/Paul_Watzlawick),1,"İletişim#48: Mesaj taşıyıcıları, sadece jestler , mimikler , göz teması ya da gülme gibi dilsel olmayan seslendirmeler, istemli olarak kontrol edilebilir açıklamalar değildir, dahası o tutumların kavramının kullanış biçimi sözsüz iletişim olarak kabul görebilmektedir. Paul Watzlawick ’in ünlü sözüne göre insan iletişimi bu olguya dayanır."
analog iletişim,(https://tr.wikipedia.org/w/index.php?title=Analog_ileti%C5%9Fim&action=edit&redlink=1),1,"İletişim#49: Watzlawick’in görüşlerinden yola çıkarak sözsüz iletişim bazen analog iletişim olarak, sözlü iletişim ise dijital iletişim olarak tanımlanmaktadır."
dijital iletişim,(https://tr.wikipedia.org/w/index.php?title=Dijital_ileti%C5%9Fim&action=edit&redlink=1),1,"İletişim#49: Watzlawick’in görüşlerinden yola çıkarak sözsüz iletişim bazen analog iletişim olarak, sözlü iletişim ise dijital iletişim olarak tanımlanmaktadır."
duyu organları,(https://tr.wikipedia.org/wiki/Duyu_organlar%C4%B1),1,İletişim#53: Aşağıdaki tabela duyu organları tarafından bir saniyede ne kadar bilgi algılanabileceği üzerine nicel bir bakış sunmaktadır.
Friedrich Nietzsche,(https://tr.wikipedia.org/wiki/Friedrich_Nietzsche),1,"İletişim#60: Uzun mesafede bu değişiklikleri algılamamaktayız ve bunları bilinçsiz olarak da iletişimin içine dâhil edememekteyiz. Friedrich Nietzsche bu durumu bir noktada dile getirmiştir: “İnsan ağzıyla yalan söyler, fakat o esnadaki ağız hareketleriyle de doğruyu söyler.”"
nabız,(https://tr.wikipedia.org/wiki/Nab%C4%B1z),1,"İletişim#62: Bu duruma örnek olarak karşıdaki kişinin dikkatini çeken terleme, göz bebeklerindeki değişiklikler veya nabız atışları örnek gösterilebilir."
Vücut dili,(https://tr.wikipedia.org/wiki/V%C3%BCcut_dili),1,İletişim#64: Vücut dili aynı şekilde koklama yoluyla elde edilen işaretlere benzer biçimde genetik olarak değerlendirilen hareket kontrolünün ifade biçimlerini oluşturmaktadır.
mimikleri,(https://tr.wikipedia.org/wiki/Mimik),1,"İletişim#105: Jest araştırması, son yirmi yılda yürütülen ve jest ve mimikleri sadece duyguların etkili ifadesi olarak gören sözsüz iletişim araştırmasından ortaya çıkmıştır."
Jakob Levy Moreno,(https://tr.wikipedia.org/w/index.php?title=Jakob_Levy_Moreno&action=edit&redlink=1),1,"İletişim#117: Jakob Levy Moreno ; “grup içinde tedavi, grupla birlikte tedavi ve grup için tedavi” olarak psikodrama ve sosyal dramaya yönelik insani rol tutumunun bir bakış açısını geliştirmiştir."
rol,(https://tr.wikipedia.org/wiki/Rol),1,İletişim#119: Ayrıca doğmaca bir doğallık ve yaratıcılık sayesinde duruma uygun rol tutumu geliştirmek ve yabancılarla olan ilişki yeteneğinin bir oluşumunu mümkün hâle getirmektir.
İslâmiyet,(https://tr.wikipedia.org/wiki/%C4%B0slam),1,"İletişim#127: Örneğin İslâmiyet 'ten önceki döneme ait destan, koşuk, sağu, savlar, Orhun Yazıtları , Dede Korkut Hikâyeleri , Yunus Emre 'nin şiirleri dil sayesinde günümüze dek yaşamışlardır."
Orhun Yazıtları,(https://tr.wikipedia.org/wiki/Orhun_Yaz%C4%B1tlar%C4%B1),1,"Türkçe#50: Türkçe, Eski Türkçe yazılmış ve Türk dillerinin bilinen ilk yazılı kaynağı olan Orhun Yazıtları ele alındığında yaklaşık 1.300 yıllık bir tarihe sahiptir. Eski Türkçenin de üyesi olduğu Doğu grubu ile Ogur grubuna ait tüm Türk dillerinin ortak atası olan varsayımsal bir Ön Türkçenin var olduğu da düşünülmektedir. | Türkçe#65: Bilinen en eski Türkçe yazıt olan Orhun Yazıtları , Eski Türkçe ile yazılmıştır. | Türkçe#68: Çıgany bodunug bay kıltım, az bodunug üküş kıltım - (Yoksul halkı zengin yaptım, az halkı çok yaptım) - Orhun Yazıtları | Türkçe#114: Türkçenin bilinen ilk alfabesi, Orhun Yazıtları 'nda da kullanılan ve yaygın adıyla Göktürk alfabesi olarak bilinen Orhun alfabesidir. Avrasya'da çeşitli örnekleri bulunan Runik yazıya benzerliğinden ötürü bazen bu şekilde adlandırıldığı da olmuştur. 8. yüzyılın başlarına tarihlenen yazı sisteminin Çin veya Soğd yazı sistemlerinden etkilenerek oluşturulduğu düşünülmektedir. | İletişim#127: Örneğin İslâmiyet 'ten önceki döneme ait destan, koşuk, sağu, savlar, Orhun Yazıtları , Dede Korkut Hikâyeleri , Yunus Emre 'nin şiirleri dil sayesinde günümüze dek yaşamışlardır."
Dede Korkut Hikâyeleri,(https://tr.wikipedia.org/wiki/Dede_Korkut_Hik%C3%A2yeleri),1,"İletişim#127: Örneğin İslâmiyet 'ten önceki döneme ait destan, koşuk, sağu, savlar, Orhun Yazıtları , Dede Korkut Hikâyeleri , Yunus Emre 'nin şiirleri dil sayesinde günümüze dek yaşamışlardır."
