E,U,Frekans,Kaynak_IDler
Larry Page,(https://tr.wikipedia.org/wiki/Larry_Page),4,"Google#4: Şirket, Larry Page ve Sergey Brin tarafından, Stanford Üniversitesinde doktora öğrencisi oldukları dönemde kurulmuştur. | Google#7: Halka arzın gerçekleştiği dönemde, Larry Page , Sergey Brin ve Eric Schmidt , takip eden yirmi yıl boyunca, yani 2024 yılına kadar Google'da birlikte çalışmak üzere anlaştılar. | Google#18: Google'ın kuruluş süreci 1996 Ocak ayında Kaliforniya 'daki Stanford Üniversitesinde doktora öğrencileri olan Larry Page ve Sergey Brin 'in araştırma projesiyle başladı. | GoogleCard#7: Larry Page Sergey Brin"
Sergey Brin,(https://tr.wikipedia.org/wiki/Sergey_Brin),4,"Google#4: Şirket, Larry Page ve Sergey Brin tarafından, Stanford Üniversitesinde doktora öğrencisi oldukları dönemde kurulmuştur. | Google#7: Halka arzın gerçekleştiği dönemde, Larry Page , Sergey Brin ve Eric Schmidt , takip eden yirmi yıl boyunca, yani 2024 yılına kadar Google'da birlikte çalışmak üzere anlaştılar. | Google#18: Google'ın kuruluş süreci 1996 Ocak ayında Kaliforniya 'daki Stanford Üniversitesinde doktora öğrencileri olan Larry Page ve Sergey Brin 'in araştırma projesiyle başladı. | GoogleCard#7: Larry Page Sergey Brin"
Android,(https://tr.wikipedia.org/wiki/Android),4,"Google#14: Bunlar dışında, Android mobil işletim sistemi gelişimine öncülük yapmıştır. Cr-48 ana işletim sistemi olarak da bilinen yeni Google Chrome OS , 15 Haziran 2011 tarihinden beri, Samsung Series 5 ve Acer AC700 gibi ticari Chromebook 'larda kullanılmaktadır. | Google#169: Ancak Android adı verilen bu proje, mobil (taşınabilir) bir aygıt değil, mobil cihazlar için geliştirilmiş açık kaynaklı bir lisans olan Apache 2.0 lisansının üzerine kurulmuş bir işletim sistemi olarak kullanıma sunulmuştur. | GoogleCard#11: Arama Workspace Android Waze Pixel Nest Tam liste | GoogleCard#12: Adscape Android DeepMind Endoxon FeedBurner Fitbit ImageAmerica Kaltix Nest Labs YouTube ZipDash"
Mountain View,"(https://tr.wikipedia.org/wiki/Mountain_View,_Kaliforniya)",3,"Google#9: Şirket merkezi 2006 yılında, hâlâ aktif olan Mountain View , Kaliforniya 'ya taşınmıştır. | Google#167: Google günümüzde, merkezinin bulunduğu Mountain View 'de ücretsiz wi-fi hizmetini kullanıcılara sunmaktadır. | Google#194: Mountain View 'de bulunan Google'ın merkez binası Googleplex olarak anılmaktadır."
Kaliforniya,(https://tr.wikipedia.org/wiki/Kaliforniya),3,".us#7: Fakat devlet kurumları bunların yerine .gov.us uzantısını kullanmayı tercih ediyorlar; Örneğin Kaliforniya yönetimi .gov.ca yerine .gov.us kullanmaktadır. | .ie#16: .irish alan adı, Kaliforniya merkezli Dot-Irish LLC şirketinin piyasaya sürdüğü bir genel üst seviye alan adıdır . | Google#9: Şirket merkezi 2006 yılında, hâlâ aktif olan Mountain View , Kaliforniya 'ya taşınmıştır. | Google#18: Google'ın kuruluş süreci 1996 Ocak ayında Kaliforniya 'daki Stanford Üniversitesinde doktora öğrencileri olan Larry Page ve Sergey Brin 'in araştırma projesiyle başladı. | GoogleCard#6: 4 Eylül 1998 (27 yıl önce ) ( 1998-09-04 ) [a] Menlo Park , Kaliforniya , Amerika Birleşik Devletleri"
Googleplex,(https://tr.wikipedia.org/wiki/Googleplex),3,"Google#57: Bu ofis, 1'in sonuna googol tane sıfır eklenmesiyle oluşan googolplex sözcüğünden esinlenerek oluşturulmuş olan Googleplex adıyla anılmaktadır. | Google#194: Mountain View 'de bulunan Google'ın merkez binası Googleplex olarak anılmaktadır. | GoogleCard#8: Googleplex , Mountain View, California , Amerika Birleşik Devletleri"
Google+,(https://tr.wikipedia.org/wiki/Google%2B),2,"Google#13: Şirket, Orkut , Google Buzz ve Google+ gibi sosyal ağ araçları ile elektronik posta hizmeti Gmail servisi gibi çevrim içi verimlilik yazılımları sunmakta, ek olarak, web tarayıcısı Google Chrome , navigasyon uygulaması Google Haritalar , mesajlaşma uygulaması Google Hangouts gibi hizmetler sunmaktadır. | Google#178: Haziran 2011'den sonra, bir sosyal ağ hizmeti olan ve Google+ (kişisel ve marka hesapları için kullanımdan kaldırıldı) olarak adlandırılan çevrimiçi yazılım geliştirilmiştir. 14 Temmuz 2011'de Google tarafından sınırlı deneme aşamasında başlatılan bu uygulamanın yalnızca iki haftada 10 milyon kullanıcıya ulaştığı açıklanmıştır."
işletim sistemi,(https://tr.wikipedia.org/wiki/%C4%B0%C5%9Fletim_sistemi),2,"Virtual hosting#13: Her sanal sunucu, belirli miktarda kaynakla sınırlıdır ve kendi işletim sistemi ve yazılımlarını çalıştırabilir. | Google#14: Bunlar dışında, Android mobil işletim sistemi gelişimine öncülük yapmıştır. Cr-48 ana işletim sistemi olarak da bilinen yeni Google Chrome OS , 15 Haziran 2011 tarihinden beri, Samsung Series 5 ve Acer AC700 gibi ticari Chromebook 'larda kullanılmaktadır. | Google#169: Ancak Android adı verilen bu proje, mobil (taşınabilir) bir aygıt değil, mobil cihazlar için geliştirilmiş açık kaynaklı bir lisans olan Apache 2.0 lisansının üzerine kurulmuş bir işletim sistemi olarak kullanıma sunulmuştur."
Google Chrome OS,(https://tr.wikipedia.org/wiki/Chrome_OS),2,"Google#14: Bunlar dışında, Android mobil işletim sistemi gelişimine öncülük yapmıştır. Cr-48 ana işletim sistemi olarak da bilinen yeni Google Chrome OS , 15 Haziran 2011 tarihinden beri, Samsung Series 5 ve Acer AC700 gibi ticari Chromebook 'larda kullanılmaktadır. | Google#174: Bir sonraki yıl, 7 Temmuz 2009'da; Google, açık kaynak kodlu işletim sistemi Linux tabanında kullanıcıların kendi Google hesaplarını yönetmelerini sağlayan ve yalnız bir web tarayıcı içeren Google Chrome OS 'u duyurmuştur."
Google Chrome,(https://tr.wikipedia.org/wiki/Google_Chrome),2,"Google#13: Şirket, Orkut , Google Buzz ve Google+ gibi sosyal ağ araçları ile elektronik posta hizmeti Gmail servisi gibi çevrim içi verimlilik yazılımları sunmakta, ek olarak, web tarayıcısı Google Chrome , navigasyon uygulaması Google Haritalar , mesajlaşma uygulaması Google Hangouts gibi hizmetler sunmaktadır. | Google#173: İlk olarak, 1 Eylül 2008'de açık kaynak kodlu bir web tarayıcı olan Google Chrome 'nin geliştirildiği duyurulmuştur, tarayıcı 2 Eylül 2008 tarihinde kullanıma sunulmuştur."
