E,U,Frekans,Kaynak_IDler
RFC,(https://tr.wikipedia.org/wiki/RFC),34,"SMTP#36: SMTP, 1970'lerde geliştirilen bu standartların bir sonucuydu. ARPANET 'teki posta kökleri 1971'e kadar uzanır: Uygulanmayan ancak RFC 196 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'da tartışılan Posta Kutusu Protokolü ve aynı yıl BBN'den Ray Tomlinson 'ın iki bilgisayar arasında mesaj göndermek için uyarladığı SNDMSG [en] programı. | SMTP#37: Bir Posta Protokolü için daha fazla öneri, Haziran 1973'te RFC 524'te yapılmıştır, ancak uygulanmamıştır. ARPANET 'te ""ağ postası"" için Dosya Aktarım Protokolü (FTP) kullanımı, Mart 1973'te RFC 469'da önerilmiştir. | SMTP#39: 1980 yılında Jon Postel ve Suzanne Sluizer, e-posta için FTP kullanımının yerine geçecek olan Posta Aktarım Protokolü'nü öneren RFC 772 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'yi yayınladılar. | SMTP#40: Mayıs 1981'deki RFC 780 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi ., FTP'ye yapılan tüm atıfları kaldırdı ve TCP ve UDP için 57 numaralı port tahsis edildi (bu tahsis IANA tarafından o zamandan beri kaldırılmıştır). | SMTP#41: Kasım 1981'de Postel, ""Basit Posta Aktarım Protokolü"" olan RFC 788 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'i yayınladı. | SMTP#55: Kasım 1995'te RFC 1869 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi ., tüm mevcut ve gelecekteki uzantıların eksik özellikleri eklemeyi amaçladığı genel bir yapıyı belirleyen Genişletilmiş Basit Posta Aktarım Protokolünü (ESMTP) tanımladı. | SMTP#57: Mesaj gönderimi ( RFC 2476 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .) ve SMTP-AUTH ( RFC 2554 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .), e-posta teslimatındaki yeni eğilimleri açıklayan 1998 ve 1999 yıllarında tanıtıldı. | SMTP#80: Bir alıcı SMTP sunucusu, nihai hedef olabilir, bir ara ""röle"" (yani mesajı saklar ve iletir) veya bir ""geçit"" (yani mesajı SMTP'den farklı bir protokol kullanarak iletir) olabilir. RFC 5321 30 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi . bölüm 2.1'e göre, her atlayış bir mesaj için sorumlulukların resmi bir devri olup, alıcı sunucu mesajı teslim etmelidir veya bunu yapamamanın başarısızlığını doğru bir şekilde bildirmelidir. | SMTP#90: STD 10 ve RFC 5321 30 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi ., SMTP'yi (zarfı) tanımlarken, STD 11 ve RFC 5322 5 Ağustos 2021 tarihinde Wayback Machine sitesinde arşivlendi ., mesajı (başlık ve gövde) tanımlar ve resmen İnternet Mesaj Formatı olarak adlandırılır. | SMTP#115: Orijinal TURN komutu güvenli olmadığı için RFC 1985 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi . ile ETRN komutuyla genişletilmiştir. | SMTP#138: 587 (Gönderim), RFC 6409 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'da (daha önce RFC 2476 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'da) belirtildiği gibi 465 Bu port, RFC 2487 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'den sonra kaldırılmıştır, ancak RFC 8314' 6 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi . ün çıkmasına kadar sorunlu kalmıştır. | SMTP#172: Ancak RFC 1870 6 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'e göre, EHLO yanıtındaki SIZE uzantısının sayısal parametresi isteğe bağlıdır. | SMTP#176: Bu sorunu çözmek için 8BITMIME komutu geliştirilmiştir. 1994 yılında RFC 1652 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi . olarak standartlaştırılmıştır. | SMTP#179: On-Demand Mail Relay (ODMR), yani İsteğe Bağlı Posta Aktarımı, RFC 2645 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'te standartlaştırılmış bir SMTP uzantısıdır ve aralıklı olarak bağlantı sağlayan bir SMTP sunucusunun, bağlandığında sıraya alınmış e-postaları almasına olanak tanır. | SMTP#180: Uluslararası karakter setlerini ve ASCII karakter setinde olmayan diakritik işaretleri kullanan kullanıcılar için ASCII karakterleriyle oluşan e-posta adreslerinin kullanımı zor olduğundan, orijinal SMTP'ye UTF-8'ın adres adlarında kullanımını sağlayan uzantılar eklendi. RFC 5336 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi ., deneysel UTF8SMTP komutunu tanıttı ve daha sonra SMTPUTF8 komutunu tanıtan RFC 6531 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi . tarafından yerini aldı. Bu uzantılar, diakritik işaretler ve Yunanca ve Çince gibi diğer dil karakterleri gibi çok baytlı ve ASCII olmayan karakterlerin e-posta adreslerinde kullanımına olanak sağlar. | SMTP#181: Mevcut destek sınırlı olsa da, özellikle Latin (ASCII) karakterlerinin yabancı bir karakter seti olduğu büyük bir kullanıcı tabanına sahip olan Çin gibi ülkelerde RFC 6531 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi . ve ilgili RFC'lerin yaygın olarak benimsenmesi için yoğun ilgi vardır. | SMTP#184: ESMTP istemcileri için ana tanımlama özelliği, orijinal RFC 821 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi . standardı olan HELO yerine genişletilmiş bir ""HELLO"" komutu olan EHLO ile iletişim kurmaktır. | SMTP#189: İlk tanımlar RFC 821 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi . isteğe bağlı hizmetleridir: SEND , SOML (Send or Mail), SAML (Send and Mail), EXPN , HELP ve TURN . | SMTP#192: ESMTP formatı RFC 2821 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'de ( RFC 821 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'in yerine geçen) yeniden belirtildi ve en son tanımı 2008'de RFC 5321 30 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'de güncellendi. | SMTP#204: SMTP-AUTH uzantısı RFC 4954 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'te tanımlanmıştır. | SMTP#206: Bu, SMTP zarf göndereninin veya RFC 2822 31 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi . ""From:"" başlığının otantikliğini kesin olarak garanti etmez. | SMTP#221: RFC 8314 6 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi ., açık metnin artık modası geçtiğini ve posta gönderimi ve erişimi için her zaman TLS kullanılmasını, açık TLS bağlantı noktalarının eklenmesini önererek resmi olarak ilan etti. | SMTP#222: 2018 yılında yayınlanan daha yeni bir RFC 8461 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi . olan ""SMTP MTA Strict Transport Security (MTA-STS)"", aktif saldırgan sorununu ele almayı amaçlayarak posta sunucularının belirli dosyalarda ve özel DNS TXT kayıtlarında güvenli kanalları kullanma yeteneklerini bildiren bir protokol tanımlamaktadır. | SMTP#226: Güvenli mesaj teslim etmek için tasarlanan protokoller, yanlış yapılandırmalar veya kasıtlı aktif müdahale nedeniyle teslim edilemeyen mesajlara veya şifrelenmemiş veya kimlik doğrulamasız kanallar üzerinden teslim edilmesine neden olabilir. RFC 8460 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi . ""SMTP TLS Raporlama"", alıcı alanlarla potansiyel saldırıları tespit etmek ve istenmeyen yapılandırmaları teşhis etmek için istatistikler ve belirli bilgiler paylaşmak için bir raporlama mekanizması ve formatı tanımlar. | SMTP#232: Bunun yerine, e-posta sunucuları artık RFC 5322 5 Ağustos 2021 tarihinde Wayback Machine sitesinde arşivlendi . gibi standartların daha sıkı uygulanması, DomainKeys Identified Mail, Gönderen Politika Çerçevesi ve DMARC, DNSBL'ler ve gri liste gibi teknikleri kullanarak şüpheli e-postaları reddetmek veya karantinaya almak için bir dizi teknik kullanmaktadır."
Wayback Machine,(https://tr.wikipedia.org/wiki/Wayback_Machine),32,".kz#3: Kiril alfabesi kullanılan siteler için .қаз (qaz) etkin hale getirilmiştir. 2012'de test için oluşturulan internet sitesi тест.қаз (23 Şubat 2020 tarihinde Wayback Machine sitesinde arşivlendi .) hâlâ aktiftir. | SMTP#36: SMTP, 1970'lerde geliştirilen bu standartların bir sonucuydu. ARPANET 'teki posta kökleri 1971'e kadar uzanır: Uygulanmayan ancak RFC 196 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'da tartışılan Posta Kutusu Protokolü ve aynı yıl BBN'den Ray Tomlinson 'ın iki bilgisayar arasında mesaj göndermek için uyarladığı SNDMSG [en] programı. | SMTP#39: 1980 yılında Jon Postel ve Suzanne Sluizer, e-posta için FTP kullanımının yerine geçecek olan Posta Aktarım Protokolü'nü öneren RFC 772 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'yi yayınladılar. | SMTP#40: Mayıs 1981'deki RFC 780 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi ., FTP'ye yapılan tüm atıfları kaldırdı ve TCP ve UDP için 57 numaralı port tahsis edildi (bu tahsis IANA tarafından o zamandan beri kaldırılmıştır). | SMTP#41: Kasım 1981'de Postel, ""Basit Posta Aktarım Protokolü"" olan RFC 788 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'i yayınladı. | SMTP#55: Kasım 1995'te RFC 1869 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi ., tüm mevcut ve gelecekteki uzantıların eksik özellikleri eklemeyi amaçladığı genel bir yapıyı belirleyen Genişletilmiş Basit Posta Aktarım Protokolünü (ESMTP) tanımladı. | SMTP#57: Mesaj gönderimi ( RFC 2476 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .) ve SMTP-AUTH ( RFC 2554 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .), e-posta teslimatındaki yeni eğilimleri açıklayan 1998 ve 1999 yıllarında tanıtıldı. | SMTP#80: Bir alıcı SMTP sunucusu, nihai hedef olabilir, bir ara ""röle"" (yani mesajı saklar ve iletir) veya bir ""geçit"" (yani mesajı SMTP'den farklı bir protokol kullanarak iletir) olabilir. RFC 5321 30 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi . bölüm 2.1'e göre, her atlayış bir mesaj için sorumlulukların resmi bir devri olup, alıcı sunucu mesajı teslim etmelidir veya bunu yapamamanın başarısızlığını doğru bir şekilde bildirmelidir. | SMTP#90: STD 10 ve RFC 5321 30 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi ., SMTP'yi (zarfı) tanımlarken, STD 11 ve RFC 5322 5 Ağustos 2021 tarihinde Wayback Machine sitesinde arşivlendi ., mesajı (başlık ve gövde) tanımlar ve resmen İnternet Mesaj Formatı olarak adlandırılır. | SMTP#115: Orijinal TURN komutu güvenli olmadığı için RFC 1985 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi . ile ETRN komutuyla genişletilmiştir. | SMTP#138: 587 (Gönderim), RFC 6409 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'da (daha önce RFC 2476 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'da) belirtildiği gibi 465 Bu port, RFC 2487 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'den sonra kaldırılmıştır, ancak RFC 8314' 6 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi . ün çıkmasına kadar sorunlu kalmıştır. | SMTP#172: Ancak RFC 1870 6 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'e göre, EHLO yanıtındaki SIZE uzantısının sayısal parametresi isteğe bağlıdır. | SMTP#176: Bu sorunu çözmek için 8BITMIME komutu geliştirilmiştir. 1994 yılında RFC 1652 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi . olarak standartlaştırılmıştır. | SMTP#179: On-Demand Mail Relay (ODMR), yani İsteğe Bağlı Posta Aktarımı, RFC 2645 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'te standartlaştırılmış bir SMTP uzantısıdır ve aralıklı olarak bağlantı sağlayan bir SMTP sunucusunun, bağlandığında sıraya alınmış e-postaları almasına olanak tanır. | SMTP#180: Uluslararası karakter setlerini ve ASCII karakter setinde olmayan diakritik işaretleri kullanan kullanıcılar için ASCII karakterleriyle oluşan e-posta adreslerinin kullanımı zor olduğundan, orijinal SMTP'ye UTF-8'ın adres adlarında kullanımını sağlayan uzantılar eklendi. RFC 5336 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi ., deneysel UTF8SMTP komutunu tanıttı ve daha sonra SMTPUTF8 komutunu tanıtan RFC 6531 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi . tarafından yerini aldı. Bu uzantılar, diakritik işaretler ve Yunanca ve Çince gibi diğer dil karakterleri gibi çok baytlı ve ASCII olmayan karakterlerin e-posta adreslerinde kullanımına olanak sağlar. | SMTP#181: Mevcut destek sınırlı olsa da, özellikle Latin (ASCII) karakterlerinin yabancı bir karakter seti olduğu büyük bir kullanıcı tabanına sahip olan Çin gibi ülkelerde RFC 6531 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi . ve ilgili RFC'lerin yaygın olarak benimsenmesi için yoğun ilgi vardır. | SMTP#184: ESMTP istemcileri için ana tanımlama özelliği, orijinal RFC 821 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi . standardı olan HELO yerine genişletilmiş bir ""HELLO"" komutu olan EHLO ile iletişim kurmaktır. | SMTP#189: İlk tanımlar RFC 821 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi . isteğe bağlı hizmetleridir: SEND , SOML (Send or Mail), SAML (Send and Mail), EXPN , HELP ve TURN . | SMTP#192: ESMTP formatı RFC 2821 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'de ( RFC 821 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'in yerine geçen) yeniden belirtildi ve en son tanımı 2008'de RFC 5321 30 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'de güncellendi. | SMTP#204: SMTP-AUTH uzantısı RFC 4954 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'te tanımlanmıştır. | SMTP#206: Bu, SMTP zarf göndereninin veya RFC 2822 31 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi . ""From:"" başlığının otantikliğini kesin olarak garanti etmez. | SMTP#221: RFC 8314 6 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi ., açık metnin artık modası geçtiğini ve posta gönderimi ve erişimi için her zaman TLS kullanılmasını, açık TLS bağlantı noktalarının eklenmesini önererek resmi olarak ilan etti. | SMTP#222: 2018 yılında yayınlanan daha yeni bir RFC 8461 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi . olan ""SMTP MTA Strict Transport Security (MTA-STS)"", aktif saldırgan sorununu ele almayı amaçlayarak posta sunucularının belirli dosyalarda ve özel DNS TXT kayıtlarında güvenli kanalları kullanma yeteneklerini bildiren bir protokol tanımlamaktadır. | SMTP#226: Güvenli mesaj teslim etmek için tasarlanan protokoller, yanlış yapılandırmalar veya kasıtlı aktif müdahale nedeniyle teslim edilemeyen mesajlara veya şifrelenmemiş veya kimlik doğrulamasız kanallar üzerinden teslim edilmesine neden olabilir. RFC 8460 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi . ""SMTP TLS Raporlama"", alıcı alanlarla potansiyel saldırıları tespit etmek ve istenmeyen yapılandırmaları teşhis etmek için istatistikler ve belirli bilgiler paylaşmak için bir raporlama mekanizması ve formatı tanımlar. | SMTP#232: Bunun yerine, e-posta sunucuları artık RFC 5322 5 Ağustos 2021 tarihinde Wayback Machine sitesinde arşivlendi . gibi standartların daha sıkı uygulanması, DomainKeys Identified Mail, Gönderen Politika Çerçevesi ve DMARC, DNSBL'ler ve gri liste gibi teknikleri kullanarak şüpheli e-postaları reddetmek veya karantinaya almak için bir dizi teknik kullanmaktadır."
ARPANET,(https://tr.wikipedia.org/wiki/ARPANET),4,"SMTP#18: Daha az bilgisayar, özellikle ABD hükûmetindeki ARPANET ’te, birbirlerine e-posta gönderebilmek için bağlandı. | SMTP#35: Özellikle ABD Hükûmeti'nin ARPANET 'inde daha fazla bilgisayar birbirine bağlandıkça, farklı işletim sistemleri arasında mesaj alışverişi yapmak için standartlar geliştirildi. | SMTP#36: SMTP, 1970'lerde geliştirilen bu standartların bir sonucuydu. ARPANET 'teki posta kökleri 1971'e kadar uzanır: Uygulanmayan ancak RFC 196 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'da tartışılan Posta Kutusu Protokolü ve aynı yıl BBN'den Ray Tomlinson 'ın iki bilgisayar arasında mesaj göndermek için uyarladığı SNDMSG [en] programı. | SMTP#37: Bir Posta Protokolü için daha fazla öneri, Haziran 1973'te RFC 524'te yapılmıştır, ancak uygulanmamıştır. ARPANET 'te ""ağ postası"" için Dosya Aktarım Protokolü (FTP) kullanımı, Mart 1973'te RFC 469'da önerilmiştir."
arşivlendi,(https://web.archive.org/web/20230330070934/https://datatracker.ietf.org/doc/html/rfc5321),3,"SMTP#80: Bir alıcı SMTP sunucusu, nihai hedef olabilir, bir ara ""röle"" (yani mesajı saklar ve iletir) veya bir ""geçit"" (yani mesajı SMTP'den farklı bir protokol kullanarak iletir) olabilir. RFC 5321 30 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi . bölüm 2.1'e göre, her atlayış bir mesaj için sorumlulukların resmi bir devri olup, alıcı sunucu mesajı teslim etmelidir veya bunu yapamamanın başarısızlığını doğru bir şekilde bildirmelidir. | SMTP#90: STD 10 ve RFC 5321 30 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi ., SMTP'yi (zarfı) tanımlarken, STD 11 ve RFC 5322 5 Ağustos 2021 tarihinde Wayback Machine sitesinde arşivlendi ., mesajı (başlık ve gövde) tanımlar ve resmen İnternet Mesaj Formatı olarak adlandırılır. | SMTP#192: ESMTP formatı RFC 2821 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'de ( RFC 821 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'in yerine geçen) yeniden belirtildi ve en son tanımı 2008'de RFC 5321 30 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'de güncellendi."
5321,(https://datatracker.ietf.org/doc/html/rfc5321),3,"SMTP#80: Bir alıcı SMTP sunucusu, nihai hedef olabilir, bir ara ""röle"" (yani mesajı saklar ve iletir) veya bir ""geçit"" (yani mesajı SMTP'den farklı bir protokol kullanarak iletir) olabilir. RFC 5321 30 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi . bölüm 2.1'e göre, her atlayış bir mesaj için sorumlulukların resmi bir devri olup, alıcı sunucu mesajı teslim etmelidir veya bunu yapamamanın başarısızlığını doğru bir şekilde bildirmelidir. | SMTP#90: STD 10 ve RFC 5321 30 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi ., SMTP'yi (zarfı) tanımlarken, STD 11 ve RFC 5322 5 Ağustos 2021 tarihinde Wayback Machine sitesinde arşivlendi ., mesajı (başlık ve gövde) tanımlar ve resmen İnternet Mesaj Formatı olarak adlandırılır. | SMTP#192: ESMTP formatı RFC 2821 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'de ( RFC 821 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'in yerine geçen) yeniden belirtildi ve en son tanımı 2008'de RFC 5321 30 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'de güncellendi."
arşivlendi,(https://web.archive.org/web/20230329190332/https://datatracker.ietf.org/doc/html/rfc821),3,"SMTP#184: ESMTP istemcileri için ana tanımlama özelliği, orijinal RFC 821 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi . standardı olan HELO yerine genişletilmiş bir ""HELLO"" komutu olan EHLO ile iletişim kurmaktır. | SMTP#189: İlk tanımlar RFC 821 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi . isteğe bağlı hizmetleridir: SEND , SOML (Send or Mail), SAML (Send and Mail), EXPN , HELP ve TURN . | SMTP#192: ESMTP formatı RFC 2821 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'de ( RFC 821 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'in yerine geçen) yeniden belirtildi ve en son tanımı 2008'de RFC 5321 30 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'de güncellendi."
821,(https://datatracker.ietf.org/doc/html/rfc821),3,"SMTP#184: ESMTP istemcileri için ana tanımlama özelliği, orijinal RFC 821 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi . standardı olan HELO yerine genişletilmiş bir ""HELLO"" komutu olan EHLO ile iletişim kurmaktır. | SMTP#189: İlk tanımlar RFC 821 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi . isteğe bağlı hizmetleridir: SEND , SOML (Send or Mail), SAML (Send and Mail), EXPN , HELP ve TURN . | SMTP#192: ESMTP formatı RFC 2821 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'de ( RFC 821 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'in yerine geçen) yeniden belirtildi ve en son tanımı 2008'de RFC 5321 30 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'de güncellendi."
Gmail,(https://tr.wikipedia.org/wiki/Gmail),2,"Google#13: Şirket, Orkut , Google Buzz ve Google+ gibi sosyal ağ araçları ile elektronik posta hizmeti Gmail servisi gibi çevrim içi verimlilik yazılımları sunmakta, ek olarak, web tarayıcısı Google Chrome , navigasyon uygulaması Google Haritalar , mesajlaşma uygulaması Google Hangouts gibi hizmetler sunmaktadır. | SMTP#11: Outlook , Eudora, Gmail , Mozilla Thunderbird , Evolution gibi e-posta istemcileri, e-postalarınızı gönderilmek üzere sunucunuza iletirken SMTP hizmetini kullanır. | SMTP#32: Sendmail, RFC 788 den hemen sonra 4.1 cBSD ile birlikte yayınlanan SMTP'yi uygulamak için e-posta transfer maddelerinin ilklerinden birisi oldu. BSD Unix zaman içinde internet üzerindeki en popüler işletim sistemi olduğu gibi, Sendmail en yaygın MTA (Mail Transport Agent) oldu. Bazı diğer popüler SMTP sunucu programları Posfix , Gmail , Novell GroupWise , Exim , Novell NetMail , Microsoft Exchange Server , Sun Java System Messaging sunucuları içerir."
RFC 788,(https://datatracker.ietf.org/doc/html/rfc788),2,"SMTP#24: SMTP Kasım 1981'de Postel tarafından RFC 788 olarak yayınlandı. | SMTP#32: Sendmail, RFC 788 den hemen sonra 4.1 cBSD ile birlikte yayınlanan SMTP'yi uygulamak için e-posta transfer maddelerinin ilklerinden birisi oldu. BSD Unix zaman içinde internet üzerindeki en popüler işletim sistemi olduğu gibi, Sendmail en yaygın MTA (Mail Transport Agent) oldu. Bazı diğer popüler SMTP sunucu programları Posfix , Gmail , Novell GroupWise , Exim , Novell NetMail , Microsoft Exchange Server , Sun Java System Messaging sunucuları içerir."
2476,(https://datatracker.ietf.org/doc/html/rfc2476),2,"SMTP#57: Mesaj gönderimi ( RFC 2476 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .) ve SMTP-AUTH ( RFC 2554 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .), e-posta teslimatındaki yeni eğilimleri açıklayan 1998 ve 1999 yıllarında tanıtıldı. | SMTP#138: 587 (Gönderim), RFC 6409 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'da (daha önce RFC 2476 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'da) belirtildiği gibi 465 Bu port, RFC 2487 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'den sonra kaldırılmıştır, ancak RFC 8314' 6 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi . ün çıkmasına kadar sorunlu kalmıştır."
