E,U,Frekans,Kaynak_IDler
çalgıdır,(https://tr.wikipedia.org/wiki/%C3%87alg%C4%B1),2,"Org#4: Org, su orgunu icat eden Ktesibios 'un (MÖ 3. yüzyıl) zamanından kalma nispeten eski bir çalgıdır . Antik Yunanistan ve Antik Roma dünyasında, özellikle yarışlar ve oyunlar sırasında çalınmıştır. | Org#6: Borulu org en büyük çalgıdır ."
boru bölümünden,(https://tr.wikipedia.org/wiki/Borulu_org),1,"Org#1: Müzikte org , bir veya daha fazla boru bölümünden veya ton üretmek için başka araçlardan oluşan klavyeli bir enstrümandır."
klavyeli,(https://tr.wikipedia.org/wiki/Klavyeli_%C3%A7alg%C4%B1lar),1,"Org#1: Müzikte org , bir veya daha fazla boru bölümünden veya ton üretmek için başka araçlardan oluşan klavyeli bir enstrümandır."
Ktesibios,(https://tr.wikipedia.org/wiki/Ktesibios),1,"Org#4: Org, su orgunu icat eden Ktesibios 'un (MÖ 3. yüzyıl) zamanından kalma nispeten eski bir çalgıdır . Antik Yunanistan ve Antik Roma dünyasında, özellikle yarışlar ve oyunlar sırasında çalınmıştır."
Antik Yunanistan,(https://tr.wikipedia.org/wiki/Antik_Yunanistan),1,"Org#4: Org, su orgunu icat eden Ktesibios 'un (MÖ 3. yüzyıl) zamanından kalma nispeten eski bir çalgıdır . Antik Yunanistan ve Antik Roma dünyasında, özellikle yarışlar ve oyunlar sırasında çalınmıştır."
Antik Roma,(https://tr.wikipedia.org/wiki/Antik_Roma),1,"Org#4: Org, su orgunu icat eden Ktesibios 'un (MÖ 3. yüzyıl) zamanından kalma nispeten eski bir çalgıdır . Antik Yunanistan ve Antik Roma dünyasında, özellikle yarışlar ve oyunlar sırasında çalınmıştır."
Bizans İmparatorluğu,(https://tr.wikipedia.org/wiki/Bizans_%C4%B0mparatorlu%C4%9Fu),1,"Org#5: Erken ortaçağ döneminde, seküler (dini olmayan) ve imparatorluk saray müziğinde kullanılmaya devam ettiği Bizans İmparatorluğu 'ndan, Katolik Kilisesi 'nin ayinlerinde yavaş yavaş önemli bir yer edindiği Batı Avrupa 'ya yayılmıştır."
Katolik Kilisesi,(https://tr.wikipedia.org/wiki/Katolik_Kilisesi),1,"Org#5: Erken ortaçağ döneminde, seküler (dini olmayan) ve imparatorluk saray müziğinde kullanılmaya devam ettiği Bizans İmparatorluğu 'ndan, Katolik Kilisesi 'nin ayinlerinde yavaş yavaş önemli bir yer edindiği Batı Avrupa 'ya yayılmıştır."
Batı Avrupa,(https://tr.wikipedia.org/wiki/Bat%C4%B1_Avrupa),1,"Org#5: Erken ortaçağ döneminde, seküler (dini olmayan) ve imparatorluk saray müziğinde kullanılmaya devam ettiği Bizans İmparatorluğu 'ndan, Katolik Kilisesi 'nin ayinlerinde yavaş yavaş önemli bir yer edindiği Batı Avrupa 'ya yayılmıştır."
Borulu org,(https://tr.wikipedia.org/wiki/Borulu_org),1,Org#6: Borulu org en büyük çalgıdır .
metreküpten,(https://tr.wikipedia.org/wiki/Metrek%C3%BCp),1,"Org#7: Bu enstrümanların boyutları bir metreküpten beş kat yüksekliğe kadar büyük farklılıklar gösterir ve kiliselerde, sinagoglarda, konser salonlarında ve evlerde inşa edilir."
Wolfgang Amadeus Mozart,(https://tr.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart),1,Org#8: Wolfgang Amadeus Mozart orgu “Enstrümanların Kralı” olarak adlandırmıştır.
kiliselerde,(https://tr.wikipedia.org/wiki/Kilise_(%C3%B6rg%C3%BCt)),1,"Org#9: Avrupa, Amerika ve Avustralasya'daki orgların çoğu kiliselerde bulunmaktadır."
Vitalianus,(https://tr.wikipedia.org/wiki/Vitalianus),1,Org#10: Kilise orglarının kullanılmaya başlanması geleneksel olarak 7. yüzyılda Vitalianus 'a atfedilir.
Olivier Messiaen,(https://tr.wikipedia.org/wiki/Olivier_Messiaen),1,"Org#18: Fransız orgcu-besteciler arasında Marcel Dupré, Maurice Duruflé, Olivier Messiaen ve Jean Langlais 20. yüzyıl org repertuarına önemli katkılarda bulunmuşlardır."
müzikal doğaçlama,(https://tr.wikipedia.org/wiki/M%C3%BCzikal_do%C4%9Fa%C3%A7lama),1,"Org#19: Charles Tournemire, Marcel Dupré, Pierre Cochereau, Pierre Pincemaille ve Thierry Escaich gibi orgcularla birlikte org, müzikal doğaçlama için de çokça kullanılmıştır."
