E,U,Frekans,Kaynak_IDler
ABD,(https://tr.wikipedia.org/wiki/Amerika_Birle%C5%9Fik_Devletleri),2,".us#8: Ayrıca ABD topraklarının kendi ccTLDs vardır. .as Amerikan Samoası için, .gu Guam , Kuzey Mariana Adaları .mp , .pr Puerto Rico için ve .vi Virgin Adaları için kullanılmaktadır. | .mil#1: .mil ( mil itary = askeri) ABD askeri site bağlantısının olduğunu belirtir. | Vikipedi#9: Vikipedi'nin ana sunucuları ABD 'nin Florida Eyaleti'ndeki Tampa kentinde, diğer başlıca sunucuları ise Hollanda 'nın Amsterdam , Fransa 'nın Paris ve Güney Kore 'nin Seul kentinde bulunmaktadır. | Uzay#37: 1932'de Karl Guthe Jansky adındaki bir mühendisin rastlantı sonucu bulduğu uzaydan gelen radyo yayınları, daha sonraki yıllarda radyoteleskopların doğmasına ve uzayın derinliklerinin dinlenmesine, bu radyo yayınlarının kaynaklarının ve nedenlerinin bulunmasına yol açtı. [kaynak belirtilmeli] II. Dünya Savaşı sırasında Almanların geliştirdiği V-1 ve V-2 füzeleri daha sonraki yıllarda uzayın keşfi için yapılacak çalışmalarda büyük bir adım oldu. 1947-1956 yılları arasında özellikle ABD , uzay çalışmalarına büyük hız verdi. | Uzay#44: Özellikle, insanlı uzay aracı yapabilen ABD , Rusya ve Çin bu yarışın içindedir. Hindistan ise insan taşıyan mekik geliştirerek bu yarışa katılma aşamasındadır. | .cc#2: VeriSign adlı bir ABD şirketi tarafından, eNIC adlı bir yan kuruluş aracılığıyla yönetilir ve eNIC, bunu uluslararası tescil için ""bir sonraki .com"" olarak tanıtır. .cc alan adı ilk olarak Ekim 1997'de IANA tarafından eNIC'e atandı; eNIC, TLD'yi SamsDirect Internet ile birlikte yönetir. | İnternet ülke üst seviye alan adı#11: Örneğin, ABD ( us ), Japonya ( jp ), Kanada ( ca ), Fransa ( fr ) ve Almanya ( de ) alan adlarında olduğu gibi, bir yerel varlık gereksinimi (örneğin vatandaşlık) bulunabilir ya da kayıt herkese açık olabilir. | Türkçe#23: Almanya'nın yanı sıra ABD , Fransa , Hollanda , Avusturya , Belçika , İsviçre ve Birleşik Krallık da Türkçe konuşabilen nüfusun yaşadığı önemli bölgelerdir. | SMTP#18: Daha az bilgisayar, özellikle ABD hükûmetindeki ARPANET ’te, birbirlerine e-posta gönderebilmek için bağlandı. | Yahoo!#5: Sunduğu hizmetlerden Yahoo! Messenger özellikle ABD 'de çok yaygın olarak kullanılmaktadır. | Yahoo!Card#3: Sunnyvale, Kaliforniya , ABD"
$,(https://tr.wikipedia.org/wiki/USD),2,"Yahoo!Card#6: 4,61 milyar $ (2014) | Yahoo!Card#7: 1,36 milyar $ (2013)"
Jerry Yang,(https://tr.wikipedia.org/wiki/Jerry_Yang),1,"Yahoo!#2: Inc. , Stanford Üniversitesi öğrencileri Jerry Yang ve David Filo tarafından kurulmuş bir web sitesidir ."
David Filo,(https://tr.wikipedia.org/wiki/David_Filo),1,"Yahoo!#2: Inc. , Stanford Üniversitesi öğrencileri Jerry Yang ve David Filo tarafından kurulmuş bir web sitesidir ."
arama motoru,(https://tr.wikipedia.org/wiki/Arama_motoru),1,"Yahoo!#3: İlk başlarda arama motoru olarak hizmet vermesine rağmen zamanla e-posta , anlık mesaj , e-mail ve benzeri hizmetler de sunarak pazarda hâkim olmaya çalışmıştır."
web sitesidir,(https://tr.wikipedia.org/wiki/Web_sitesi),1,"Yahoo!#2: Inc. , Stanford Üniversitesi öğrencileri Jerry Yang ve David Filo tarafından kurulmuş bir web sitesidir ."
e-posta,(https://tr.wikipedia.org/wiki/E-posta),1,".tk#4: Adın kendisine ek olarak, kullanıcılar web trafiğini HTML çerçevelerini ve e-posta trafiğini kullanarak, kullanıcı oturumu başına maksimum 250 adresle iletebilir, kendi üçüncü taraf sunucuları aracılığıyla dot.tk sunucularını kullanarak tam DNS kullanabilir. | .bf#3: Bir e-posta ile SSS gönderilebilmektedir. | SMTP#2: SMTP (Türkçe: Basit Posta Aktarım Protokolü ), e-posta göndermek için sunucu ile istemci arasındaki iletişimi belirleyen protokoldür. | SMTP#3: Farklı işletim sistemleri için geliştirilmiş çeşitli e-posta protokolleri mevcuttur. | İnternet#20: Bu tarihten sonra da ARPANET bildiğimiz modern internet olarak hayatımıza girmiş oldu. 70 'li yılların başında Amerikan üniversitelerinde bu projeden yararlanma imkânı verilmesinin ardından e-posta ( SMTP ) ve NNTP uygulamaları yaygınlık kazanmaya başlamıştır. | Yahoo!#3: İlk başlarda arama motoru olarak hizmet vermesine rağmen zamanla e-posta , anlık mesaj , e-mail ve benzeri hizmetler de sunarak pazarda hâkim olmaya çalışmıştır."
anlık mesaj,(https://tr.wikipedia.org/wiki/Anl%C4%B1k_mesaj),1,"Yahoo!#3: İlk başlarda arama motoru olarak hizmet vermesine rağmen zamanla e-posta , anlık mesaj , e-mail ve benzeri hizmetler de sunarak pazarda hâkim olmaya çalışmıştır."
e-mail,(https://tr.wikipedia.org/wiki/E-mail),1,"Dosya aktarım iletişim kuralı#4: Birçok FTP sunucusu, kullanıcı ismi ve parola olmadan erişim için ""anonim FTP"" (anonymous FTP) desteği verir, bu kullanım için kullanıcı adı olarak anonymous parola olarak ise bir e-mail adresi girilmesi gerekmektedir ( Internet Explorer , e-mail olarak IEuser@ girer). | Yahoo!#3: İlk başlarda arama motoru olarak hizmet vermesine rağmen zamanla e-posta , anlık mesaj , e-mail ve benzeri hizmetler de sunarak pazarda hâkim olmaya çalışmıştır."
Stanford Üniversitesi,(https://tr.wikipedia.org/wiki/Stanford_%C3%9Cniversitesi),1,"İnternet iletişim kuralları dizisi#28: DARPA , sonrasında TCP'nin, farklı donanımlar üzerinde çalışabilecek sürümlerinin geliştirilmesi amacıyla; BBN [en] , Stanford Üniversitesi ve University College London ile anlaştı. | İnternet iletişim kuralları dizisi#30: 1975 yılında, Stanford Üniversitesi ve University College London tarafından iki ağdan oluşan bir TCP/IP haberleşme testi gerçekleştirilmiştir. 1977 yılının Kasım ayında ise; ABD, Birleşik Krallık ve Norveç'teki birimler arasında üç ağdan oluşan bir TCP/IP haberleşme testi yapılmıştır. | Yahoo!#2: Inc. , Stanford Üniversitesi öğrencileri Jerry Yang ve David Filo tarafından kurulmuş bir web sitesidir ."
