E,U,Frekans,Kaynak_IDler
Rusya,(https://tr.wikipedia.org/wiki/Rusya),2,"Uzay#44: Özellikle, insanlı uzay aracı yapabilen ABD , Rusya ve Çin bu yarışın içindedir. Hindistan ise insan taşıyan mekik geliştirerek bu yarışa katılma aşamasındadır. | .su#7: Sovyetler Birliği'nin dağılmasının ardından kurulan Rusya 'ya 1993 yılına kadar alan adı tahsis edilmediği için .su kullanmaya devam edildi. ICANN tarafından alan adının kullanımdan çekilmesi gerekiyordu fakat Rus hükûmeti ve internet kullanıcılarının isteği üzere çekilmedi. | .su#11: En fazla .su alan adlı internet sitesine sahip iki ülke Rusya ve Amerika Birleşik Devletleri 'dir. Sovyetler Birliği zamanında kurulmuş olan bazı kuruluşlar da hâlâ .su alan adını kullanmaktadır."
ICANN,(https://tr.wikipedia.org/wiki/%C4%B0nternet_Tahsisli_Say%C4%B1lar_ve_%C4%B0simler_Kurumu),2,".au#3: Yaklaşık beş yıllık süreçten sonra 1990 yılında, internet sektöründe kendini düzenleyici kurum olarak .au Domain Administration açılmıştır. 2001 yılında ICANN 'dan onay aldı. 1 Temmuz 2002 tarihinde süreli etki alanı kaydı için yeni bir rekabet rejimi başladı. | .kp#3: Ancak, ICANN bazı gereksinimleri karşılamadığı için başvuruyu reddetti. | .com#4: Bu alan adı başlangıçta Amerika Birleşik Devletleri Savunma Bakanlığı'nın bünyesindeyken günümüzde Verisign tarafından yönetilmektedir ve ABD yasasının nihai yargı yetkisi kapsamındadır. Verisign Kayıtları, ICANN tarafından akredite edilmiş kayıt şirketleri aracılığıyla gerçekleştirilmektedir. | .net#7: Alan adı idaresinden sorumlu kurum olan ICANN , sözleşme bitimi sonrasında alan adı işinin idaresini üstlenecek yeni şirketi aramaya başladı. Verisign sözleşmeyi yeniden kazandı ve .net alan adının yönetimini altı yıllığına daha almış oldu. 30 Haziran 2011 tarihinde Verisign ile olan sözleşme altı yıllığına yenilendi. | .net#8: Bu durumun yasal dayanağınun sebebi, Verisign'ın ICANN gerekliliklerini karşıladığı sürece yenileme yapılacağına dair ICANN kurulu tarafından onaylanmış olan karardır. | .su#7: Sovyetler Birliği'nin dağılmasının ardından kurulan Rusya 'ya 1993 yılına kadar alan adı tahsis edilmediği için .su kullanmaya devam edildi. ICANN tarafından alan adının kullanımdan çekilmesi gerekiyordu fakat Rus hükûmeti ve internet kullanıcılarının isteği üzere çekilmedi. | .su#8: 2001'de ICANN tarafından yeni .su kayıtlarının kabul edileceği açıklandı. 2008'in ilk çeyreğinde .su kullanımı %45 arttığı belirtildi."
Sovyetler Birliği,(https://tr.wikipedia.org/wiki/Sovyetler_Birli%C4%9Fi),1,.su#1: .su Sovyetler Birliği için 19 Eylül 1990 tarihinde tanımlanmış İnternet ülke üst seviye alan adıdır .
İnternet ülke üst seviye alan adıdır,(https://tr.wikipedia.org/wiki/%C4%B0nternet_%C3%BClke_%C3%BCst_seviye_alan_ad%C4%B1),1,.su#1: .su Sovyetler Birliği için 19 Eylül 1990 tarihinde tanımlanmış İnternet ülke üst seviye alan adıdır .
Avrupa,(https://tr.wikipedia.org/wiki/Avrupa),1,"İngilizce#63: Örneğin, Hollanda'da ve diğer bazı Avrupa ülkelerinde, ikinci dil olarak İngilizce bilgisi neredeyse evrenseldir ve nüfusun yüzde 80'inden fazlası İngilizceyi kullanabilir, ve bu nedenle İngilizce rutin olarak yabancılarla ve genellikle yüksek öğrenimde iletişim kurmak için kullanılır. | .su#4: 1989'dan sonra Avrupa 'da .pl ( Polonya ), .cs ( Çekoslovakya ), .yu ( Yugoslavya ), .dd ( Doğu Almanya ) dahil olmak üzere çok sayıda alan adı oluşturuldu."
Sovyetler Birliği'nin dağılmasına,(https://tr.wikipedia.org/wiki/Sovyetler_Birli%C4%9Fi%27nin_da%C4%9F%C4%B1lmas%C4%B1),1,.su#2: Alan adının kullanıma sunulmasından 15 ay sonra Sovyetler Birliği'nin dağılmasına rağmen hâlâ kullanılabilirdir.
Polonya,(https://tr.wikipedia.org/wiki/Polonya),1,"İngilizce#61: Üç daire modelinde Polonya , Çin , Brezilya , Almanya , Japonya , Endonezya , Mısır gibi ülkeler ve İngilizcenin yabancı dil olarak öğretildiği diğer ülkeler ""genişleyen daire""yi oluşturmaktadır. | .su#4: 1989'dan sonra Avrupa 'da .pl ( Polonya ), .cs ( Çekoslovakya ), .yu ( Yugoslavya ), .dd ( Doğu Almanya ) dahil olmak üzere çok sayıda alan adı oluşturuldu."
Çekoslovakya,(https://tr.wikipedia.org/wiki/%C3%87ekoslovakya),1,".cs#1: .cs Çekoslovakya 'nın uzun yıllar kullandığı İnternet Ülke kodu üst-düzey alan adıdır . 1993 yılında ülke Çekya ve Slovakya olarak ayrıldıktan sonra ülkeler sırası ile, .cz ve .sk 'yı kullanmaktadırlar. | .su#4: 1989'dan sonra Avrupa 'da .pl ( Polonya ), .cs ( Çekoslovakya ), .yu ( Yugoslavya ), .dd ( Doğu Almanya ) dahil olmak üzere çok sayıda alan adı oluşturuldu."
Doğu Almanya,(https://tr.wikipedia.org/wiki/Do%C4%9Fu_Almanya),1,".dd#1: .dd Doğu Almanya için ayrılmış olan internet ülke kodu üst seviye alan adıydı ( CcTLD ). | .su#4: 1989'dan sonra Avrupa 'da .pl ( Polonya ), .cs ( Çekoslovakya ), .yu ( Yugoslavya ), .dd ( Doğu Almanya ) dahil olmak üzere çok sayıda alan adı oluşturuldu."
Yugoslavya,(https://tr.wikipedia.org/wiki/Yugoslavya),1,".yu#1: .yu Yugoslavya için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) Şimdi Sırbistan-Karadağ; ISO kodu RS olarak değiştirildi; .rs şu anda kullanılmıyor. | .su#4: 1989'dan sonra Avrupa 'da .pl ( Polonya ), .cs ( Çekoslovakya ), .yu ( Yugoslavya ), .dd ( Doğu Almanya ) dahil olmak üzere çok sayıda alan adı oluşturuldu."
