E,U,Frekans,Kaynak_IDler
internette,(https://tr.wikipedia.org/wiki/%C4%B0nternet),1,"Genel üst seviye alan adı#1: Genel Üst Seviye Alan Kodları ( İngilizce : generic Top Level Domain), internette kullanılan bir alan adı sınıfıdır. .com , .net , .org , .gov , .info , .aero , .biz , .wiki , .tech , .shop , .art , .москва gibi şekilleri mevcuttur. | .int#1: .int alan adı, internette Domain Name System (DNS) içinde bir sponsorlu üst düzey alan adıdır (sTLD)."
Domain Name System,(https://tr.wikipedia.org/wiki/Domain_Name_System),1,".int#1: .int alan adı, internette Domain Name System (DNS) içinde bir sponsorlu üst düzey alan adıdır (sTLD)."
İngilizce,(https://tr.wikipedia.org/wiki/%C4%B0ngilizce),1,"DNS#1: DNS ( İngilizce : Domain Name System , Türkçe : Alan Adı Sistemi ), internet uzayını bölümlemeye, bölümleri adlandırmaya ve bölümler arası iletişimi organize etmeye yarayan, bilgisayar, servis, internet veya özel bir ağa bağlı herhangi bir kaynak için hiyerarşik dağıtılmış bir adlandırma sistemidir. | .us#5: Birinci seviye içinde sadece Amerika Birleşik Devletleri'nin İngilizce kısaltmasının ilk iki harfi alınmıştır U nited S tates . | .sg#3: Singapur Ağ Bilgi Merkezi ( İngilizce : Singapore Network Information Centre ) (SGNIC) tarafından yönetilir. | Vikipedi#1: Vikipedi ( İngilizce : Wikipedia ), kullanıcıları tarafından ortaklaşa olarak birçok dilde hazırlanan; özgür, bağımsız, ücretsiz, reklamsız ve kâr amacı gütmeyen bir internet ansiklopedisidir . MediaWiki yazılımı kullanılarak hazırlanmaktadır. | .am#5: Ayrıca sonu ""am"" ile biten İngilizce kelimeler için şekilli alan adı oluşturmak için kullanılabilir. | IP adresi#1: IP adresi ( İngilizce : Internet Protocol address ), interneti ya da TCP/IP protokolünü kullanan diğer paket anahtarlamalı ağlara bağlı cihazların, ağ üzerinden birbirleri ile veri alışverişi yapmak için kullandıkları adres. | IP adresi#36: Versiyon ya da sürüm ( İngilizce : version ), kullanılan IP versiyonunu gösterir. | IP adresi#51: Ayrıca IPv4 başlık formatı ( İngilizce : header format ), IPv6 formatına göre daha basit yapıdadır. | IP adresi#56: IPv6'da NAT ’a ( İngilizce : Network Address Translation ) duyulan ihtiyaç azalmıştır. | Dosya aktarım iletişim kuralı#2: Dosya aktarım iletişim kuralı , ( İngilizce : F ile T ransfer P rotocol; FTP ), bir veri yığınının - ASCII , EBCDIC ve binary- bir uç aygıttan diğerine iletimi için kullanılmaktadır. | .ag#6: Ayrıca, -ag ile biten İngilizce kelimeler için diğer etki alanını kesmek için potansiyel bir kullanımı da vardır. | ARPANET#1: ARPANET ( İngilizce : Advanced Research Projects Agency Network 'ün kısaltması), bir bilgisayar ağıdır ve ilk olarak 1968'den itibaren Amerika Birleşik Devletleri Hava Kuvvetleri adına Massachusetts Teknoloji Enstitüsü ve ABD Savunma Bakanlığı liderliğindeki küçük bir araştırmacı grubu tarafından geliştirilmiştir. | .ch#5: Alan adı, Çin 'de ( İngilizce : China ) benzerlik sebebiyle oldukça sık kullanılmaktadır. | Yönlendirici#1: Yönlendirici ( İngilizce : router ), aynı ağ iletişim kurallarını kullanan iki bilgisayar ağı arasında veri çerçevelerinin iletimini sağlayan ağ donanımıdır . | Yönlendirici#7: Yolun seçimi için yöneltici yöneltme iletişim kurallarını ( İngilizce : routing protocol ) kullanarak diğer yönelticilerle bağlantı kurar ve gelen bilgileri yöneltme tablosuna ekler. | Yönlendirici#10: Her ne kadar IP iletişim kuralı günümüzde en çok bilinen yöneltilebilir iletişim kuralıysa da AppleTalk , IPX SNA, XNS ve DECnet gibi başka iletişim kurallarının da yöneltilebilir özelliği olduğunu unutmamak gerekir. Yöneltilebilir iletişim kuralı ( İngilizce : routable protocol ) ve yöneltme iletişim kuralı ( İngilizce : routing protocol ) birbirleriyle karıştırılmaması gereken farklı kavramlardır. | Güvenlik duvarı#1: Güvenlik duvarı veya ateş duvarı , ( İngilizce : Firewall ), güvenlik duvarı yazılımı, bir kural kümesi temelinde ağa gelen giden paket trafiğini kontrol eden donanım tabanlı ağ güvenliği sistemidir. | Güvenlik duvarı#23: Yeni nesil güvenlik duvarları da U.T.M. (Unified Threat Management) (güvenlik duvarı, antivirüs , anti spam , IDS/IPS, VPN , yönlendirici ( İngilizce : router ) gibi özellikleri olan) tümleşik cihazlardır. | .ae#2: BAE'de bulunan Telekomünikasyon ve Dijital Hükûmet Düzenleme Kurumu na ( İngilizce : Telecommunications and Digital Government Regulatory Authority ) bağlı .aeDA tarafından yönetilir. 1 Aralık 1992'de kaydedilmiştir. | IPv4#68: 1993 yılında adres sınıfından bağımsız yönlendirme ( CIDR ) ( İngilizce : Classless Inter-Domain Routing ) tanıtıldı. | IPv4#69: CIDR üst ağ oluşturma ( İngilizce : Supernetting )yı gerçekleştirmek için kullanılır. | IPv4#70: Üst ağ oluşturma yön kümeleme ( İngilizce : Route Aggregation ) ye olanak sağlar. | İnternet iletişim kuralları dizisi#2: İnternet protokol takımı ( İngilizce : Internet Protocol Suite [en] ), bilgisayarlar ve ağ cihazları arasında iletişimi sağlamak amacıyla standart olarak kabul edilmiş kurallar dizisidir. | Genel üst seviye alan adı#1: Genel Üst Seviye Alan Kodları ( İngilizce : generic Top Level Domain), internette kullanılan bir alan adı sınıfıdır. .com , .net , .org , .gov , .info , .aero , .biz , .wiki , .tech , .shop , .art , .москва gibi şekilleri mevcuttur. | İnternet#9: 1985 yılında kullanılmaya başlayan İngilizce internet kelimesi, ""kendi aralarında bağlantılı ağlar"" anlamına gelen Interconnected Networks teriminin kısaltmasıdır. | İnternet#55: E-posta ( İngilizce : e-mail ) ""elektronik posta"" sözcüklerinin kısaltmasıdır. internet üzerinden gönderilen ve alınan dijital mektuplardır. | .int#2: Uluslararası kuruluşlar ve anlaşmaları için kullanımını karakterize eden ( İngilizce : International ) kelimesinden türetilmiştir."
.nato,(https://tr.wikipedia.org/wiki/.nato),1,".int#3: Bu alan adının kullanımı, daha önce kendi .nato üst düzey alan adını kullanan NATO 'nun ""nato.int"" adresini kullanmasıyla başlamıştır."
NATO,(https://tr.wikipedia.org/wiki/NATO),1,".int#3: Bu alan adının kullanımı, daha önce kendi .nato üst düzey alan adını kullanan NATO 'nun ""nato.int"" adresini kullanmasıyla başlamıştır."
Internet Assigned Numbers Authority,(https://tr.wikipedia.org/wiki/Internet_Assigned_Numbers_Authority),1,".co#3: Internet Assigned Numbers Authority kayıtlarına göre .CO Internet S.A.S., firması tarafından işletilmektedir. | .bv#6: Tahsis oldu çünkü Internet Assigned Numbers Authority (IANA), ISO 3166 kodu ile tüm kurumlara ccTLD'ler atadığından alan adı tahsis oldu ve Bouvet Adası için BV belirlenmiş oldu. | .int#4: Internet Assigned Numbers Authority (IANA) politikasına göre RFC 1591 temelinde "".int"" sTLD'si; uluslararası antlaşma temelli kuruluşlar, Birleşmiş Milletler ajansları ve BM'de gözlemci statüsü bulunan kuruluşlar için ayrılmıştır. "".int"" en katı başvuru politikalarına sahip TLD olarak kabul edilir çünkü bu alan adı, sahibinin uluslararası statüye sahip bir kuruluş olduğunu gösterir."
RFC 1591,(https://datatracker.ietf.org/doc/html/rfc1591),1,".int#4: Internet Assigned Numbers Authority (IANA) politikasına göre RFC 1591 temelinde "".int"" sTLD'si; uluslararası antlaşma temelli kuruluşlar, Birleşmiş Milletler ajansları ve BM'de gözlemci statüsü bulunan kuruluşlar için ayrılmıştır. "".int"" en katı başvuru politikalarına sahip TLD olarak kabul edilir çünkü bu alan adı, sahibinin uluslararası statüye sahip bir kuruluş olduğunu gösterir."
Birleşmiş Milletler,(https://tr.wikipedia.org/wiki/Birle%C5%9Fmi%C5%9F_Milletler),1,"İngilizce#86: Avrupa'da İngilizce, resmî dil olmadığı 25 üye ülkenin büyük kısmında en yaygın yabancı dildir ve nüfusun yaklaşık yarısı İngilizceyi yabancı ya da ikinci dil olarak bildiğini belirtir. Birleşmiş Milletler 'in resmî dillerinden biridir. | .int#4: Internet Assigned Numbers Authority (IANA) politikasına göre RFC 1591 temelinde "".int"" sTLD'si; uluslararası antlaşma temelli kuruluşlar, Birleşmiş Milletler ajansları ve BM'de gözlemci statüsü bulunan kuruluşlar için ayrılmıştır. "".int"" en katı başvuru politikalarına sahip TLD olarak kabul edilir çünkü bu alan adı, sahibinin uluslararası statüye sahip bir kuruluş olduğunu gösterir."
antlaşma,(https://tr.wikipedia.org/wiki/Antla%C5%9Fma),1,".int#5: Bu nedenle başvuru süreci, başvuru sahibinin Birleşmiş Milletler antlaşma kayıt numarası ve bağımsız yasal statüsü olduğunu gösteren kanıtlar sunmasını gerektirir."
.arpa,(https://tr.wikipedia.org/wiki/.arpa),1,.int#6: Daha önce İnternet altyapı hizmetlerine de açıktı ancak günümüzde bu hizmetler .arpa 'da kaydolmak zorundadır.
