E,U,Frekans,Kaynak_IDler
WWW,(https://tr.wikipedia.org/wiki/World_Wide_Web),2,"İnternet#12: Zaman zaman internet kelimesi yerine kullanılan "" WWW "" kısaltması ise World Wide Web ( Dünya Çapında Ağ ) sözcüklerinin akronimidir ve internet ile eş anlamlı değildir. | İnternet#21: Bunları FTP ve HTTP izlemiştir. 30 Nisan 1993'te CERN tarafından WWW ön eki ile internet kamunun ulaşabileceği şekle getirildi. internet teknolojisi Türkiye'ye ilk olarak 1987 yılında Ege Üniversitesi 'nin öncülüğünde kurulan Türkiye Üniversite ve Araştırma Kurumları Ağı (TÜVAKA) ile geldi, 12 Nisan 1993 tarihinde ODTÜ 'den Ankara-Washington arasında kiralık hat ile de Türkiye'de ilk internet bağlantısı kuruldu ve vatandaşların kullanımına açıldı."
İngilizce,(https://tr.wikipedia.org/wiki/%C4%B0ngilizce),2,"DNS#1: DNS ( İngilizce : Domain Name System , Türkçe : Alan Adı Sistemi ), internet uzayını bölümlemeye, bölümleri adlandırmaya ve bölümler arası iletişimi organize etmeye yarayan, bilgisayar, servis, internet veya özel bir ağa bağlı herhangi bir kaynak için hiyerarşik dağıtılmış bir adlandırma sistemidir. | .us#5: Birinci seviye içinde sadece Amerika Birleşik Devletleri'nin İngilizce kısaltmasının ilk iki harfi alınmıştır U nited S tates . | .sg#3: Singapur Ağ Bilgi Merkezi ( İngilizce : Singapore Network Information Centre ) (SGNIC) tarafından yönetilir. | Vikipedi#1: Vikipedi ( İngilizce : Wikipedia ), kullanıcıları tarafından ortaklaşa olarak birçok dilde hazırlanan; özgür, bağımsız, ücretsiz, reklamsız ve kâr amacı gütmeyen bir internet ansiklopedisidir . MediaWiki yazılımı kullanılarak hazırlanmaktadır. | .am#5: Ayrıca sonu ""am"" ile biten İngilizce kelimeler için şekilli alan adı oluşturmak için kullanılabilir. | IP adresi#1: IP adresi ( İngilizce : Internet Protocol address ), interneti ya da TCP/IP protokolünü kullanan diğer paket anahtarlamalı ağlara bağlı cihazların, ağ üzerinden birbirleri ile veri alışverişi yapmak için kullandıkları adres. | IP adresi#36: Versiyon ya da sürüm ( İngilizce : version ), kullanılan IP versiyonunu gösterir. | IP adresi#51: Ayrıca IPv4 başlık formatı ( İngilizce : header format ), IPv6 formatına göre daha basit yapıdadır. | IP adresi#56: IPv6'da NAT ’a ( İngilizce : Network Address Translation ) duyulan ihtiyaç azalmıştır. | Dosya aktarım iletişim kuralı#2: Dosya aktarım iletişim kuralı , ( İngilizce : F ile T ransfer P rotocol; FTP ), bir veri yığınının - ASCII , EBCDIC ve binary- bir uç aygıttan diğerine iletimi için kullanılmaktadır. | .ag#6: Ayrıca, -ag ile biten İngilizce kelimeler için diğer etki alanını kesmek için potansiyel bir kullanımı da vardır. | ARPANET#1: ARPANET ( İngilizce : Advanced Research Projects Agency Network 'ün kısaltması), bir bilgisayar ağıdır ve ilk olarak 1968'den itibaren Amerika Birleşik Devletleri Hava Kuvvetleri adına Massachusetts Teknoloji Enstitüsü ve ABD Savunma Bakanlığı liderliğindeki küçük bir araştırmacı grubu tarafından geliştirilmiştir. | .ch#5: Alan adı, Çin 'de ( İngilizce : China ) benzerlik sebebiyle oldukça sık kullanılmaktadır. | Yönlendirici#1: Yönlendirici ( İngilizce : router ), aynı ağ iletişim kurallarını kullanan iki bilgisayar ağı arasında veri çerçevelerinin iletimini sağlayan ağ donanımıdır . | Yönlendirici#7: Yolun seçimi için yöneltici yöneltme iletişim kurallarını ( İngilizce : routing protocol ) kullanarak diğer yönelticilerle bağlantı kurar ve gelen bilgileri yöneltme tablosuna ekler. | Yönlendirici#10: Her ne kadar IP iletişim kuralı günümüzde en çok bilinen yöneltilebilir iletişim kuralıysa da AppleTalk , IPX SNA, XNS ve DECnet gibi başka iletişim kurallarının da yöneltilebilir özelliği olduğunu unutmamak gerekir. Yöneltilebilir iletişim kuralı ( İngilizce : routable protocol ) ve yöneltme iletişim kuralı ( İngilizce : routing protocol ) birbirleriyle karıştırılmaması gereken farklı kavramlardır. | Güvenlik duvarı#1: Güvenlik duvarı veya ateş duvarı , ( İngilizce : Firewall ), güvenlik duvarı yazılımı, bir kural kümesi temelinde ağa gelen giden paket trafiğini kontrol eden donanım tabanlı ağ güvenliği sistemidir. | Güvenlik duvarı#23: Yeni nesil güvenlik duvarları da U.T.M. (Unified Threat Management) (güvenlik duvarı, antivirüs , anti spam , IDS/IPS, VPN , yönlendirici ( İngilizce : router ) gibi özellikleri olan) tümleşik cihazlardır. | .ae#2: BAE'de bulunan Telekomünikasyon ve Dijital Hükûmet Düzenleme Kurumu na ( İngilizce : Telecommunications and Digital Government Regulatory Authority ) bağlı .aeDA tarafından yönetilir. 1 Aralık 1992'de kaydedilmiştir. | IPv4#68: 1993 yılında adres sınıfından bağımsız yönlendirme ( CIDR ) ( İngilizce : Classless Inter-Domain Routing ) tanıtıldı. | IPv4#69: CIDR üst ağ oluşturma ( İngilizce : Supernetting )yı gerçekleştirmek için kullanılır. | IPv4#70: Üst ağ oluşturma yön kümeleme ( İngilizce : Route Aggregation ) ye olanak sağlar. | İnternet iletişim kuralları dizisi#2: İnternet protokol takımı ( İngilizce : Internet Protocol Suite [en] ), bilgisayarlar ve ağ cihazları arasında iletişimi sağlamak amacıyla standart olarak kabul edilmiş kurallar dizisidir. | Genel üst seviye alan adı#1: Genel Üst Seviye Alan Kodları ( İngilizce : generic Top Level Domain), internette kullanılan bir alan adı sınıfıdır. .com , .net , .org , .gov , .info , .aero , .biz , .wiki , .tech , .shop , .art , .москва gibi şekilleri mevcuttur. | İnternet#9: 1985 yılında kullanılmaya başlayan İngilizce internet kelimesi, ""kendi aralarında bağlantılı ağlar"" anlamına gelen Interconnected Networks teriminin kısaltmasıdır. | İnternet#55: E-posta ( İngilizce : e-mail ) ""elektronik posta"" sözcüklerinin kısaltmasıdır. internet üzerinden gönderilen ve alınan dijital mektuplardır."
elektronik,(https://tr.wikipedia.org/wiki/Elektronik),1,"İnternet#1: İnternet , bilgisayar sistemlerini birbirine bağlayan elektronik iletişim ağıdır . TDK , internet sözcüğüne karşılık olarak genel ağ ı önermiştir."
bilgisayar ağlarının,(https://tr.wikipedia.org/wiki/Bilgisayar_a%C4%9F%C4%B1),1,"İnternet#3: İnternet, çok protokollü bir ağ olup birbirine bağlı bilgisayar ağlarının tümü olarak da tanımlanabilir."
akademik,(https://tr.wikipedia.org/wiki/Akademik),1,İnternet#4: Binlerce akademik ve ticari ağ ile devlet ve serbest bilgisayar ağının birbirine bağlanmasıyla oluşmuştur.
iletişim ağıdır,(https://tr.wikipedia.org/wiki/%C4%B0leti%C5%9Fim_a%C4%9F%C4%B1),1,"İnternet#1: İnternet , bilgisayar sistemlerini birbirine bağlayan elektronik iletişim ağıdır . TDK , internet sözcüğüne karşılık olarak genel ağ ı önermiştir."
TDK,(https://tr.wikipedia.org/wiki/T%C3%BCrk_Dil_Kurumu),1,"İnternet#1: İnternet , bilgisayar sistemlerini birbirine bağlayan elektronik iletişim ağıdır . TDK , internet sözcüğüne karşılık olarak genel ağ ı önermiştir."
devlet,(https://tr.wikipedia.org/wiki/Devlet),1,İnternet#4: Binlerce akademik ve ticari ağ ile devlet ve serbest bilgisayar ağının birbirine bağlanmasıyla oluşmuştur.
ticari,(https://tr.wikipedia.org/wiki/Ticari),1,İnternet#4: Binlerce akademik ve ticari ağ ile devlet ve serbest bilgisayar ağının birbirine bağlanmasıyla oluşmuştur.
elektronik posta,(https://tr.wikipedia.org/wiki/Elektronik_posta),1,İnternet#6: İnternet üzerinde elektronik posta ve birbirine bağlı sayfalar gibi çok çeşitli bilgiler ve hizmetler vardır.
