E,U,Frekans,Kaynak_IDler
IPv4,(https://tr.wikipedia.org/wiki/IPv4),2,"DNS#25: Bu adres, protokol seviyesinin IPv4 ve IPv6 olmasına göre 32 bit ya da 128 bit uzunluğundadır. | Virtual hosting#7: IPv4 , her biri 32 bit uzunluğunda olan yaklaşık 4,3 milyar benzersiz adres sağlamaktadır. | IP adresi#5: IP adresleri şu anda yaygın kullanımda olan IPv4 adresleri 32 bit boyutunda olup, noktalarla ayrılmış 4 adet onluk düzendeki sayılarla gösterilirler. | IPv6#2: Internet Protocol Version 6 ( Türkçe : İnternet Protokol Sürüm 6 ) kısaca IPv6 , 32 bitlik bir adres yapısına sahip olan IPv4 'ün adreslemede artık yetersiz kalması ve ciddi sıkıntılar meydana getirmesi üzerine IETF tarafından geliştirilmiştir. | IPv6#93: Bu adres IPv4 sürümündeki 0.0.0.0 adresiyle eşdeğerdir."
OSI modeli,(https://tr.wikipedia.org/wiki/OSI_modeli),1,IP adresi#2: OSI modeli | Dosya aktarım iletişim kuralı#1: OSI modeli | IPv6#1: OSI modeli
Türkçe,(https://tr.wikipedia.org/wiki/T%C3%BCrk%C3%A7e),1,"DNS#1: DNS ( İngilizce : Domain Name System , Türkçe : Alan Adı Sistemi ), internet uzayını bölümlemeye, bölümleri adlandırmaya ve bölümler arası iletişimi organize etmeye yarayan, bilgisayar, servis, internet veya özel bir ağa bağlı herhangi bir kaynak için hiyerarşik dağıtılmış bir adlandırma sistemidir. | Türkçe Vikipedi#1: Türkçe Vikipedi , Vikipedi 'nin 5 Aralık 2002'de başlatılan Türkçe sürümüdür. | IPv6#2: Internet Protocol Version 6 ( Türkçe : İnternet Protokol Sürüm 6 ) kısaca IPv6 , 32 bitlik bir adres yapısına sahip olan IPv4 'ün adreslemede artık yetersiz kalması ve ciddi sıkıntılar meydana getirmesi üzerine IETF tarafından geliştirilmiştir."
bitlik,(https://tr.wikipedia.org/wiki/Bit_(bili%C5%9Fim)),1,"IPv6#2: Internet Protocol Version 6 ( Türkçe : İnternet Protokol Sürüm 6 ) kısaca IPv6 , 32 bitlik bir adres yapısına sahip olan IPv4 'ün adreslemede artık yetersiz kalması ve ciddi sıkıntılar meydana getirmesi üzerine IETF tarafından geliştirilmiştir."
IETF,(https://tr.wikipedia.org/wiki/%C4%B0nternet_M%C3%BChendisli%C4%9Fi_G%C3%B6rev_G%C3%BCc%C3%BC),1,"IPv6#2: Internet Protocol Version 6 ( Türkçe : İnternet Protokol Sürüm 6 ) kısaca IPv6 , 32 bitlik bir adres yapısına sahip olan IPv4 'ün adreslemede artık yetersiz kalması ve ciddi sıkıntılar meydana getirmesi üzerine IETF tarafından geliştirilmiştir."
internetin,(https://tr.wikipedia.org/wiki/%C4%B0nternet),1,IPv6#3: IPv4 oluşturulmaya başlandığında internetin bu kadar ilerleyeceği hesap edilmemişti.
paket,(https://tr.wikipedia.org/wiki/Paket),1,IPv6#41: IPv4'te olan trafik işgal edici paket başlıkları kaldırılarak bir hız arttırımına gidilmiştir.
şifreleme,(https://tr.wikipedia.org/wiki/%C5%9Eifreleme),1,IPv6#42: Ayrıca yeni eklenen şifreleme sistemleriyle daha güvenli iletimler sağlanmaktadır.
IPSec protokolünü,(https://tr.wikipedia.org/wiki/IPsec),1,IPv6#44: AH ve ESP başlıkları uçlar arasındaki tüm veri iletimini şifreleyen IPSec protokolünü desteklemek amaçlı kullanılmıştır.
QoS,(https://tr.wikipedia.org/wiki/QoS_(port_%C3%B6nceli%C4%9Fi)),1,"IPv6#45: Ayrıca şu anda IPv4'ün, QoS eklentisiyle idare ettiği ama tam olarak destekleyemediği görüntü ve ses iletimi sıkıntısı IPv6 ile çözülecektir."
