E,U,Frekans,Kaynak_IDler
ARPANET,(https://tr.wikipedia.org/wiki/ARPANET),4,"SMTP#18: Daha az bilgisayar, özellikle ABD hükûmetindeki ARPANET ’te, birbirlerine e-posta gönderebilmek için bağlandı. | SMTP#35: Özellikle ABD Hükûmeti'nin ARPANET 'inde daha fazla bilgisayar birbirine bağlandıkça, farklı işletim sistemleri arasında mesaj alışverişi yapmak için standartlar geliştirildi. | SMTP#36: SMTP, 1970'lerde geliştirilen bu standartların bir sonucuydu. ARPANET 'teki posta kökleri 1971'e kadar uzanır: Uygulanmayan ancak RFC 196 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'da tartışılan Posta Kutusu Protokolü ve aynı yıl BBN'den Ray Tomlinson 'ın iki bilgisayar arasında mesaj göndermek için uyarladığı SNDMSG [en] programı. | SMTP#37: Bir Posta Protokolü için daha fazla öneri, Haziran 1973'te RFC 524'te yapılmıştır, ancak uygulanmamıştır. ARPANET 'te ""ağ postası"" için Dosya Aktarım Protokolü (FTP) kullanımı, Mart 1973'te RFC 469'da önerilmiştir. | İnternet iletişim kuralları dizisi#15: İnternet protokol takımı 1960'ların sonunda İleri Araştırma Projeleri Savunma Ajansı (Defense Advanced Research Projects Agency - DARPA) tarafından yapılan araştırma ve geliştirme sonucu ortaya çıkmıştır. 1969 yılında öncü olarak başlatılan ARPANET sonrasında DARPA diğer veri iletim teknolojileri ile ilgili bir dizi çalışma başlattı. | İnternet iletişim kuralları dizisi#16: Uydu paket ağları (satellite packet networks) ve karasal radyo paket ağları (radio packet networks) üzerine çalışan ve bu iki farklı ağ arasında iletişim kurabilmenin değerinin farkına varmış olan Robert E. Kahn 1972 yılında DARPA Bilgi İşleme Tekik Ofisi [en] 'ne katıldı. 1973 baharında, mevcut ARPANET Ağı Kontrol Programı (NCP) protokolünün geliştiricisi olan Vint Cerf , yeni nesil ARPANET protokolleri tasarımı amacıyla, açık mimari arabağlantı modelleri üzerinde çalışmak için Robert E. Kahn ile birlikte çalışmaya başladı. | TCP#21: Katılımcılar bu çalışmalar sonucunda ARPANET 'i kurdular. ARPANET internet tarihindeki ilk paket anahtarlamalı [en] ağ oldu. ARPANET ilk olarak 1969 yılının sonlarında dört adet uçla (node) çalışmaya başladı. | TCP#22: Bu çalışmanın başarılı olmasının sonucunda ""ARPA Internet ( ARPANET )"" adındaki ilk geniş alan ağı kurulmuş oldu."
paket anahtarlamalı,(https://tr.wikipedia.org/w/index.php?title=Paket_anahtarlamal%C4%B1&action=edit&redlink=1),2,TCP#19: Bu protokol modelini paket anahtarlamalı [en] olarak nitelendirdiler ve TCP‘nin temelleri atılmış oldu. | TCP#21: Katılımcılar bu çalışmalar sonucunda ARPANET 'i kurdular. ARPANET internet tarihindeki ilk paket anahtarlamalı [en] ağ oldu. ARPANET ilk olarak 1969 yılının sonlarında dört adet uçla (node) çalışmaya başladı.
taşıma katmanı,(https://tr.wikipedia.org/wiki/Ta%C5%9F%C4%B1ma_katman%C4%B1),1,"TCP#2: TCP (Transmission Control Protocol) , TCP/IP protokol takımının taşıma katmanı protokollerinden birisidir."
protokollerinden,(https://tr.wikipedia.org/wiki/Protokol),1,"TCP#2: TCP (Transmission Control Protocol) , TCP/IP protokol takımının taşıma katmanı protokollerinden birisidir."
OSI modeli,(https://tr.wikipedia.org/wiki/OSI_modeli),1,IP adresi#2: OSI modeli | Dosya aktarım iletişim kuralı#1: OSI modeli | IPv6#1: OSI modeli | SMTP#1: OSI modeli | IPv4#1: OSI modeli | İnternet iletişim kuralları dizisi#1: OSI modeli | TCP#1: OSI modeli
TCP/IP protokol takımının,(https://tr.wikipedia.org/wiki/%C4%B0nternet_ileti%C5%9Fim_kurallar%C4%B1_dizisi),1,"TCP#2: TCP (Transmission Control Protocol) , TCP/IP protokol takımının taşıma katmanı protokollerinden birisidir."
HTTP,(https://tr.wikipedia.org/wiki/HTTP),1,"Türkçe Vikipedi#9: Bu engelleme URL tabanlı olup sadece HTTP bağlantılar üzerinde etkili olmuştur. | URL#6: URL'ler yaygın olarak web sayfalarına ( HTTP ) işaret edilmek için oluyor fakat URL'ler dosya aktarım ( FTP ), E-mail (mailto), veritabanı erişimleri (JDBC), gibi ve başka çok sayıda uygulamalar için kullanılır. | Güvenlik duvarı#16: Örneğin HTTP protokolü üzerinden bir web sitesinin erişiminin engellenmesi buna örnek olarak verilebilir. | İletişim protokolü#9: Popüler iletişim protokolleri örnekleri: GSM , GPRS , TCP/IP , HTTP veya ISDN olabilir. | İnternet#21: Bunları FTP ve HTTP izlemiştir. 30 Nisan 1993'te CERN tarafından WWW ön eki ile internet kamunun ulaşabileceği şekle getirildi. internet teknolojisi Türkiye'ye ilk olarak 1987 yılında Ege Üniversitesi 'nin öncülüğünde kurulan Türkiye Üniversite ve Araştırma Kurumları Ağı (TÜVAKA) ile geldi, 12 Nisan 1993 tarihinde ODTÜ 'den Ankara-Washington arasında kiralık hat ile de Türkiye'de ilk internet bağlantısı kuruldu ve vatandaşların kullanımına açıldı. | TCP#10: Gelişmiş bilgisayar ağlarında paket anahtarlamalı bilgisayar iletişiminde kayıpsız veri gönderimi sağlayabilmek için TCP protokolü yazılmıştır. HTTP , HTTPS , POP3 , SSH , SMTP , Telnet ve FTP gibi internetin kullanıcı açısından en popüler protokollerinin veri iletimi TCP vasıtasıyla yapılır."
RFC 9293,(https://www.ietf.org/rfc/rfc9293.txt),1,TCP#9: Son güncellemesi Ağustos 2022 tarihi itibarıyla RFC 9293 içerisinde tanımlanmıştır.
HTTPS,(https://tr.wikipedia.org/wiki/HTTPS),1,"SMTP#219: 2014 yılında Elektronik Özgürlükler Derneği, "" HTTPS Everywhere"" listesi gibi, iletişim öncesi başka birinin güvenli iletişim desteğini keşfetmesine olanak tanıyan ""STARTTLS Everywhere"" projesini başlattı. | TCP#10: Gelişmiş bilgisayar ağlarında paket anahtarlamalı bilgisayar iletişiminde kayıpsız veri gönderimi sağlayabilmek için TCP protokolü yazılmıştır. HTTP , HTTPS , POP3 , SSH , SMTP , Telnet ve FTP gibi internetin kullanıcı açısından en popüler protokollerinin veri iletimi TCP vasıtasıyla yapılır."
POP3,(https://tr.wikipedia.org/wiki/POP3),1,"SMTP#218: STARTTLS ayrıca başka RFC'lerde IMAP ve POP3 için tanımlanmış olsa da, bu protokoller, SMTP mesaj transfer ajanları arasındaki iletişim için kullanılırken, IMAP ve POP3, son istemciler ve mesaj transfer ajanları içindir. | TCP#10: Gelişmiş bilgisayar ağlarında paket anahtarlamalı bilgisayar iletişiminde kayıpsız veri gönderimi sağlayabilmek için TCP protokolü yazılmıştır. HTTP , HTTPS , POP3 , SSH , SMTP , Telnet ve FTP gibi internetin kullanıcı açısından en popüler protokollerinin veri iletimi TCP vasıtasıyla yapılır."
