E,U,Frekans,Kaynak_IDler
Yunanca,(https://tr.wikipedia.org/wiki/Yunanca),1,"Türkçe#26: Türkiye ve Kuzey Kıbrıs Türk Cumhuriyeti 'nde bu dil ülkenin resmî dilidir. Kıbrıs Cumhuriyeti 'nde (diğer adıyla Güney Kıbrıs Rum Yönetimi ) anayasal olarak Türkçe, Yunanca ile beraber resmî dil olarak geçer. 1982 T.C. Anayasasına göre Türkçe, Türkiye Devleti 'nin dilidir. | Türkçe#39: Bulgaristan devlet televizyonunun Türkçe programları vardır. Kırcaali Belediyesi ise iki dilde hizmet verir. Deliorman ve Doğu Rumeli 'de okullarda seçmeli ana dili dersi yer alır. Yunanistan 'ın İskeçe ve Gümülcine 'yi de kapsayan Batı Trakya bölgesinde yer alan 200'ü aşkın azınlık okulunda ise Yunanca ve Türkçe eğitim verilmektedir. | SMTP#180: Uluslararası karakter setlerini ve ASCII karakter setinde olmayan diakritik işaretleri kullanan kullanıcılar için ASCII karakterleriyle oluşan e-posta adreslerinin kullanımı zor olduğundan, orijinal SMTP'ye UTF-8'ın adres adlarında kullanımını sağlayan uzantılar eklendi. RFC 5336 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi ., deneysel UTF8SMTP komutunu tanıttı ve daha sonra SMTPUTF8 komutunu tanıtan RFC 6531 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi . tarafından yerini aldı. Bu uzantılar, diakritik işaretler ve Yunanca ve Çince gibi diğer dil karakterleri gibi çok baytlı ve ASCII olmayan karakterlerin e-posta adreslerinde kullanımına olanak sağlar. | Hiyerarşi#1: Hiyerarşi ya da aşama sırası , oluşum açısından ( Yunanca : Ἱεραρχία ) kelimesine dayanan, bir toplumdaki ya da kuruluştaki bireylerin belirli faktörlere bağlı olarak statü, görev, alt ve üst arası ilişkiler sınıflandıran ve bu sınıflara bağlı standartlar sunan yapı."
Hristiyan ahlakı,(https://tr.wikipedia.org/w/index.php?title=Hristiyan_ahlak%C4%B1&action=edit&redlink=1),1,"Hiyerarşi#5: Hiyerarşi, toplum içindeki bir fikir ve uygulama alanı olan eşitliğin- Hristiyan ahlakı açısından tüm insanların tanrı tarafından eşit olduğu fikri, Kantçı düşünce açısından tüm insanlara aynı düzeyde saygı ve değer sunulması fikri ve bireyin mutluluk düzeyini yükseltmek için bireylere eşit davranılması düşüncesini savunan faydacı fikir karşıtı bir düzendir."
Kantçı düşünce,(https://tr.wikipedia.org/w/index.php?title=Kant%C3%A7%C4%B1_d%C3%BC%C5%9F%C3%BCnce&action=edit&redlink=1),1,"Hiyerarşi#5: Hiyerarşi, toplum içindeki bir fikir ve uygulama alanı olan eşitliğin- Hristiyan ahlakı açısından tüm insanların tanrı tarafından eşit olduğu fikri, Kantçı düşünce açısından tüm insanlara aynı düzeyde saygı ve değer sunulması fikri ve bireyin mutluluk düzeyini yükseltmek için bireylere eşit davranılması düşüncesini savunan faydacı fikir karşıtı bir düzendir."
faydacı,(https://tr.wikipedia.org/wiki/Faydac%C4%B1l%C4%B1k),1,"Hiyerarşi#5: Hiyerarşi, toplum içindeki bir fikir ve uygulama alanı olan eşitliğin- Hristiyan ahlakı açısından tüm insanların tanrı tarafından eşit olduğu fikri, Kantçı düşünce açısından tüm insanlara aynı düzeyde saygı ve değer sunulması fikri ve bireyin mutluluk düzeyini yükseltmek için bireylere eşit davranılması düşüncesini savunan faydacı fikir karşıtı bir düzendir."
dil,(https://tr.wikipedia.org/wiki/Dil),1,"Hiyerarşi#6: Bu durumda eşitlik ilkesi içinde barınan koşullar dil , ırk , cinsiyet , siyasi düşünce , felsefi inanç , mezhep , din konularında kanuni eşitlik hiyerarşinin yapısında yer almaz."
ırk,(https://tr.wikipedia.org/wiki/Irk),1,"Hiyerarşi#6: Bu durumda eşitlik ilkesi içinde barınan koşullar dil , ırk , cinsiyet , siyasi düşünce , felsefi inanç , mezhep , din konularında kanuni eşitlik hiyerarşinin yapısında yer almaz."
cinsiyet,(https://tr.wikipedia.org/wiki/Cinsiyet),1,"Hiyerarşi#6: Bu durumda eşitlik ilkesi içinde barınan koşullar dil , ırk , cinsiyet , siyasi düşünce , felsefi inanç , mezhep , din konularında kanuni eşitlik hiyerarşinin yapısında yer almaz."
siyasi düşünce,(https://tr.wikipedia.org/wiki/Siyaset),1,"Hiyerarşi#6: Bu durumda eşitlik ilkesi içinde barınan koşullar dil , ırk , cinsiyet , siyasi düşünce , felsefi inanç , mezhep , din konularında kanuni eşitlik hiyerarşinin yapısında yer almaz."
felsefi inanç,(https://tr.wikipedia.org/w/index.php?title=Felsefi_inan%C3%A7&action=edit&redlink=1),1,"Hiyerarşi#6: Bu durumda eşitlik ilkesi içinde barınan koşullar dil , ırk , cinsiyet , siyasi düşünce , felsefi inanç , mezhep , din konularında kanuni eşitlik hiyerarşinin yapısında yer almaz."
mezhep,(https://tr.wikipedia.org/wiki/Mezhep),1,"Hiyerarşi#6: Bu durumda eşitlik ilkesi içinde barınan koşullar dil , ırk , cinsiyet , siyasi düşünce , felsefi inanç , mezhep , din konularında kanuni eşitlik hiyerarşinin yapısında yer almaz."
din,(https://tr.wikipedia.org/wiki/Din),1,"Hiyerarşi#6: Bu durumda eşitlik ilkesi içinde barınan koşullar dil , ırk , cinsiyet , siyasi düşünce , felsefi inanç , mezhep , din konularında kanuni eşitlik hiyerarşinin yapısında yer almaz."
ilkel komün,(https://tr.wikipedia.org/w/index.php?title=Ilkel_kom%C3%BCn&action=edit&redlink=1),1,Hiyerarşi#13: Başlangıçta bir ilkel komün süreci yer alır ve bu süreçte henüz hiyerarşi gözlenmez.
anaerkil,(https://tr.wikipedia.org/wiki/Anaerkillik),1,"Hiyerarşi#15: Ancak eğer bu ilkel komünde bir hiyerarşi aranırsa, toplum hiyerarşisinin anaerkil olduğu görülür."
ailedir,(https://tr.wikipedia.org/wiki/Aile),1,Hiyerarşi#18: Toplumun başlangıç birimi ailedir .
zanaat,(https://tr.wikipedia.org/wiki/Zanaat),1,"Hiyerarşi#22: Öncelikle ok ve yay yardımı ile hayvan evcilleşitirilmesinin ardından metal aletler ile tarım yapılması zanaat ve tarımı farklılaştırır.Bu yöntemler sayesinde insanlar, ilkel komüne oranla daha bol kaynaklara sahiptir."
köle,(https://tr.wikipedia.org/wiki/K%C3%B6lelik),1,"Hiyerarşi#30: Bu nedenle de öldürülür ancak yeni iş düzeni ve fazla iş gücünden elde edilen fazla mal durumu savaş kazananlarının, savaşın yenilen tarafını köle olarak çalıştırma gücünü ortaya çıkartmış olur.Bu durumda yeni hiyerarşinin yapısında alt tabaya köle adı verilen çalışanlar konumlandırılırken üst yapıya da efendiler gelir.Bunun sonucunda diğer aşamaların çok daha üstünde olan yeni bir sömürülenler-sömürenler hiyerarşisi ortaya çıkar."
