E,U,Frekans,Kaynak_IDler
HTTP,(https://tr.wikipedia.org/wiki/HTTP),2,"Türkçe Vikipedi#9: Bu engelleme URL tabanlı olup sadece HTTP bağlantılar üzerinde etkili olmuştur. | URL#6: URL'ler yaygın olarak web sayfalarına ( HTTP ) işaret edilmek için oluyor fakat URL'ler dosya aktarım ( FTP ), E-mail (mailto), veritabanı erişimleri (JDBC), gibi ve başka çok sayıda uygulamalar için kullanılır. | Güvenlik duvarı#16: Örneğin HTTP protokolü üzerinden bir web sitesinin erişiminin engellenmesi buna örnek olarak verilebilir. | İletişim protokolü#9: Popüler iletişim protokolleri örnekleri: GSM , GPRS , TCP/IP , HTTP veya ISDN olabilir. | İnternet#21: Bunları FTP ve HTTP izlemiştir. 30 Nisan 1993'te CERN tarafından WWW ön eki ile internet kamunun ulaşabileceği şekle getirildi. internet teknolojisi Türkiye'ye ilk olarak 1987 yılında Ege Üniversitesi 'nin öncülüğünde kurulan Türkiye Üniversite ve Araştırma Kurumları Ağı (TÜVAKA) ile geldi, 12 Nisan 1993 tarihinde ODTÜ 'den Ankara-Washington arasında kiralık hat ile de Türkiye'de ilk internet bağlantısı kuruldu ve vatandaşların kullanımına açıldı. | TCP#10: Gelişmiş bilgisayar ağlarında paket anahtarlamalı bilgisayar iletişiminde kayıpsız veri gönderimi sağlayabilmek için TCP protokolü yazılmıştır. HTTP , HTTPS , POP3 , SSH , SMTP , Telnet ve FTP gibi internetin kullanıcı açısından en popüler protokollerinin veri iletimi TCP vasıtasıyla yapılır. | İnternet sitesi#2: Ziyaretçiler bir web sitesine, HTTP veya HTTPS protokollerinde aşağıdaki bileşenlerden oluşan benzersiz bir adresi kullanarak erişirler: | İnternet sitesi#15: Köprü Metni Aktarım Protokolü'nün ( HTTP ) kullanıma sunulmasından önce, bir sunucudan tek tek dosyaları almak için dosya aktarım iletişim kuralı ve gopher gibi diğer protokoller kullanılıyordu."
ASP,(https://tr.wikipedia.org/wiki/ASP),2,İnternet sitesi#31: Web Tasarım konusunda en aktif kullanılan diller arasındadır. ASP (Active Server Pages) yani aktif sunucu sayfalarının İngilizce kısaltmasıdır. | İnternet sitesi#43: Microsoft firması tarafından geliştirilen ASP.Net ve ASP 'nin belli bir kesim tarafından kabul edilip kullanılmasının yanı sıra günümüzde PHP olarak adlandırılan ve belki de en çok kullanılan betik ve programlama dili de bir hayli yaygın olarak kullanılır.
PHP,(https://tr.wikipedia.org/wiki/PHP),2,"URL#17: Dosya formatları nokta son ekleri kullanılarak sınıflandırılabilirler. file.html veya file.txt istekleri doğrudan yerine getirilirken, file.php , işlenen sonuç son kullanıcıya servis edilmeden önce bir PHP ön işlemcisine yollanmasına ihtiyaç duyar. | İnternet sitesi#30: Statik web sayfası/sayfaları, sayfaları oluşturan birey tarafından değiştirilmedikçe herhangi bir güncellemeye maruz kalmayarak en son yapılandırıldığı gibi bilgi veya görsel sunum aktarımı sağlar. PHP (açılımı Hypertext Preprocessor) sanal programlar geliştirmek için tasarlanmış HTML içine gömülebilen, öğrenimi oldukça kolay bir dildir. | İnternet sitesi#43: Microsoft firması tarafından geliştirilen ASP.Net ve ASP 'nin belli bir kesim tarafından kabul edilip kullanılmasının yanı sıra günümüzde PHP olarak adlandırılan ve belki de en çok kullanılan betik ve programlama dili de bir hayli yaygın olarak kullanılır."
alan adı,(https://tr.wikipedia.org/wiki/Alan_ad%C4%B1),1,".uk#14: 1990'ların ortalarına gelindiğinde, İnternet'in büyümesi ve özellikle World Wide Web 'in ortaya çıkması, alan adı kaydı taleplerinin yarı zamanlı gönüllülerden oluşan bir grubun yönetemeyeceği seviyelere yükselmesine neden oldu. Demon Internet'ten Oliver Smith, komiteye adlandırma sürecini baştan sona resmîleştiren ve otomatikleştiren bir dizi otomatik araç sağlayarak sorunu çözmeye çalıştı. | .ai#5: .ai alan adı için izin verilen minimum kayıt süresi hem kayıt hem de yenileme için 2 yıldır. | .net#5: .net, Ocak 1985'te oluşturulduğu için RFC 920 'de bahsedilmemesine rağmen başlıca üst seviye alan adlarından biridir (Diğer beşi: .com , .edu , .gov , .mil ve .org ). 2024 itibarıyla yaklaşık 13 milyon alan adı ile .com , .cn ve .de 'den sonra en popüler üst seviye alan adıdır . | .mk#4: Herkes bir .mk alan adı kaydettirebilir. | .dk#3: Kaydedilen her yeni alan adı için akredite edilen bir kayıt kuruluşu aracılığıyla başvurulmalıdır. | Genel üst seviye alan adı#1: Genel Üst Seviye Alan Kodları ( İngilizce : generic Top Level Domain), internette kullanılan bir alan adı sınıfıdır. .com , .net , .org , .gov , .info , .aero , .biz , .wiki , .tech , .shop , .art , .москва gibi şekilleri mevcuttur. | İnternet sitesi#1: Web sitesi , ortak bir alan adı ile tanımlanan ve en az bir web sunucusunda yayınlanan web sayfaları ve ilgili içeriklerden oluşan bir koleksiyondur. Web üzerindeki sayfalar; metin, görsel ve animasyon şeklinde ziyaretçisine bilgi aktaran veya hizmet sunan sayfaların tümünü kapsayan bir doküman topluluğudur."
web sunucusunda,(https://tr.wikipedia.org/wiki/Web_sunucusu),1,"İnternet sitesi#1: Web sitesi , ortak bir alan adı ile tanımlanan ve en az bir web sunucusunda yayınlanan web sayfaları ve ilgili içeriklerden oluşan bir koleksiyondur. Web üzerindeki sayfalar; metin, görsel ve animasyon şeklinde ziyaretçisine bilgi aktaran veya hizmet sunan sayfaların tümünü kapsayan bir doküman topluluğudur."
Web,(https://tr.wikipedia.org/wiki/World_Wide_Web),1,"İnternet sitesi#1: Web sitesi , ortak bir alan adı ile tanımlanan ve en az bir web sunucusunda yayınlanan web sayfaları ve ilgili içeriklerden oluşan bir koleksiyondur. Web üzerindeki sayfalar; metin, görsel ve animasyon şeklinde ziyaretçisine bilgi aktaran veya hizmet sunan sayfaların tümünü kapsayan bir doküman topluluğudur."
web sayfaları,(https://tr.wikipedia.org/wiki/Web_sayfas%C4%B1),1,"İnternet sitesi#1: Web sitesi , ortak bir alan adı ile tanımlanan ve en az bir web sunucusunda yayınlanan web sayfaları ve ilgili içeriklerden oluşan bir koleksiyondur. Web üzerindeki sayfalar; metin, görsel ve animasyon şeklinde ziyaretçisine bilgi aktaran veya hizmet sunan sayfaların tümünü kapsayan bir doküman topluluğudur."
HTTPS,(https://tr.wikipedia.org/wiki/HTTPS),1,"SMTP#219: 2014 yılında Elektronik Özgürlükler Derneği, "" HTTPS Everywhere"" listesi gibi, iletişim öncesi başka birinin güvenli iletişim desteğini keşfetmesine olanak tanıyan ""STARTTLS Everywhere"" projesini başlattı. | TCP#10: Gelişmiş bilgisayar ağlarında paket anahtarlamalı bilgisayar iletişiminde kayıpsız veri gönderimi sağlayabilmek için TCP protokolü yazılmıştır. HTTP , HTTPS , POP3 , SSH , SMTP , Telnet ve FTP gibi internetin kullanıcı açısından en popüler protokollerinin veri iletimi TCP vasıtasıyla yapılır. | İnternet sitesi#2: Ziyaretçiler bir web sitesine, HTTP veya HTTPS protokollerinde aşağıdaki bileşenlerden oluşan benzersiz bir adresi kullanarak erişirler:"
köprüler,(https://tr.wikipedia.org/wiki/Ba%C4%9Flant%C4%B1_(internet)),1,"İnternet sitesi#4: Web sayfaları arasındaki köprüler , genellikle bir ana sayfayla başlayan sitenin gezinmesine rehberlik eder. Mayıs 2023 itibarıyla en çok ziyaret edilen 5 web sitesi Google Arama , YouTube , Facebook , Twitter ve Instagram 'dır. Son yıllarda sitelerle paralel Web uygulaması , bilgisayar uygulaması ve mobil uygulama 'lar da popülerlik kazandı."
YouTube,(https://tr.wikipedia.org/wiki/YouTube),1,"Google#15: Alexa , internette en çok ziyaret edilen web sitesi olarak ABD odaklı ""google.com"" u listelemektedir, YouTube , Blogger , Orkut gibi Google'a ait diğer siteler ve çok sayıda uluslararası Google sitesi (google.co.in, google.co.uk vb.) ise en çok ziyaret edilen siteler arasında ilk yüz içinde yer almaktadır. | GoogleCard#12: Adscape Android DeepMind Endoxon FeedBurner Fitbit ImageAmerica Kaltix Nest Labs YouTube ZipDash | .sh#7: YouTube skeç kanalı Smosh , web sitelerine yönlendirme yapmak için smo.sh alan adını kullanır. | İnternet sitesi#4: Web sayfaları arasındaki köprüler , genellikle bir ana sayfayla başlayan sitenin gezinmesine rehberlik eder. Mayıs 2023 itibarıyla en çok ziyaret edilen 5 web sitesi Google Arama , YouTube , Facebook , Twitter ve Instagram 'dır. Son yıllarda sitelerle paralel Web uygulaması , bilgisayar uygulaması ve mobil uygulama 'lar da popülerlik kazandı."
