E,U,Frekans,Kaynak_IDler
Kahn,(https://tr.wikipedia.org/wiki/Bob_Kahn),4,"İnternet iletişim kuralları dizisi#17: 1973 yazında Kahn ve Cerf ağlar arası iletişim protokollerinde yeni temel bir formül geliştirdiler. | İnternet iletişim kuralları dizisi#18: Bu yeni formülde iletişimin güvenilirliğinin (reliability) sorumluluğu ARPANET'tekinin aksine olarak, ağa değil de uçlara ( host ) veriliyordu. Cerf , CYCLADES [en] ağının tasarımcıları olan Hubert Zimmermann [en] ve Louis Pouzin [en] 'i bu yeni tasarımlarına yapmış oldukları katkılardan dolayı takdir etmiştir. Kahn ve Cerf 'in yapmış oldukları bu tasarım Transmission Control Protocol adıyla kodlanmış ve 1974 yılında yayınlanmıştır. | İnternet iletişim kuralları dizisi#24: Böylece Kahn 'ın en başta karşılaşmış olduğu problem de çözülmüş oluyordu. Cerf ve Kahn 'ın nihai ürünü olan TCP/IP böylece adeta "" iki teneke kutu ve bir ip [en] "" ile çalışabilecek duruma gelmişti."
Cerf,(https://tr.wikipedia.org/wiki/Vint_Cerf),4,"İnternet iletişim kuralları dizisi#17: 1973 yazında Kahn ve Cerf ağlar arası iletişim protokollerinde yeni temel bir formül geliştirdiler. | İnternet iletişim kuralları dizisi#18: Bu yeni formülde iletişimin güvenilirliğinin (reliability) sorumluluğu ARPANET'tekinin aksine olarak, ağa değil de uçlara ( host ) veriliyordu. Cerf , CYCLADES [en] ağının tasarımcıları olan Hubert Zimmermann [en] ve Louis Pouzin [en] 'i bu yeni tasarımlarına yapmış oldukları katkılardan dolayı takdir etmiştir. Kahn ve Cerf 'in yapmış oldukları bu tasarım Transmission Control Protocol adıyla kodlanmış ve 1974 yılında yayınlanmıştır. | İnternet iletişim kuralları dizisi#24: Böylece Kahn 'ın en başta karşılaşmış olduğu problem de çözülmüş oluyordu. Cerf ve Kahn 'ın nihai ürünü olan TCP/IP böylece adeta "" iki teneke kutu ve bir ip [en] "" ile çalışabilecek duruma gelmişti."
ARPANET,(https://tr.wikipedia.org/wiki/ARPANET),3,"SMTP#18: Daha az bilgisayar, özellikle ABD hükûmetindeki ARPANET ’te, birbirlerine e-posta gönderebilmek için bağlandı. | SMTP#35: Özellikle ABD Hükûmeti'nin ARPANET 'inde daha fazla bilgisayar birbirine bağlandıkça, farklı işletim sistemleri arasında mesaj alışverişi yapmak için standartlar geliştirildi. | SMTP#36: SMTP, 1970'lerde geliştirilen bu standartların bir sonucuydu. ARPANET 'teki posta kökleri 1971'e kadar uzanır: Uygulanmayan ancak RFC 196 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi .'da tartışılan Posta Kutusu Protokolü ve aynı yıl BBN'den Ray Tomlinson 'ın iki bilgisayar arasında mesaj göndermek için uyarladığı SNDMSG [en] programı. | SMTP#37: Bir Posta Protokolü için daha fazla öneri, Haziran 1973'te RFC 524'te yapılmıştır, ancak uygulanmamıştır. ARPANET 'te ""ağ postası"" için Dosya Aktarım Protokolü (FTP) kullanımı, Mart 1973'te RFC 469'da önerilmiştir. | İnternet iletişim kuralları dizisi#15: İnternet protokol takımı 1960'ların sonunda İleri Araştırma Projeleri Savunma Ajansı (Defense Advanced Research Projects Agency - DARPA) tarafından yapılan araştırma ve geliştirme sonucu ortaya çıkmıştır. 1969 yılında öncü olarak başlatılan ARPANET sonrasında DARPA diğer veri iletim teknolojileri ile ilgili bir dizi çalışma başlattı. | İnternet iletişim kuralları dizisi#16: Uydu paket ağları (satellite packet networks) ve karasal radyo paket ağları (radio packet networks) üzerine çalışan ve bu iki farklı ağ arasında iletişim kurabilmenin değerinin farkına varmış olan Robert E. Kahn 1972 yılında DARPA Bilgi İşleme Tekik Ofisi [en] 'ne katıldı. 1973 baharında, mevcut ARPANET Ağı Kontrol Programı (NCP) protokolünün geliştiricisi olan Vint Cerf , yeni nesil ARPANET protokolleri tasarımı amacıyla, açık mimari arabağlantı modelleri üzerinde çalışmak için Robert E. Kahn ile birlikte çalışmaya başladı."
Robert E. Kahn,(https://tr.wikipedia.org/wiki/Bob_Kahn),2,"İnternet iletişim kuralları dizisi#16: Uydu paket ağları (satellite packet networks) ve karasal radyo paket ağları (radio packet networks) üzerine çalışan ve bu iki farklı ağ arasında iletişim kurabilmenin değerinin farkına varmış olan Robert E. Kahn 1972 yılında DARPA Bilgi İşleme Tekik Ofisi [en] 'ne katıldı. 1973 baharında, mevcut ARPANET Ağı Kontrol Programı (NCP) protokolünün geliştiricisi olan Vint Cerf , yeni nesil ARPANET protokolleri tasarımı amacıyla, açık mimari arabağlantı modelleri üzerinde çalışmak için Robert E. Kahn ile birlikte çalışmaya başladı."
İnternet,(https://tr.wikipedia.org/wiki/%C4%B0nternet),2,"DNS#2: İnternet ağını oluşturan her birim sadece kendine ait bir IP adresine sahiptir. | IP adresi#3: İnternet 'e bağlanan her cihaza , İnternet Servis Sağlayıcısı tarafından bir ""public"" IP adresi atanır ve internete bağlı cihazlar birbirleriyle bu ""public"" IP adresleri üzerinden ulaşırlar. | .tf#1: .tf , Fransız Güney ve Antarktika Toprakları 'nın İnternet ülke kodu üst seviye alan adıdır ( ccTLD ). .fr , .pm , .re , .wf ve .yt ile birlikte AFNIC tarafından yönetilmektedir. 23 Ekim 2004'ten önce bu alan adı, Cambridge , Birleşik Krallık merkezli Adamsnames tarafından yönetiliyordu. | .org#1: .org alan adı, İnternet 'te kullanılan bir genel üst seviye alan adıdır (gTLD) ve İngilizce ""organization"" kelimesinin kısaltmasıdır. 1985'te kurulan ilk alan adlarından biridir ve 2003'ten beri Public Interest Registry tarafından işletilmektedir. | .to#1: .to alan adı, Tonga Krallığı 'na ait İnternet ülke kodu üst seviye alan adıdır (ccTLD). | ARPANET#9: Çok sayıda bilgisayar kullanıcısının birbirleriyle haberleşebilmelerini öngören bir bilgisayar ağı hakkındaki ilk düşünceler Ağustos 1962'de Bolt, Beranek ve Newman (BBN)'den J.C.R. Licklider tarafından ""Galaksilerarası Bilgisayar Ağı"" kavramına atfen ortaya atılmıştır. İnternet 'in günümüzde sahip olduğu tüm özellikler bu çalışma sırasında belirlenmiştir. | GoogleCard#5: İnternet Bulut bilişim Bilgisayar yazılımı Bilgisayar donanımı Yapay zekâ Reklam | .net#2: İngilizce ""network"" (ağ) kelimesinden türemiştir ve temelde İnternet hizmet sağlayıcıları ve diğer altyapı şirketleri gibi ağ teknolojileriyle ilgili kurumların kullanması için tasarlanmıştır. | URL#1: URL ( Uniform Resource Locator , Birörnek Kaynak Konumlayıcı , Tekdüzen Kaynak Bulucu ), İnternet 'te bir kaynağa (belge veya resim gibi) rastgelen, standart bir formata uygun bir karakter tertibidir. | Yönlendirici#15: Her ne kadar günlük yaşamda ve bazı işletim sistemlerinde ağ geçidi ve yöneltici aynı anlamda kullanılıyorsa da, ağ geçidi OSI yedi katman modelinin dördüncü ve yukarısındaki katmanlarında uygulama bulur. Ağ geçidi farklı ağ iletişim kuralı ( TCP/IP ve SNA gibi) kullanan iki ağı birbirine bağlamakta kullanılabilir. İnternet üzerinden normal telefon numaralarının aranabildiği VoIP uygulamalarında da telekomunikasyon ağını internete bağlayan ağ geçitleri kullanılmaktadır. | Güvenlik duvarı#2: Birçok farklı filtreleme özelliği ile bilgisayar ve ağın gelen ve giden paketler olmak üzere İnternet trafiğini kontrol altında tutar. IP filtreleme , port filtreleme , Web filtreleme, içerik filtreleme bunlardan birkaçıdır. [kaynak belirtilmeli] | İnternet iletişim kuralları dizisi#2: İnternet protokol takımı ( İngilizce : Internet Protocol Suite [en] ), bilgisayarlar ve ağ cihazları arasında iletişimi sağlamak amacıyla standart olarak kabul edilmiş kurallar dizisidir. | İnternet iletişim kuralları dizisi#11: İnternet iletişim kuralları, internet ve benzeri bilgisayar ağları üzerinde kullanılan iletişim kuralları ve bilgisayar ağ modeli ve kümesidir."
IBM,(https://tr.wikipedia.org/wiki/IBM),2,"İnternet iletişim kuralları dizisi#7: Bu yapılara örnek olarak IBM 'in SNA ve DEC'in DECnet ağları verilebilir. | İnternet iletişim kuralları dizisi#38: SNA [en] , XNS [en] ve DECNET [en] gibi kendilerine özel iletişim protokollerine sahip olmalarına rağmen; IBM , AT&T ve Digital Equipment Corporation gibi başlıca büyük firmalar, ürünlerinde TCP/IP'yi kullanmaya başladılar. 1984'ten sonra IBM'de Barry Appelman'ın grubu TCP/IP'yi geliştirdi. (Appelman sonra tüm kalkınma çabalarının başkanı olmak için AOL'a taşındı.) Bunlar çalışmalarına devam ederek MVS, VM ve OS / 2 dahil olmak üzere çeşitli IBM sistemlerinin, TCP / IP ürünlerinin akışı elde etmek için bir bağ kurdular."
Vint Cerf,(https://tr.wikipedia.org/wiki/Vint_Cerf),2,"Google#243: 7 Şubat 2006 yılında İnternet Protokolü'nün yaratıcısı, Google'ın başkan yardımcısı ve ""Baş İnternet Misyoneri"" olan Vint Cerf , kongre önünde, ""Geniş bant taşıyıcılarının insanların ne gördüklerini ve çevrimiçi olarak ne yapmak istediklerini kontrol etmelerine izin vermenin, İnternet'in başarı sağlaması prensiplerini temelden çökerteceğini"" ifade etmiştir. | İnternet iletişim kuralları dizisi#16: Uydu paket ağları (satellite packet networks) ve karasal radyo paket ağları (radio packet networks) üzerine çalışan ve bu iki farklı ağ arasında iletişim kurabilmenin değerinin farkına varmış olan Robert E. Kahn 1972 yılında DARPA Bilgi İşleme Tekik Ofisi [en] 'ne katıldı. 1973 baharında, mevcut ARPANET Ağı Kontrol Programı (NCP) protokolünün geliştiricisi olan Vint Cerf , yeni nesil ARPANET protokolleri tasarımı amacıyla, açık mimari arabağlantı modelleri üzerinde çalışmak için Robert E. Kahn ile birlikte çalışmaya başladı. | İnternet iletişim kuralları dizisi#26: Vint Cerf 'in Stanford'daki ağ araştırma grubu, 1973'ten 1974'e kadar TCP'in ilk tanımlamalarının yapılması üzerine çalıştı."
University College London,(https://tr.wikipedia.org/wiki/University_College_London),2,"İnternet iletişim kuralları dizisi#28: DARPA , sonrasında TCP'nin, farklı donanımlar üzerinde çalışabilecek sürümlerinin geliştirilmesi amacıyla; BBN [en] , Stanford Üniversitesi ve University College London ile anlaştı. | İnternet iletişim kuralları dizisi#30: 1975 yılında, Stanford Üniversitesi ve University College London tarafından iki ağdan oluşan bir TCP/IP haberleşme testi gerçekleştirilmiştir. 1977 yılının Kasım ayında ise; ABD, Birleşik Krallık ve Norveç'teki birimler arasında üç ağdan oluşan bir TCP/IP haberleşme testi yapılmıştır."
Interop,(https://tr.wikipedia.org/w/index.php?title=Interop&action=edit&redlink=1),2,"İnternet iletişim kuralları dizisi#36: TCP/IP'nin yaygın bir şekilde kullanılması üzerine 1985 yılında düzenlenen ilk Interop [en] konferansı, bilgisayar ağlarında birlikte çalışabilme üzerinde yoğunlaştı. Dan Lynch [en] 1988 yılında, ürünlerinde TCP/IP'yi destekleyen üreticilerle, San Jose (ABD) şehrinde ilk ticari Interop [en] konferansını düzenledi."
Stanford Üniversitesi,(https://tr.wikipedia.org/wiki/Stanford_%C3%9Cniversitesi),2,"İnternet iletişim kuralları dizisi#28: DARPA , sonrasında TCP'nin, farklı donanımlar üzerinde çalışabilecek sürümlerinin geliştirilmesi amacıyla; BBN [en] , Stanford Üniversitesi ve University College London ile anlaştı. | İnternet iletişim kuralları dizisi#30: 1975 yılında, Stanford Üniversitesi ve University College London tarafından iki ağdan oluşan bir TCP/IP haberleşme testi gerçekleştirilmiştir. 1977 yılının Kasım ayında ise; ABD, Birleşik Krallık ve Norveç'teki birimler arasında üç ağdan oluşan bir TCP/IP haberleşme testi yapılmıştır."
