E,U,Frekans,Kaynak_IDler
İngilizce,(https://tr.wikipedia.org/wiki/%C4%B0ngilizce),1,"DNS#1: DNS ( İngilizce : Domain Name System , Türkçe : Alan Adı Sistemi ), internet uzayını bölümlemeye, bölümleri adlandırmaya ve bölümler arası iletişimi organize etmeye yarayan, bilgisayar, servis, internet veya özel bir ağa bağlı herhangi bir kaynak için hiyerarşik dağıtılmış bir adlandırma sistemidir. | .us#5: Birinci seviye içinde sadece Amerika Birleşik Devletleri'nin İngilizce kısaltmasının ilk iki harfi alınmıştır U nited S tates . | .sg#3: Singapur Ağ Bilgi Merkezi ( İngilizce : Singapore Network Information Centre ) (SGNIC) tarafından yönetilir. | Vikipedi#1: Vikipedi ( İngilizce : Wikipedia ), kullanıcıları tarafından ortaklaşa olarak birçok dilde hazırlanan; özgür, bağımsız, ücretsiz, reklamsız ve kâr amacı gütmeyen bir internet ansiklopedisidir . MediaWiki yazılımı kullanılarak hazırlanmaktadır. | .am#5: Ayrıca sonu ""am"" ile biten İngilizce kelimeler için şekilli alan adı oluşturmak için kullanılabilir. | IP adresi#1: IP adresi ( İngilizce : Internet Protocol address ), interneti ya da TCP/IP protokolünü kullanan diğer paket anahtarlamalı ağlara bağlı cihazların, ağ üzerinden birbirleri ile veri alışverişi yapmak için kullandıkları adres. | IP adresi#36: Versiyon ya da sürüm ( İngilizce : version ), kullanılan IP versiyonunu gösterir. | IP adresi#51: Ayrıca IPv4 başlık formatı ( İngilizce : header format ), IPv6 formatına göre daha basit yapıdadır. | IP adresi#56: IPv6'da NAT ’a ( İngilizce : Network Address Translation ) duyulan ihtiyaç azalmıştır. | Dosya aktarım iletişim kuralı#2: Dosya aktarım iletişim kuralı , ( İngilizce : F ile T ransfer P rotocol; FTP ), bir veri yığınının - ASCII , EBCDIC ve binary- bir uç aygıttan diğerine iletimi için kullanılmaktadır. | .ag#6: Ayrıca, -ag ile biten İngilizce kelimeler için diğer etki alanını kesmek için potansiyel bir kullanımı da vardır. | ARPANET#1: ARPANET ( İngilizce : Advanced Research Projects Agency Network 'ün kısaltması), bir bilgisayar ağıdır ve ilk olarak 1968'den itibaren Amerika Birleşik Devletleri Hava Kuvvetleri adına Massachusetts Teknoloji Enstitüsü ve ABD Savunma Bakanlığı liderliğindeki küçük bir araştırmacı grubu tarafından geliştirilmiştir. | .ch#5: Alan adı, Çin 'de ( İngilizce : China ) benzerlik sebebiyle oldukça sık kullanılmaktadır. | Yönlendirici#1: Yönlendirici ( İngilizce : router ), aynı ağ iletişim kurallarını kullanan iki bilgisayar ağı arasında veri çerçevelerinin iletimini sağlayan ağ donanımıdır . | Yönlendirici#7: Yolun seçimi için yöneltici yöneltme iletişim kurallarını ( İngilizce : routing protocol ) kullanarak diğer yönelticilerle bağlantı kurar ve gelen bilgileri yöneltme tablosuna ekler. | Yönlendirici#10: Her ne kadar IP iletişim kuralı günümüzde en çok bilinen yöneltilebilir iletişim kuralıysa da AppleTalk , IPX SNA, XNS ve DECnet gibi başka iletişim kurallarının da yöneltilebilir özelliği olduğunu unutmamak gerekir. Yöneltilebilir iletişim kuralı ( İngilizce : routable protocol ) ve yöneltme iletişim kuralı ( İngilizce : routing protocol ) birbirleriyle karıştırılmaması gereken farklı kavramlardır. | Güvenlik duvarı#1: Güvenlik duvarı veya ateş duvarı , ( İngilizce : Firewall ), güvenlik duvarı yazılımı, bir kural kümesi temelinde ağa gelen giden paket trafiğini kontrol eden donanım tabanlı ağ güvenliği sistemidir. | Güvenlik duvarı#23: Yeni nesil güvenlik duvarları da U.T.M. (Unified Threat Management) (güvenlik duvarı, antivirüs , anti spam , IDS/IPS, VPN , yönlendirici ( İngilizce : router ) gibi özellikleri olan) tümleşik cihazlardır. | .ae#2: BAE'de bulunan Telekomünikasyon ve Dijital Hükûmet Düzenleme Kurumu na ( İngilizce : Telecommunications and Digital Government Regulatory Authority ) bağlı .aeDA tarafından yönetilir. 1 Aralık 1992'de kaydedilmiştir. | IPv4#68: 1993 yılında adres sınıfından bağımsız yönlendirme ( CIDR ) ( İngilizce : Classless Inter-Domain Routing ) tanıtıldı. | IPv4#69: CIDR üst ağ oluşturma ( İngilizce : Supernetting )yı gerçekleştirmek için kullanılır. | IPv4#70: Üst ağ oluşturma yön kümeleme ( İngilizce : Route Aggregation ) ye olanak sağlar. | İnternet iletişim kuralları dizisi#2: İnternet protokol takımı ( İngilizce : Internet Protocol Suite [en] ), bilgisayarlar ve ağ cihazları arasında iletişimi sağlamak amacıyla standart olarak kabul edilmiş kurallar dizisidir. | Genel üst seviye alan adı#1: Genel Üst Seviye Alan Kodları ( İngilizce : generic Top Level Domain), internette kullanılan bir alan adı sınıfıdır. .com , .net , .org , .gov , .info , .aero , .biz , .wiki , .tech , .shop , .art , .москва gibi şekilleri mevcuttur."
internette,(https://tr.wikipedia.org/wiki/%C4%B0nternet),1,"Genel üst seviye alan adı#1: Genel Üst Seviye Alan Kodları ( İngilizce : generic Top Level Domain), internette kullanılan bir alan adı sınıfıdır. .com , .net , .org , .gov , .info , .aero , .biz , .wiki , .tech , .shop , .art , .москва gibi şekilleri mevcuttur."
alan adı,(https://tr.wikipedia.org/wiki/Alan_ad%C4%B1),1,".uk#14: 1990'ların ortalarına gelindiğinde, İnternet'in büyümesi ve özellikle World Wide Web 'in ortaya çıkması, alan adı kaydı taleplerinin yarı zamanlı gönüllülerden oluşan bir grubun yönetemeyeceği seviyelere yükselmesine neden oldu. Demon Internet'ten Oliver Smith, komiteye adlandırma sürecini baştan sona resmîleştiren ve otomatikleştiren bir dizi otomatik araç sağlayarak sorunu çözmeye çalıştı. | .ai#5: .ai alan adı için izin verilen minimum kayıt süresi hem kayıt hem de yenileme için 2 yıldır. | .net#5: .net, Ocak 1985'te oluşturulduğu için RFC 920 'de bahsedilmemesine rağmen başlıca üst seviye alan adlarından biridir (Diğer beşi: .com , .edu , .gov , .mil ve .org ). 2024 itibarıyla yaklaşık 13 milyon alan adı ile .com , .cn ve .de 'den sonra en popüler üst seviye alan adıdır . | .mk#4: Herkes bir .mk alan adı kaydettirebilir. | .dk#3: Kaydedilen her yeni alan adı için akredite edilen bir kayıt kuruluşu aracılığıyla başvurulmalıdır. | Genel üst seviye alan adı#1: Genel Üst Seviye Alan Kodları ( İngilizce : generic Top Level Domain), internette kullanılan bir alan adı sınıfıdır. .com , .net , .org , .gov , .info , .aero , .biz , .wiki , .tech , .shop , .art , .москва gibi şekilleri mevcuttur."
.com,(https://tr.wikipedia.org/wiki/.com),1,"DNS#39: En üste .com , .org , .net , .int , .edu , .info , .biz , .aero , .travel , .jobs , .gov , .mil gibi "" jenerik "" üst düzey alanlarla ( gTLD ) .tr , .us , .de , .uk , .jp , .az gibi ülke alanlarından ( CcTLD ) oluşur. | .us#1: .us , Amerika Birleşik Devletleri için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) Ülkede en çok kullanılan CcTLD .com , .net , .org ikinci düzey alan adlarıdır. | .uk#2: Orijinal gTLD 'lerden ( .com , .net , .org ) ve .us 'ten 7 ay sonra; Temmuz 1985'te kaydedilmiştir. | .uk#3: Nisan 2021'de dünya çapında 10 milyon kayıtla en popüler 5. üst düzey alan adı idi ( .com , .cn , .de ve .net 'ten sonra). | .org#5: Diğer ilk kurulan üst seviye alan adları .com , .us , .edu , .gov , .mil ve .net idi. The MITRE Corporation, Temmuz 1985'te mitre.org ile ilk .org alanını kaydettiren kuruluştu. | .net#3: Ancak bu konudaki kısıtlamalar uygulanmamış ve bu alan adı .com gibi genel amaçlı faaliyet göstermeye başlamıştır. | .net#5: .net, Ocak 1985'te oluşturulduğu için RFC 920 'de bahsedilmemesine rağmen başlıca üst seviye alan adlarından biridir (Diğer beşi: .com , .edu , .gov , .mil ve .org ). 2024 itibarıyla yaklaşık 13 milyon alan adı ile .com , .cn ve .de 'den sonra en popüler üst seviye alan adıdır . | .se#10: Doğrudan .se altında kayıt yaptıramayan birçok kişi bunun yerine .com veya .nu altında kayıt yaptı. | Genel üst seviye alan adı#1: Genel Üst Seviye Alan Kodları ( İngilizce : generic Top Level Domain), internette kullanılan bir alan adı sınıfıdır. .com , .net , .org , .gov , .info , .aero , .biz , .wiki , .tech , .shop , .art , .москва gibi şekilleri mevcuttur."
.net,(https://tr.wikipedia.org/wiki/.net),1,"DNS#39: En üste .com , .org , .net , .int , .edu , .info , .biz , .aero , .travel , .jobs , .gov , .mil gibi "" jenerik "" üst düzey alanlarla ( gTLD ) .tr , .us , .de , .uk , .jp , .az gibi ülke alanlarından ( CcTLD ) oluşur. | .us#1: .us , Amerika Birleşik Devletleri için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) Ülkede en çok kullanılan CcTLD .com , .net , .org ikinci düzey alan adlarıdır. | .uk#2: Orijinal gTLD 'lerden ( .com , .net , .org ) ve .us 'ten 7 ay sonra; Temmuz 1985'te kaydedilmiştir. | .uk#3: Nisan 2021'de dünya çapında 10 milyon kayıtla en popüler 5. üst düzey alan adı idi ( .com , .cn , .de ve .net 'ten sonra). | .org#5: Diğer ilk kurulan üst seviye alan adları .com , .us , .edu , .gov , .mil ve .net idi. The MITRE Corporation, Temmuz 1985'te mitre.org ile ilk .org alanını kaydettiren kuruluştu. | .com#3: Ancak .com, .org ve .net arasındaki ayrım, kayıt kısıtlamasının kaldırılmasıyla birlikte ortadan kalkmıştır. | .com#6: .com alan adı, Alan Adı sistemi 1985 yılının Ocak ayında uygulamaya geçtiğinde .edu , .gov , .mil , .net , .org ve arpa alanlarıyla birlikte ilk üst seviye alan adlarından ( TLD ) biriyken daha sonraki süreçte en büyük üst seviye alan adı haline gelmiştir. | Genel üst seviye alan adı#1: Genel Üst Seviye Alan Kodları ( İngilizce : generic Top Level Domain), internette kullanılan bir alan adı sınıfıdır. .com , .net , .org , .gov , .info , .aero , .biz , .wiki , .tech , .shop , .art , .москва gibi şekilleri mevcuttur."
.org,(https://tr.wikipedia.org/wiki/.org),1,"DNS#39: En üste .com , .org , .net , .int , .edu , .info , .biz , .aero , .travel , .jobs , .gov , .mil gibi "" jenerik "" üst düzey alanlarla ( gTLD ) .tr , .us , .de , .uk , .jp , .az gibi ülke alanlarından ( CcTLD ) oluşur. | .us#1: .us , Amerika Birleşik Devletleri için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) Ülkede en çok kullanılan CcTLD .com , .net , .org ikinci düzey alan adlarıdır. | .uk#2: Orijinal gTLD 'lerden ( .com , .net , .org ) ve .us 'ten 7 ay sonra; Temmuz 1985'te kaydedilmiştir. | .com#3: Ancak .com, .org ve .net arasındaki ayrım, kayıt kısıtlamasının kaldırılmasıyla birlikte ortadan kalkmıştır. | .com#6: .com alan adı, Alan Adı sistemi 1985 yılının Ocak ayında uygulamaya geçtiğinde .edu , .gov , .mil , .net , .org ve arpa alanlarıyla birlikte ilk üst seviye alan adlarından ( TLD ) biriyken daha sonraki süreçte en büyük üst seviye alan adı haline gelmiştir. | .net#5: .net, Ocak 1985'te oluşturulduğu için RFC 920 'de bahsedilmemesine rağmen başlıca üst seviye alan adlarından biridir (Diğer beşi: .com , .edu , .gov , .mil ve .org ). 2024 itibarıyla yaklaşık 13 milyon alan adı ile .com , .cn ve .de 'den sonra en popüler üst seviye alan adıdır . | Genel üst seviye alan adı#1: Genel Üst Seviye Alan Kodları ( İngilizce : generic Top Level Domain), internette kullanılan bir alan adı sınıfıdır. .com , .net , .org , .gov , .info , .aero , .biz , .wiki , .tech , .shop , .art , .москва gibi şekilleri mevcuttur."
.gov,(https://tr.wikipedia.org/wiki/.gov),1,"DNS#39: En üste .com , .org , .net , .int , .edu , .info , .biz , .aero , .travel , .jobs , .gov , .mil gibi "" jenerik "" üst düzey alanlarla ( gTLD ) .tr , .us , .de , .uk , .jp , .az gibi ülke alanlarından ( CcTLD ) oluşur. | .org#5: Diğer ilk kurulan üst seviye alan adları .com , .us , .edu , .gov , .mil ve .net idi. The MITRE Corporation, Temmuz 1985'te mitre.org ile ilk .org alanını kaydettiren kuruluştu. | .com#6: .com alan adı, Alan Adı sistemi 1985 yılının Ocak ayında uygulamaya geçtiğinde .edu , .gov , .mil , .net , .org ve arpa alanlarıyla birlikte ilk üst seviye alan adlarından ( TLD ) biriyken daha sonraki süreçte en büyük üst seviye alan adı haline gelmiştir. | .net#5: .net, Ocak 1985'te oluşturulduğu için RFC 920 'de bahsedilmemesine rağmen başlıca üst seviye alan adlarından biridir (Diğer beşi: .com , .edu , .gov , .mil ve .org ). 2024 itibarıyla yaklaşık 13 milyon alan adı ile .com , .cn ve .de 'den sonra en popüler üst seviye alan adıdır . | Genel üst seviye alan adı#1: Genel Üst Seviye Alan Kodları ( İngilizce : generic Top Level Domain), internette kullanılan bir alan adı sınıfıdır. .com , .net , .org , .gov , .info , .aero , .biz , .wiki , .tech , .shop , .art , .москва gibi şekilleri mevcuttur."
.info,(https://tr.wikipedia.org/wiki/.info),1,"DNS#39: En üste .com , .org , .net , .int , .edu , .info , .biz , .aero , .travel , .jobs , .gov , .mil gibi "" jenerik "" üst düzey alanlarla ( gTLD ) .tr , .us , .de , .uk , .jp , .az gibi ülke alanlarından ( CcTLD ) oluşur. | Genel üst seviye alan adı#1: Genel Üst Seviye Alan Kodları ( İngilizce : generic Top Level Domain), internette kullanılan bir alan adı sınıfıdır. .com , .net , .org , .gov , .info , .aero , .biz , .wiki , .tech , .shop , .art , .москва gibi şekilleri mevcuttur."
.aero,(https://tr.wikipedia.org/wiki/.aero),1,"DNS#39: En üste .com , .org , .net , .int , .edu , .info , .biz , .aero , .travel , .jobs , .gov , .mil gibi "" jenerik "" üst düzey alanlarla ( gTLD ) .tr , .us , .de , .uk , .jp , .az gibi ülke alanlarından ( CcTLD ) oluşur. | Genel üst seviye alan adı#1: Genel Üst Seviye Alan Kodları ( İngilizce : generic Top Level Domain), internette kullanılan bir alan adı sınıfıdır. .com , .net , .org , .gov , .info , .aero , .biz , .wiki , .tech , .shop , .art , .москва gibi şekilleri mevcuttur."
.biz,(https://tr.wikipedia.org/wiki/.biz),1,"DNS#39: En üste .com , .org , .net , .int , .edu , .info , .biz , .aero , .travel , .jobs , .gov , .mil gibi "" jenerik "" üst düzey alanlarla ( gTLD ) .tr , .us , .de , .uk , .jp , .az gibi ülke alanlarından ( CcTLD ) oluşur. | .com#18: İnternet'in ticarileşmesi ve popülerleşmesi ile birlikte com alan adı kamuya açılmış ve websiteleri, e-postalar ve ağ konularında hızla en yaygın üst seviye alan adı haline gelmiştir. 1997 ile 2001 arasında (“nokta com balonu” olarak bilinen dönem) çıkan çoğu şirket, şirket adlarına com uzantısını dahil etmiş ve bu şirketler nokta com'lar ya da nokta com şirketleri olarak anılmaya başlamıştır. 2001 yılında sadece iş dünyasında kullanılmak üzere sunulan .biz , com'un popülerliğini hiç etkilemedi. | Genel üst seviye alan adı#1: Genel Üst Seviye Alan Kodları ( İngilizce : generic Top Level Domain), internette kullanılan bir alan adı sınıfıdır. .com , .net , .org , .gov , .info , .aero , .biz , .wiki , .tech , .shop , .art , .москва gibi şekilleri mevcuttur."
.wiki,(https://tr.wikipedia.org/wiki/.wiki),1,"Genel üst seviye alan adı#1: Genel Üst Seviye Alan Kodları ( İngilizce : generic Top Level Domain), internette kullanılan bir alan adı sınıfıdır. .com , .net , .org , .gov , .info , .aero , .biz , .wiki , .tech , .shop , .art , .москва gibi şekilleri mevcuttur."
.tech,(https://tr.wikipedia.org/wiki/.tech),1,"Genel üst seviye alan adı#1: Genel Üst Seviye Alan Kodları ( İngilizce : generic Top Level Domain), internette kullanılan bir alan adı sınıfıdır. .com , .net , .org , .gov , .info , .aero , .biz , .wiki , .tech , .shop , .art , .москва gibi şekilleri mevcuttur."
.shop,(https://tr.wikipedia.org/wiki/.shop),1,"Genel üst seviye alan adı#1: Genel Üst Seviye Alan Kodları ( İngilizce : generic Top Level Domain), internette kullanılan bir alan adı sınıfıdır. .com , .net , .org , .gov , .info , .aero , .biz , .wiki , .tech , .shop , .art , .москва gibi şekilleri mevcuttur."
.art,(https://tr.wikipedia.org/wiki/.art),1,"Genel üst seviye alan adı#1: Genel Üst Seviye Alan Kodları ( İngilizce : generic Top Level Domain), internette kullanılan bir alan adı sınıfıdır. .com , .net , .org , .gov , .info , .aero , .biz , .wiki , .tech , .shop , .art , .москва gibi şekilleri mevcuttur."
.москва,(https://tr.wikipedia.org/w/index.php?title=.%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&action=edit&redlink=1),1,"Genel üst seviye alan adı#1: Genel Üst Seviye Alan Kodları ( İngilizce : generic Top Level Domain), internette kullanılan bir alan adı sınıfıdır. .com , .net , .org , .gov , .info , .aero , .biz , .wiki , .tech , .shop , .art , .москва gibi şekilleri mevcuttur."
