E,U,Frekans,Kaynak_IDler
İnternet,(https://tr.wikipedia.org/wiki/%C4%B0nternet),1,"DNS#2: İnternet ağını oluşturan her birim sadece kendine ait bir IP adresine sahiptir. | IP adresi#3: İnternet 'e bağlanan her cihaza , İnternet Servis Sağlayıcısı tarafından bir ""public"" IP adresi atanır ve internete bağlı cihazlar birbirleriyle bu ""public"" IP adresleri üzerinden ulaşırlar. | .tf#1: .tf , Fransız Güney ve Antarktika Toprakları 'nın İnternet ülke kodu üst seviye alan adıdır ( ccTLD ). .fr , .pm , .re , .wf ve .yt ile birlikte AFNIC tarafından yönetilmektedir. 23 Ekim 2004'ten önce bu alan adı, Cambridge , Birleşik Krallık merkezli Adamsnames tarafından yönetiliyordu. | .org#1: .org alan adı, İnternet 'te kullanılan bir genel üst seviye alan adıdır (gTLD) ve İngilizce ""organization"" kelimesinin kısaltmasıdır. 1985'te kurulan ilk alan adlarından biridir ve 2003'ten beri Public Interest Registry tarafından işletilmektedir. | .to#1: .to alan adı, Tonga Krallığı 'na ait İnternet ülke kodu üst seviye alan adıdır (ccTLD). | ARPANET#9: Çok sayıda bilgisayar kullanıcısının birbirleriyle haberleşebilmelerini öngören bir bilgisayar ağı hakkındaki ilk düşünceler Ağustos 1962'de Bolt, Beranek ve Newman (BBN)'den J.C.R. Licklider tarafından ""Galaksilerarası Bilgisayar Ağı"" kavramına atfen ortaya atılmıştır. İnternet 'in günümüzde sahip olduğu tüm özellikler bu çalışma sırasında belirlenmiştir. | GoogleCard#5: İnternet Bulut bilişim Bilgisayar yazılımı Bilgisayar donanımı Yapay zekâ Reklam | .net#2: İngilizce ""network"" (ağ) kelimesinden türemiştir ve temelde İnternet hizmet sağlayıcıları ve diğer altyapı şirketleri gibi ağ teknolojileriyle ilgili kurumların kullanması için tasarlanmıştır. | URL#1: URL ( Uniform Resource Locator , Birörnek Kaynak Konumlayıcı , Tekdüzen Kaynak Bulucu ), İnternet 'te bir kaynağa (belge veya resim gibi) rastgelen, standart bir formata uygun bir karakter tertibidir."
bilgisayar ağı,(https://tr.wikipedia.org/wiki/Bilgisayar_a%C4%9F%C4%B1),1,URL#4: Her URL web kaynağına bilgisayar ağı üzerinde konumu belirleyen referanstır ve kurtarması için mekanizmadır.
URI,(https://tr.wikipedia.org/wiki/URI),1,"URL#5: URL, tekdüzen kaynak tanımlayıcı ( URI )'den spesifik tiptir, Bazı insanlar bu iki terim karıştırır."
HTTP,(https://tr.wikipedia.org/wiki/HTTP),1,"Türkçe Vikipedi#9: Bu engelleme URL tabanlı olup sadece HTTP bağlantılar üzerinde etkili olmuştur. | URL#6: URL'ler yaygın olarak web sayfalarına ( HTTP ) işaret edilmek için oluyor fakat URL'ler dosya aktarım ( FTP ), E-mail (mailto), veritabanı erişimleri (JDBC), gibi ve başka çok sayıda uygulamalar için kullanılır."
FTP,(https://tr.wikipedia.org/wiki/Dosya_aktar%C4%B1m_ileti%C5%9Fim_kural%C4%B1),1,"URL#6: URL'ler yaygın olarak web sayfalarına ( HTTP ) işaret edilmek için oluyor fakat URL'ler dosya aktarım ( FTP ), E-mail (mailto), veritabanı erişimleri (JDBC), gibi ve başka çok sayıda uygulamalar için kullanılır."
İnternet tarayıcılarının,(https://tr.wikipedia.org/wiki/Web_taray%C4%B1c%C4%B1s%C4%B1),1,"URL#7: HTTP URL'leri, daha yaygın tabirle Web adresleri , genellikle İnternet tarayıcılarının adres kutusunda gösterilir."
adres kutusunda,(https://tr.wikipedia.org/w/index.php?title=Adres_kutusu&action=edit&redlink=1),1,"URL#7: HTTP URL'leri, daha yaygın tabirle Web adresleri , genellikle İnternet tarayıcılarının adres kutusunda gösterilir."
Uniform Resource Identifier § Syntax,(https://tr.wikipedia.org/w/index.php?title=Uniform_Resource_Identifier_%C2%A7_Syntax&action=edit&redlink=1),1,URL#8: makale: Uniform Resource Identifier § Syntax [en]
URl,(https://tr.wikipedia.org/wiki/URI),1,URL#13: URl içerir:
Tim Berners-Lee,(https://tr.wikipedia.org/wiki/Tim_Berners-Lee),1,URL#14: URL 1994 yılında Tim Berners-Lee tarafından oluşturulmuştur.
UNIX,(https://tr.wikipedia.org/wiki/Unix),1,"URL#15: URL formatı, UNIX dosya yol referansları esasına dayanır."
PHP,(https://tr.wikipedia.org/wiki/PHP),1,"URL#17: Dosya formatları nokta son ekleri kullanılarak sınıflandırılabilirler. file.html veya file.txt istekleri doğrudan yerine getirilirken, file.php , işlenen sonuç son kullanıcıya servis edilmeden önce bir PHP ön işlemcisine yollanmasına ihtiyaç duyar."
ön işlemcisine,(https://tr.wikipedia.org/w/index.php?title=%C3%96n_i%C5%9Flemci&action=edit&redlink=1),1,"URL#17: Dosya formatları nokta son ekleri kullanılarak sınıflandırılabilirler. file.html veya file.txt istekleri doğrudan yerine getirilirken, file.php , işlenen sonuç son kullanıcıya servis edilmeden önce bir PHP ön işlemcisine yollanmasına ihtiyaç duyar."
