E,U,Frekans,Kaynak_IDler
tasarımın,(https://tr.wikipedia.org/wiki/Tasar%C4%B1m),1,Kurumsal kimlik#4: Kurumu anımsatacak bir tasarımın ne ölçülerde ve nasıl kullanılması gerektiğini belirten kurumsal kimlik kitabı bu sistemin vazgeçilmez öğesidir.
amblem,(https://tr.wikipedia.org/wiki/Amblem),1,"Kurumsal kimlik#5: Öyle ki bir kurumsal kimlik tasarımı içinde amblem ( logo ) den ofis dizaynına, çalışanların giyim kuşamından araç üstü giydirmeye, antetli kâğıttan, tabelaya , web sitesinden vefat ilanlarına, ambalaj dizaynından faaliyet raporuna kadar her şeyin ne ölçülerde ve nasıl kullanılacağı belirtilmiştir."
logo,(https://tr.wikipedia.org/wiki/Logo),1,"Kurumsal kimlik#5: Öyle ki bir kurumsal kimlik tasarımı içinde amblem ( logo ) den ofis dizaynına, çalışanların giyim kuşamından araç üstü giydirmeye, antetli kâğıttan, tabelaya , web sitesinden vefat ilanlarına, ambalaj dizaynından faaliyet raporuna kadar her şeyin ne ölçülerde ve nasıl kullanılacağı belirtilmiştir."
ofis,(https://tr.wikipedia.org/wiki/Ofis),1,"Kurumsal kimlik#5: Öyle ki bir kurumsal kimlik tasarımı içinde amblem ( logo ) den ofis dizaynına, çalışanların giyim kuşamından araç üstü giydirmeye, antetli kâğıttan, tabelaya , web sitesinden vefat ilanlarına, ambalaj dizaynından faaliyet raporuna kadar her şeyin ne ölçülerde ve nasıl kullanılacağı belirtilmiştir."
tabelaya,(https://tr.wikipedia.org/wiki/Tabela),1,"Kurumsal kimlik#5: Öyle ki bir kurumsal kimlik tasarımı içinde amblem ( logo ) den ofis dizaynına, çalışanların giyim kuşamından araç üstü giydirmeye, antetli kâğıttan, tabelaya , web sitesinden vefat ilanlarına, ambalaj dizaynından faaliyet raporuna kadar her şeyin ne ölçülerde ve nasıl kullanılacağı belirtilmiştir."
web sitesinden,(https://tr.wikipedia.org/wiki/Web_sitesi),1,"Kurumsal kimlik#5: Öyle ki bir kurumsal kimlik tasarımı içinde amblem ( logo ) den ofis dizaynına, çalışanların giyim kuşamından araç üstü giydirmeye, antetli kâğıttan, tabelaya , web sitesinden vefat ilanlarına, ambalaj dizaynından faaliyet raporuna kadar her şeyin ne ölçülerde ve nasıl kullanılacağı belirtilmiştir."
ambalaj,(https://tr.wikipedia.org/wiki/Ambalaj),1,"Kurumsal kimlik#5: Öyle ki bir kurumsal kimlik tasarımı içinde amblem ( logo ) den ofis dizaynına, çalışanların giyim kuşamından araç üstü giydirmeye, antetli kâğıttan, tabelaya , web sitesinden vefat ilanlarına, ambalaj dizaynından faaliyet raporuna kadar her şeyin ne ölçülerde ve nasıl kullanılacağı belirtilmiştir."
amblemi,(https://tr.wikipedia.org/w/index.php?title=Amblemi&action=edit&redlink=1),1,"Kurumsal kimlik#8: Kurumsal kimlik çalışmalarında hiç şüphesiz çalışmanın temeli firma amblemi üzerine kurulmuştur. Amblem renklerinin her durumda aynı değerde basılması, yazı tiplerinin hiçbir zaman değişmemesi bu çalışmanın temelini oluşturur."
Amblem,(https://tr.wikipedia.org/wiki/Amblem),1,"Kurumsal kimlik#8: Kurumsal kimlik çalışmalarında hiç şüphesiz çalışmanın temeli firma amblemi üzerine kurulmuştur. Amblem renklerinin her durumda aynı değerde basılması, yazı tiplerinin hiçbir zaman değişmemesi bu çalışmanın temelini oluşturur."
yazı tiplerinin,(https://tr.wikipedia.org/wiki/Yaz%C4%B1_tipleri),1,"Kurumsal kimlik#8: Kurumsal kimlik çalışmalarında hiç şüphesiz çalışmanın temeli firma amblemi üzerine kurulmuştur. Amblem renklerinin her durumda aynı değerde basılması, yazı tiplerinin hiçbir zaman değişmemesi bu çalışmanın temelini oluşturur."
renk,(https://tr.wikipedia.org/wiki/Renk),1,"Kurumsal kimlik#9: Özellikle renk bilgisinin taşınması, değişmemesi için renklerin pantone numaraları belirtilir."
pantone,(https://tr.wikipedia.org/wiki/Pantone),1,"Kurumsal kimlik#9: Özellikle renk bilgisinin taşınması, değişmemesi için renklerin pantone numaraları belirtilir."
firma,(https://tr.wikipedia.org/wiki/Firma),1,"Kurumsal kimlik#10: Kurumsal kimlik firma için oluşturduğu imajla, tüketicinin aklına kazınır."
tüketicinin,(https://tr.wikipedia.org/wiki/T%C3%BCketici),1,"Kurumsal kimlik#10: Kurumsal kimlik firma için oluşturduğu imajla, tüketicinin aklına kazınır."
reklam,(https://tr.wikipedia.org/wiki/Reklam),1,Kurumsal kimlik#11: Bu yönüyle firmanın reklam yatırımlarının başarılı olmasının sağlayan çalışmalardan biridir.
