E,U,Frekans,Kaynak_IDler
Programlama,(https://tr.wikipedia.org/wiki/Programlama_dilleri_listesi),1,"Bit (bilişim)#1: Programlama ve haberleşmede, bir bit bilgi depolama ve haberleşme veya bağlantının en küçük ve temel ünitesidir."
depolama,(https://tr.wikipedia.org/wiki/Depolama),1,"Bit (bilişim)#1: Programlama ve haberleşmede, bir bit bilgi depolama ve haberleşme veya bağlantının en küçük ve temel ünitesidir."
flag,(https://tr.wikipedia.org/wiki/Flag),1,"Bit (bilişim)#4: Ayrıca mantıksal değerler logical values , doğru ya da yanlış, flag ya da switch , on ya da off olarak yorumlanabilir."
switch,(https://tr.wikipedia.org/wiki/Switch),1,"Bit (bilişim)#4: Ayrıca mantıksal değerler logical values , doğru ya da yanlış, flag ya da switch , on ya da off olarak yorumlanabilir."
bayt,(https://tr.wikipedia.org/wiki/Bayt),1,"Bit (bilişim)#8: Çoğu platformda 1 bayt , 8 bit bulundurur."
Bilgisayarda,(https://tr.wikipedia.org/wiki/Bilgisayar),1,Bit (bilişim)#9: Bilgisayarda veri depolama ve transferlerinde ise bit en küçük dosya birimidir.
Veri,(https://tr.wikipedia.org/wiki/Data),1,Bit (bilişim)#10: Veri (data) boyutları byte cinsinden hesaplanmaktadır.
byte,(https://tr.wikipedia.org/wiki/Bayt),1,Bit (bilişim)#10: Veri (data) boyutları byte cinsinden hesaplanmaktadır.
kilobyte,(https://tr.wikipedia.org/wiki/Kilobayt),1,"Bit (bilişim)#12: Bu birimden sonra küçükten büyüğe doğru sırasıyla kilobyte , megabyte , gigabyte , terabyte , petabyte , eksabyte zettabyte ve yottabyte şeklinde üst katları vardır."
megabyte,(https://tr.wikipedia.org/wiki/Megabayt),1,"Bit (bilişim)#12: Bu birimden sonra küçükten büyüğe doğru sırasıyla kilobyte , megabyte , gigabyte , terabyte , petabyte , eksabyte zettabyte ve yottabyte şeklinde üst katları vardır."
gigabyte,(https://tr.wikipedia.org/wiki/Gigabayt),1,"Bit (bilişim)#12: Bu birimden sonra küçükten büyüğe doğru sırasıyla kilobyte , megabyte , gigabyte , terabyte , petabyte , eksabyte zettabyte ve yottabyte şeklinde üst katları vardır."
terabyte,(https://tr.wikipedia.org/wiki/Terabayt),1,"Bit (bilişim)#12: Bu birimden sonra küçükten büyüğe doğru sırasıyla kilobyte , megabyte , gigabyte , terabyte , petabyte , eksabyte zettabyte ve yottabyte şeklinde üst katları vardır."
petabyte,(https://tr.wikipedia.org/wiki/Petabayt),1,"Bit (bilişim)#12: Bu birimden sonra küçükten büyüğe doğru sırasıyla kilobyte , megabyte , gigabyte , terabyte , petabyte , eksabyte zettabyte ve yottabyte şeklinde üst katları vardır."
eksabyte,(https://tr.wikipedia.org/wiki/Eksabayt),1,"Bit (bilişim)#12: Bu birimden sonra küçükten büyüğe doğru sırasıyla kilobyte , megabyte , gigabyte , terabyte , petabyte , eksabyte zettabyte ve yottabyte şeklinde üst katları vardır."
zettabyte,(https://tr.wikipedia.org/wiki/Zettabayt),1,"Bit (bilişim)#12: Bu birimden sonra küçükten büyüğe doğru sırasıyla kilobyte , megabyte , gigabyte , terabyte , petabyte , eksabyte zettabyte ve yottabyte şeklinde üst katları vardır."
yottabyte,(https://tr.wikipedia.org/wiki/Yottabayt),1,"Bit (bilişim)#12: Bu birimden sonra küçükten büyüğe doğru sırasıyla kilobyte , megabyte , gigabyte , terabyte , petabyte , eksabyte zettabyte ve yottabyte şeklinde üst katları vardır."
kibibyte,(https://tr.wikipedia.org/wiki/Kibibayt),1,"Bit (bilişim)#14: Bu birimler bir bayt'ın 1024 katı şeklinde artar şekilde bilinir ancak bu yanlıştır. 1024 kat halinde artan birimler küçükten büyüğe doğru sırasıyla; kibibyte , mebibyte , gibibyte , tebibyte , pedibyte , eksibyte , zebibyte ve yobibyte şeklindedir."
mebibyte,(https://tr.wikipedia.org/wiki/Mebibayt),1,"Bit (bilişim)#14: Bu birimler bir bayt'ın 1024 katı şeklinde artar şekilde bilinir ancak bu yanlıştır. 1024 kat halinde artan birimler küçükten büyüğe doğru sırasıyla; kibibyte , mebibyte , gibibyte , tebibyte , pedibyte , eksibyte , zebibyte ve yobibyte şeklindedir."
gibibyte,(https://tr.wikipedia.org/wiki/Gibibayt),1,"Bit (bilişim)#14: Bu birimler bir bayt'ın 1024 katı şeklinde artar şekilde bilinir ancak bu yanlıştır. 1024 kat halinde artan birimler küçükten büyüğe doğru sırasıyla; kibibyte , mebibyte , gibibyte , tebibyte , pedibyte , eksibyte , zebibyte ve yobibyte şeklindedir."
tebibyte,(https://tr.wikipedia.org/w/index.php?title=Tebibayt&action=edit&redlink=1),1,"Bit (bilişim)#14: Bu birimler bir bayt'ın 1024 katı şeklinde artar şekilde bilinir ancak bu yanlıştır. 1024 kat halinde artan birimler küçükten büyüğe doğru sırasıyla; kibibyte , mebibyte , gibibyte , tebibyte , pedibyte , eksibyte , zebibyte ve yobibyte şeklindedir."
pedibyte,(https://tr.wikipedia.org/w/index.php?title=Pebibayt&action=edit&redlink=1),1,"Bit (bilişim)#14: Bu birimler bir bayt'ın 1024 katı şeklinde artar şekilde bilinir ancak bu yanlıştır. 1024 kat halinde artan birimler küçükten büyüğe doğru sırasıyla; kibibyte , mebibyte , gibibyte , tebibyte , pedibyte , eksibyte , zebibyte ve yobibyte şeklindedir."
eksibyte,(https://tr.wikipedia.org/w/index.php?title=Eksibayt&action=edit&redlink=1),1,"Bit (bilişim)#14: Bu birimler bir bayt'ın 1024 katı şeklinde artar şekilde bilinir ancak bu yanlıştır. 1024 kat halinde artan birimler küçükten büyüğe doğru sırasıyla; kibibyte , mebibyte , gibibyte , tebibyte , pedibyte , eksibyte , zebibyte ve yobibyte şeklindedir."
zebibyte,(https://tr.wikipedia.org/w/index.php?title=Zebibayt&action=edit&redlink=1),1,"Bit (bilişim)#14: Bu birimler bir bayt'ın 1024 katı şeklinde artar şekilde bilinir ancak bu yanlıştır. 1024 kat halinde artan birimler küçükten büyüğe doğru sırasıyla; kibibyte , mebibyte , gibibyte , tebibyte , pedibyte , eksibyte , zebibyte ve yobibyte şeklindedir."
yobibyte,(https://tr.wikipedia.org/w/index.php?title=Yobibayt&action=edit&redlink=1),1,"Bit (bilişim)#14: Bu birimler bir bayt'ın 1024 katı şeklinde artar şekilde bilinir ancak bu yanlıştır. 1024 kat halinde artan birimler küçükten büyüğe doğru sırasıyla; kibibyte , mebibyte , gibibyte , tebibyte , pedibyte , eksibyte , zebibyte ve yobibyte şeklindedir."
