E,U,Frekans,Kaynak_IDler
güç antrenmanı,https://tr.wikipedia.org/w/index.php?title=G%C3%BC%C3%A7_antrenman%C4%B1&action=edit&redlink=1,1,Jimnastik#2
"halka U:(https://tr.wikipedia.org/wiki/Halka_(jimnastik))___ , ___E:halat tırmanma",https://tr.wikipedia.org/w/index.php?title=Halat_t%C4%B1rmanma&action=edit&redlink=1,1,Jimnastik#4
kulplu beygir,https://tr.wikipedia.org/wiki/Kulplu_beygir,1,Jimnastik#4
paralel bar,https://tr.wikipedia.org/wiki/Paralel_bar,1,Jimnastik#4
barfiks U:(https://tr.wikipedia.org/wiki/Barfiks_(jimnastik))___ ; kadınlarda ___E:yer hareketleri,https://tr.wikipedia.org/wiki/Yer_hareketleri,1,Jimnastik#4
atlama masası,https://tr.wikipedia.org/wiki/Atlama_masas%C4%B1,1,Jimnastik#4
asimetrik bar,https://tr.wikipedia.org/wiki/Asimetrik_bar,1,Jimnastik#4
denge aleti,https://tr.wikipedia.org/wiki/Denge_aleti,1,Jimnastik#4
fiziksel eğitim,https://tr.wikipedia.org/w/index.php?title=Fiziksel_e%C4%9Fitim&action=edit&redlink=1,1,Jimnastik#6
Uluslararası Jimnastik Federasyonu,https://tr.wikipedia.org/wiki/Uluslararas%C4%B1_Jimnastik_Federasyonu,1,Jimnastik#10
artistik jimnastik,https://tr.wikipedia.org/wiki/Artistik_jimnastik,1,Jimnastik#11
ritmik jimnastik,https://tr.wikipedia.org/wiki/Ritmik_jimnastik,1,Jimnastik#11
trambolin jimnastik,https://tr.wikipedia.org/w/index.php?title=Trambolin_jimnastik&action=edit&redlink=1,1,Jimnastik#11
yuvarlanma,https://tr.wikipedia.org/w/index.php?title=Yuvarlanma&action=edit&redlink=1,1,Jimnastik#11
akrobatik jimnastik,https://tr.wikipedia.org/wiki/Akrobatik_jimnastik,1,Jimnastik#11
aerobik jimnastik,https://tr.wikipedia.org/wiki/Aerobik_jimnastik,1,Jimnastik#11
parkour,https://tr.wikipedia.org/wiki/Parkour,1,Jimnastik#11
tekerlek jimnastiği,https://tr.wikipedia.org/w/index.php?title=Tekerlek_jimnasti%C4%9Fi&action=edit&redlink=1,1,Jimnastik#12
estetik grup jimnastiği,https://tr.wikipedia.org/w/index.php?title=Estetik_grup_jimnasti%C4%9Fi&action=edit&redlink=1,1,Jimnastik#12
TeamGym,https://tr.wikipedia.org/w/index.php?title=TeamGym&action=edit&redlink=1,1,Jimnastik#12
Mallakhamba,https://tr.wikipedia.org/w/index.php?title=Mallakhamba&action=edit&redlink=1,1,Jimnastik#12
Friedrich Ludwig Jahn,https://tr.wikipedia.org/wiki/Friedrich_Ludwig_Jahn,1,Jimnastik#13
