E,U,Frekans,Kaynak_IDler
,http://www.ahikirsehir.com/kirsehir-tarihi.html,1,Şereflikoçhisar#6
,"https://nigde.tarimorman.gov.tr/Menu/10/Nigdeyi-Taniyalim#:~:text=Halkın%20esas%20geçim%20kaynağı%20tarım,sıralamasında%20ilk%20sırada%20yer%20alır.",1,Niğde#37
,https://nigdevakfi.org/sayfalar.php?id=53,1,Niğde#7
,https://rmk-museum.org.tr/ankara/hakkimizda/binalarimizin-tarihcesi,1,Çengelhan Rahmi M. Koç Müzesi#14
,https://web.archive.org/web/20111022010100/http://www.galatlar.info/page_1221817894171.html,1,Şereflikoçhisar#9
,https://web.archive.org/web/20111022174508/http://www.galatlar.info/page_1223376261265.html,1,Şereflikoçhisar#9
,https://www.kulturportali.gov.tr/turkiye/ankara/gezilecekyer/cengel-han-rahm-m-koc-muzes,1,Çengelhan Rahmi M. Koç Müzesi#10
"'Ayıcı' Mehmet Arif Bey U:(https://tr.wikipedia.org/wiki/Mehmet_Arif_Bey_(1883_do%C4%9Fumlu_siyaset%C3%A7i))___ , Dr. Albay ___E:İbrahim (Talî Öngören) Bey",https://tr.wikipedia.org/wiki/%C4%B0brahim_Tal%C3%AE_%C3%96ng%C3%B6ren,1,Mustafa Kemal Atatürk#322
(3.),https://www.statista.com/statistics/1384725/turkey-gdp-per-capita-by-province/,1,AnkaraCard#17
(Din),https://tr.wikipedia.org/w/index.php?title=Nusayriler&stable=0&redirect=no#.C4.B0badet,1,Ahilik#3
(Dîn),https://tr.wikipedia.org/wiki/Hurufilik#Hurufi_inan.C3.A7lar.C4.B1,1,Ahilik#2
(Dîn),https://tr.wikipedia.org/wiki/Yezidilik#Yezidilikte_.C4.B0nan.C4.B1.C5.9Flar,1,Ahilik#4
(Kızıl-Giyinenler) U:(https://tr.wikipedia.org/wiki/Mutas%C4%B1m_(Abbasi)#Babek_Ayaklanmas.C4.B1)___ • 1) ___E:Celâlîyye,https://tr.wikipedia.org/wiki/Cel%C3%A2l%C3%AE_isyanlar%C4%B1,1,Ahilik#2
(Proto)-Hint-Avrupa=Proto-Hint-Avrupa,https://tr.wikipedia.org/wiki/Proto_Hint-Avrupa_dili,2,Hititler#42;Hititler#49
.ist=.istanbul,https://tr.wikipedia.org/wiki/.istanbul,2,İstanbulCard#25
.tr,https://tr.wikipedia.org/wiki/.tr,4,Orta Doğu Teknik Üniversitesi#122=Orta Doğu Teknik Üniversitesi#67;TürkiyeCard#36
1 oy kullanmayan üye,https://tr.wikipedia.org/wiki/T%C3%BCrkiye_B%C3%BCy%C3%BCk_Millet_Meclisi_ba%C5%9Fkanlar%C4%B1_listesi,1,Türkiye Büyük Millet MeclisiCard#11
1.,https://tr.wikipedia.org/wiki/T%C3%BCrkiye%27deki_%C5%9Fehirler_listesi,1,İstanbulCard#14
1. Alaaddin Keykubât döneminde,https://tr.wikipedia.org/w/index.php?title=1._Alaaddin_Keykub%C3%A2t_d%C3%B6nemi&action=edit&redlink=1,1,Yenimahalle#20
1. Nihat Erim hükûmeti,https://tr.wikipedia.org/wiki/33._T%C3%BCrkiye_H%C3%BCk%C3%BBmeti,1,Orta Doğu Teknik Üniversitesi#294
1. T.C. Hükûmeti,https://tr.wikipedia.org/wiki/1._T%C3%BCrkiye_H%C3%BCk%C3%BBmeti,1,Mustafa Kemal Atatürk#583
1. Tarihler,https://tr.wikipedia.org/wiki/Tarihler_Kitab%C4%B1,1,Hititler#25
10 Kasım,https://tr.wikipedia.org/wiki/10_Kas%C4%B1m_Atat%C3%BCrk%27%C3%BC_anma_g%C3%BCn%C3%BC_ve_Atat%C3%BCrk_haftas%C4%B1,1,Mustafa Kemal Atatürk#836
10 Temmuz 2018 tarihinde,https://tr.wikipedia.org/wiki/2018_T%C3%BCrkiye_genel_se%C3%A7imleri,1,Adalet ve Kalkınma Partisi#17
10. yüzyılın,https://tr.wikipedia.org/wiki/10._y%C3%BCzy%C4%B1l,1,Büyük Selçuklu İmparatorluğu#21
100 metre,https://tr.wikipedia.org/wiki/100_metre,1,Atletizm#77
11 Eylül 1922 Devrimi,https://tr.wikipedia.org/wiki/11_Eyl%C3%BCl_1922_Devrimi,1,Türk Kurtuluş Savaşı Batı Cephesi#18
11 Eylül saldırılarından,https://tr.wikipedia.org/wiki/11_Eyl%C3%BCl_sald%C4%B1r%C4%B1lar%C4%B1,1,Anıtkabir#298
11 Nisan Stadyumu,https://tr.wikipedia.org/wiki/11_Nisan_Stadyumu,1,Süper Kupa#29
11.,https://tr.wikipedia.org/wiki/11._y%C3%BCzy%C4%B1l,1,Selçuklu Hanedanı#6
11. yüzyıl,https://tr.wikipedia.org/wiki/11._y%C3%BCzy%C4%B1l,1,Şarkışla#28
11. yüzyıldan,https://tr.wikipedia.org/wiki/11._y%C3%BCzy%C4%B1l,1,Anadolu#8
110 metre engelli=60 metre engelli,https://tr.wikipedia.org/wiki/Engelli_ko%C5%9Fu,2,Atletizm#77
1101 Haçlı Seferi,https://tr.wikipedia.org/wiki/1101_Ha%C3%A7l%C4%B1_Seferi,1,Anadolu Selçuklu Devleti#73
12 Eylül 1980 Darbesi,https://tr.wikipedia.org/wiki/12_Eyl%C3%BCl_Darbesi,2,Ulucanlar Cezaevi Müzesi#14=Ulucanlar Cezaevi Müzesi#9
12 Eylül 1980 Darbesi=12 Eylül Darbesi=12 Eylül Darbesine,https://tr.wikipedia.org/wiki/12_Eyl%C3%BCl_Darbesi,3,Milliyetçi Hareket Partisi#27;Milliyetçi Hareket Partisi#35;Milliyetçi Hareket Partisi#9
12 Eylül 1980 darbesine=1980 Askeri Darbesi=1980 askeri darbesi,https://tr.wikipedia.org/wiki/12_Eyl%C3%BCl_Darbesi,3,Cumhuriyet Halk Partisi#11;Cumhuriyet Halk Partisi#140;Cumhuriyet Halk Partisi#68
12 Eylül 1980=12 Eylül 1980 Darbesi=Cumhuriyet Senatosu U:(https://tr.wikipedia.org/wiki/Cumhuriyet_Senatosu_(T%C3%BCrkiye))___ ile birlikte çift meclisli sisteme geçilmiş ve ___E:12 Eylül 1980 Darbesi,https://tr.wikipedia.org/wiki/12_Eyl%C3%BCl_Darbesi,3,Türkiye Büyük Millet Meclisi#193;Türkiye Büyük Millet Meclisi#200;Türkiye Büyük Millet MeclisiCard#3
12 Eylül Darbesi,https://tr.wikipedia.org/wiki/12_Eyl%C3%BCl_Darbesi,2,Anıtkabir#77;Mustafa Kemal Atatürk#867
12 Eylül Darbesi=1980 darbesinin,https://tr.wikipedia.org/wiki/12_Eyl%C3%BCl_Darbesi,2,Adalet ve Kalkınma Partisi#68;Adalet ve Kalkınma Partisi#86
12 Mart 1971,https://tr.wikipedia.org/wiki/12_Mart_Muht%C4%B1ras%C4%B1,1,Türkiye Büyük Millet Meclisi#199
12 Mart 1971 Muhtırası,https://tr.wikipedia.org/wiki/12_Mart_Muht%C4%B1ras%C4%B1,1,Ulucanlar Cezaevi Müzesi#9
12 Mart Muhtırası=muhtıra,https://tr.wikipedia.org/wiki/12_Mart_Muht%C4%B1ras%C4%B1,2,Orta Doğu Teknik Üniversitesi#293;Orta Doğu Teknik Üniversitesi#296
12. yüzyılda,https://tr.wikipedia.org/wiki/12._y%C3%BCzy%C4%B1l,1,Malazgirt Meydan Muharebesi#16
12. yüzyılın,https://tr.wikipedia.org/wiki/12._y%C3%BCzy%C4%B1l,1,Şarkışla#28
1242–43 Moğol istilalarının,https://tr.wikipedia.org/wiki/K%C3%B6seda%C4%9F_Muharebesi,1,Bizans İmparatorluğu#308
13. yüzyıl,https://tr.wikipedia.org/wiki/13._y%C3%BCzy%C4%B1l,2,Anadolu Selçuklu Devleti#18;Malazgirt Meydan Muharebesi#74
13. yüzyılda,https://tr.wikipedia.org/wiki/13._y%C3%BCzy%C4%B1l,2,Ankara keçisi#1;Karamanoğulları Beyliği#1
14 Mayıs 1950 seçimlerine,https://tr.wikipedia.org/wiki/1950_T%C3%BCrkiye_genel_se%C3%A7imleri,1,Adalet ve Kalkınma Partisi#84
14 Mayıs 1950'deki seçimler,https://tr.wikipedia.org/wiki/1950_T%C3%BCrkiye_genel_se%C3%A7imleri,1,Anıtkabir#56
14 Mayıs 2023,https://tr.wikipedia.org/wiki/2023_T%C3%BCrkiye_genel_se%C3%A7imleri,1,Türkiye Büyük Millet MeclisiCard#17
14 Mayıs 2023 genel seçimlerinde=2023 genel seçimlerinde,https://tr.wikipedia.org/wiki/2023_T%C3%BCrkiye_genel_se%C3%A7imleri,2,Adalet ve Kalkınma Partisi#17;Adalet ve Kalkınma Partisi#84
14.,https://tr.wikipedia.org/wiki/14._y%C3%BCzy%C4%B1l,1,Antik Yunanistan#7
14. yüzyıllar,https://tr.wikipedia.org/wiki/14._y%C3%BCzy%C4%B1l,1,Selçuklu Hanedanı#6
14. yüzyılın,https://tr.wikipedia.org/wiki/14._y%C3%BCzy%C4%B1l,1,Şarkışla#29
1402 yılında aldığı darbeden=Ankara Savaşı,https://tr.wikipedia.org/wiki/Ankara_Muharebesi,2,II. Murad#281;II. Murad#54
1402'likler,https://tr.wikipedia.org/wiki/1402%27likler,1,Orta Doğu Teknik Üniversitesi#391
1453=İstanbul'un Fethi,https://tr.wikipedia.org/wiki/%C4%B0stanbul%27un_Fethi,2,Türk Kurtuluş Savaşı Batı Cephesi#75;Türk Kurtuluş Savaşı Batı Cephesi#794
147'ler,https://tr.wikipedia.org/wiki/147%27ler,1,Orta Doğu Teknik Üniversitesi#27
15 Temmuz 1974'te Kıbrıs'ta gerçekleşen darbe,https://tr.wikipedia.org/wiki/1974_K%C4%B1br%C4%B1s_Darbesi,1,Türkiye#112
15 Temmuz Darbe Girişimi,https://tr.wikipedia.org/wiki/15_Temmuz_Darbe_Giri%C5%9Fimi,1,Türkiye Büyük Millet Meclisi#259
15 Temmuz Şehitler Köprüsü,https://tr.wikipedia.org/wiki/15_Temmuz_%C5%9Eehitler_K%C3%B6pr%C3%BCs%C3%BC,2,Otoyol#11;Türkiye#290
15 Temmuz Şehitler=15 Temmuz Şehitler (Boğaziçi)=Boğaziçi Köprüsü,https://tr.wikipedia.org/wiki/15_Temmuz_%C5%9Eehitler_K%C3%B6pr%C3%BCs%C3%BC,4,İstanbul#584;İstanbul#601=İstanbul#84;İstanbul#92
15. yüzyıl,https://tr.wikipedia.org/wiki/15._y%C3%BCzy%C4%B1l,1,Güreş#17
15. yüzyılın,https://tr.wikipedia.org/wiki/15._y%C3%BCzy%C4%B1l,1,Timur İmparatorluğu#7
16.,https://tr.wikipedia.org/wiki/16._y%C3%BCzy%C4%B1l,1,Antik Yunanistan#7
16. Kolordu U:(https://tr.wikipedia.org/wiki/16._Kolordu_(Osmanl%C4%B1_%C4%B0mparatorlu%C4%9Fu))___ komutanlığına atandı. ___E:Edirne=Edirne,https://tr.wikipedia.org/wiki/Edirne,5,Mustafa Kemal Atatürk#148=Mustafa Kemal Atatürk#234=Mustafa Kemal Atatürk#726=Mustafa Kemal Atatürk#91;Mustafa Kemal Atatürk#234
16. yüzyıldakinden,https://tr.wikipedia.org/wiki/16._y%C3%BCzy%C4%B1l,1,Osmanlı İmparatorluğu#423
1694,http://whc.unesco.org/en/list/1694,1,Arslanhane CamiiCard#12
16=GSYİH (nominal) sıralamasında,https://tr.wikipedia.org/wiki/Nominal_GSY%C4%B0H_de%C4%9Ferlerine_g%C3%B6re_%C3%BClkeler_listesi,2,Türkiye#247;TürkiyeCard#20
17.,https://tr.wikipedia.org/wiki/17._y%C3%BCzy%C4%B1l,1,Çorba#9
17. yüzyıl=17. yüzyılın,https://tr.wikipedia.org/wiki/17._y%C3%BCzy%C4%B1l,2,Antik Roma#119;Antik Roma#134
1716-1718 Osmanlı-Avusturya Savaşı,https://tr.wikipedia.org/wiki/1716-1718_Osmanl%C4%B1-Avusturya_Sava%C5%9F%C4%B1,1,Osmanlı İmparatorluğu#243
1789 Fransız Devrimi,https://tr.wikipedia.org/wiki/Frans%C4%B1z_Devrimi,1,Osmanlı İmparatorluğu#285
18,https://tr.wikipedia.org/wiki/N%C3%BCfuslar%C4%B1na_g%C3%B6re_%C3%BClkeler_listesi,1,TürkiyeCard#22
18 Mayıs 1997 tarihinde gerçekleştirilen parti kongresinde=seçilmesinden,https://tr.wikipedia.org/wiki/1997_Milliyet%C3%A7i_Hareket_Partisi_Ola%C4%9Fan%C3%BCst%C3%BC_Kongresi,2,Milliyetçi Hareket Partisi#10;Milliyetçi Hareket Partisi#44
18.,https://tr.wikipedia.org/wiki/18._y%C3%BCzy%C4%B1l,1,Çorba#9
18. yüzyıl,https://tr.wikipedia.org/wiki/18._y%C3%BCzy%C4%B1l,1,Antik Roma#134
18. yüzyılda,https://tr.wikipedia.org/wiki/18._y%C3%BCzy%C4%B1l,3,Osmanlı İmparatorluğu#423=Osmanlı İmparatorluğu#428;Santigrat#2
1831-1833 Osmanlı-Mısır Savaşı,https://tr.wikipedia.org/wiki/1831-1833_Osmanl%C4%B1-M%C4%B1s%C4%B1r_Sava%C5%9F%C4%B1,1,Osmanlı İmparatorluğu#257
1839-1841 Osmanlı-Mısır Savaşı,https://tr.wikipedia.org/wiki/1839-1841_Osmanl%C4%B1-M%C4%B1s%C4%B1r_Sava%C5%9F%C4%B1,1,Osmanlı İmparatorluğu#264
"1856 Paris Anlaşması U:(https://tr.wikipedia.org/wiki/Paris_Antla%C5%9Fmas%C4%B1_(1856))___ 'nda ülkenin adını Türkistan olarak belirtir, aynı uygulamayı ___E:II. Abdülhamid=II. Abdülhamid",https://tr.wikipedia.org/wiki/II._Abd%C3%BClhamid,7,Osmanlı İmparatorluğu#276=Osmanlı İmparatorluğu#314=Osmanlı İmparatorluğu#345=Osmanlı İmparatorluğu#377=Osmanlı İmparatorluğu#509=Osmanlı İmparatorluğu#634;Osmanlı İmparatorluğu#32
1875-78 Doğu Krizi,https://tr.wikipedia.org/wiki/Do%C4%9Fu_Sorunu,1,Türkiye#83
1877-78 Osmanlı-Rus Savaşı,https://tr.wikipedia.org/wiki/93_Harbi,2,Osmanlı İmparatorluğu#278;Türkiye#83
1896 Yaz Olimpiyatları,https://tr.wikipedia.org/wiki/1896_Yaz_Olimpiyatlar%C4%B1,1,Güreş#26
