E,U,Frekans,Kaynak_IDler
İzmir,https://tr.wikipedia.org/wiki/%C4%B0zmir,32,2010 FIBA Dünya Basketbol Şampiyonası#3;Ankara#5;Ankara#69;Anıtkabir#313;Asklepios#19;Black people - Wikipedia#92;Demiryolu ulaşımı#19;Demiryolu ulaşımı#21;Efes#1;Germiyanoğulları Beyliği#45;Heyet-i Temsiliye#28;II. Murad#8;Kral Yolu#6;Mustafa Kemal Atatürk#552;Osmanlı İmparatorluğu#368;Osmanlı İmparatorluğu#521;Polatlı#22;Supreme Court of the United States - Wikipedia#151;Timur#465;Türk Hava Kurumu Müzesi#14;Türk Kurtuluş Savaşı Batı Cephesi#6;Türk Kurtuluş Savaşı Batı Cephesi#959;Türk Kurtuluş Savaşı Batı Cephesi#977;Türk Kurtuluş Savaşı#177;Türk Kurtuluş Savaşı#71;Türk Kurtuluş Savaşı#72;Türkiye Futbol Şampiyonası#5;Zeytinyağı#124;İstanbul#257;İstanbul#520;İstanbul#596;İstanbul#86
Adolf Hitler,https://tr.wikipedia.org/wiki/Adolf_Hitler,19,2009 Iranian presidential election - Wikipedia#37;Anıtkabir#102;Benjamin Netanyahu - Wikipedia#257;Death and state funeral of Nelson Mandela - Wikipedia#30;Europe - Wikipedia#222;Franklin D. Roosevelt - Wikipedia#307;Franklin D. Roosevelt - Wikipedia#506;General Motors - Wikipedia#58;Great Depression - Wikipedia#10;Muammar Gaddafi - Wikipedia#490;Mustafa Kemal Atatürk#725;Mustafa Kemal Atatürk#850;Osama bin Laden - Wikipedia#365;Racial profiling - Wikipedia#82;Tim Kaine - Wikipedia#64;Time Person of the Year - Wikipedia#31;University of Washington - Wikipedia#203;World War II - Wikipedia#11;World War II - Wikipedia#44
Agora,https://tr.wikipedia.org/wiki/Agora,6,Antik Yunanistan#176;Herodot#47;Jesus - Wikipedia#298;Times Square - Wikipedia#41;İzmir#186;İzmir#68
albedo,https://tr.wikipedia.org/wiki/Albedo,4,Climate change mitigation - Wikipedia#11;Greenhouse gas emissions - Wikipedia#138;International Space Station - Wikipedia#297;Kırkikindi yağışları#5
Albert Einstein,https://tr.wikipedia.org/wiki/Albert_Einstein,7,City College of New York - Wikipedia#169;Franklin D. Roosevelt - Wikipedia#379;Nuclear weapon - Wikipedia#140;Nuclear weapon - Wikipedia#241;Nuclear weapon - Wikipedia#266;Orta Doğu Teknik Üniversitesi#161;Time Person of the Year - Wikipedia#28
Ali,https://tr.wikipedia.org/wiki/Ali,2,Afghanistan - Wikipedia#408;Timur#563
Jewish immigration,https://tr.wikipedia.org/wiki/Aliyah,7,Arab–Israeli conflict - Wikipedia#38;Israel - Wikipedia#8;Palestine - Wikipedia#49;Two-state solution - Wikipedia#23;Türkiye#346;Zionism - Wikipedia#3;Zionism - Wikipedia#337
alkali,https://tr.wikipedia.org/wiki/Alkali,2,Chlorine - Wikipedia#211;Gıda#40
Allah,https://tr.wikipedia.org/wiki/Allah,7,Hamas - Wikipedia#193;Indonesian language - Wikipedia#399;Malazgirt Meydan Muharebesi#41;Mustafa Kemal Atatürk#808;Osmanlı İmparatorluğu#301;Resurrection of Jesus - Wikipedia#252
Alparslan Türkeş,https://tr.wikipedia.org/wiki/Alparslan_T%C3%BCrke%C5%9F,11,Büyük Birlik Partisi#21;Central Intelligence Agency - Wikipedia#302;Milliyetçi Hareket Partisi#1;Milliyetçi Hareket Partisi#19;Milliyetçi Hareket Partisi#21;Milliyetçi Hareket Partisi#31;Milliyetçi Hareket Partisi#44;Milliyetçi Hareket Partisi#6;Milliyetçi Hareket PartisiCard#4;Orta Doğu Teknik Üniversitesi#365;Orta Doğu Teknik Üniversitesi#374
