E,U,Frekans,Kaynak_IDler
FIVB,https://tr.wikipedia.org/wiki/Uluslararas%C4%B1_Voleybol_Federasyonu,5,Voleybol#25;Voleybol#27;Voleybol#86;Voleybol#87;VoleybolCard#1
Genç Erkekler Hristiyan Birliği (YMCA),https://tr.wikipedia.org/wiki/YMCA,2,Voleybol#20;Voleybol#23
ABD,https://tr.wikipedia.org/wiki/Amerika_Birle%C5%9Fik_Devletleri,2,Voleybol#20;VoleybolCard#2
plaj,https://tr.wikipedia.org/wiki/Plaj_voleybolu,2,Voleybol#29;VoleybolCard#4
file,https://tr.wikipedia.org/wiki/File,1,Voleybol#1
Massachusetts,https://tr.wikipedia.org/wiki/Massachusetts,1,Voleybol#20
takım sporudur,https://tr.wikipedia.org/wiki/Tak%C4%B1m_sporu,1,Voleybol#1
I. Dünya Savaşı,https://tr.wikipedia.org/wiki/I._D%C3%BCnya_Sava%C5%9F%C4%B1,1,Voleybol#24
William G. Morgan,https://tr.wikipedia.org/wiki/William_G._Morgan,1,Voleybol#20
Paris'te,https://tr.wikipedia.org/wiki/Paris,1,Voleybol#25
İsviçre'nin,https://tr.wikipedia.org/wiki/%C4%B0svi%C3%A7re,1,Voleybol#27
Lozan,https://tr.wikipedia.org/wiki/Lozan,1,Voleybol#27
Üniversiteler Ulusal Spor Birliği'nin (NCAA),https://tr.wikipedia.org/wiki/National_Collegiate_Athletic_Association,1,Voleybol#23
1964 Yaz Olimpiyatlarından,https://tr.wikipedia.org/wiki/1964_Yaz_Olimpiyatlar%C4%B1,1,Voleybol#28
1996 Yaz Olimpiyatları,https://tr.wikipedia.org/wiki/1996_Yaz_Olimpiyatlar%C4%B1,1,Voleybol#29
Paralimpik Oyunlarına,https://tr.wikipedia.org/wiki/Paralimpik_Oyunlar%C4%B1,1,Voleybol#30
Oturarak Voleybol,https://tr.wikipedia.org/wiki/Oturarak_voleybol,1,Voleybol#31
basıncı,https://tr.wikipedia.org/wiki/Bas%C4%B1n%C3%A7,1,Voleybol#116
"Holyoke, Massachusetts","https://tr.wikipedia.org/wiki/Holyoke,_Massachusetts",1,VoleybolCard#2
Voleybol topu,https://tr.wikipedia.org/wiki/Voleybol_topu,1,VoleybolCard#5
1964,https://tr.wikipedia.org/wiki/1964_Yaz_Olimpiyatlar%C4%B1%27nda_voleybol,1,VoleybolCard#6
