E,U,Frekans,Kaynak_IDler
Gernot Windfuhr,https://en-m-wikipedia-org.translate.goog/wiki/Gernot_Ludwig_Windfuhr?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc,1,Medler#109
Κῦρος,https://en.wiktionary.org/wiki/%CE%9A%E1%BF%A6%CF%81%CE%BF%CF%82,1,II. Kiros#18
Kırşehirli Aşık Paşa,https://tr.wikipedia.org/wiki/%C3%82%C5%9F%C4%B1k_Pa%C5%9Fa,2,Osmanlı İmparatorluğu#533;Osmanlı İmparatorluğu#90
Âşık Kul Veli,https://tr.wikipedia.org/wiki/%C3%82%C5%9F%C4%B1k_Veli,1,Şarkışla#108
Âşık Veysel,https://tr.wikipedia.org/wiki/%C3%82%C5%9F%C4%B1k_Veysel,1,Şarkışla#159
Âşıkpaşazâde,https://tr.wikipedia.org/wiki/%C3%82%C5%9F%C4%B1kpa%C5%9Faz%C3%A2de,6,Ankara Muharebesi#111;I. Bayezid#12;I. Murad#13;I. Murad#20;Osmanlı İmparatorluğu#115;Osmanlı İmparatorluğu#52
Ç,https://tr.wikipedia.org/wiki/%C3%87,1,Türkçe#138
çökelek,https://tr.wikipedia.org/wiki/%C3%87%C3%B6kelek,1,Kartalaç#2
çöller,https://tr.wikipedia.org/wiki/%C3%87%C3%B6l,1,Bozkır#7
çöl iklimi,https://tr.wikipedia.org/wiki/%C3%87%C3%B6l_iklimi,1,Yarı kurak iklim#1
çömlek,https://tr.wikipedia.org/wiki/%C3%87%C3%B6mlek,1,Kimmerler#54
çanak çömlek,https://tr.wikipedia.org/wiki/%C3%87%C3%B6mlek%C3%A7ilik,2,Tunç Çağı#6
çörtenler,https://tr.wikipedia.org/wiki/%C3%87%C3%B6rten,1,Anıtkabir#115
barış görüşmeleri,https://tr.wikipedia.org/wiki/%C3%87%C3%B6z%C3%BCm_S%C3%BCreci,2,Milliyetçi Hareket Partisi#11;Türkiye#116
Çıkış,https://tr.wikipedia.org/wiki/%C3%87%C4%B1k%C4%B1%C5%9F_Kitab%C4%B1,1,Hititler#248
Çıkrıkçılar Yokuşu,https://tr.wikipedia.org/wiki/%C3%87%C4%B1kr%C4%B1k%C3%A7%C4%B1lar_Yoku%C5%9Fu,1,1916 Ankara Yangını#2
çınar,https://tr.wikipedia.org/wiki/%C3%87%C4%B1nar,1,İstanbul#166
Çırağan Sarayı,https://tr.wikipedia.org/wiki/%C3%87%C4%B1ra%C4%9Fan_Saray%C4%B1,1,2010 FIBA Dünya Basketbol Şampiyonası#7
Çıtak,https://tr.wikipedia.org/wiki/%C3%87%C4%B1tak,1,"Çubuk, Ankara#13"
çağlar,https://tr.wikipedia.org/wiki/%C3%87a%C4%9F,1,Atletizm#2
Çağa Kasabası,"https://tr.wikipedia.org/wiki/%C3%87a%C4%9Fa,_G%C3%BCd%C3%BCl",1,Güdül#26
Çağatay'a,https://tr.wikipedia.org/wiki/%C3%87a%C4%9Fatay_Han,1,Timur#18
Çağatay Hanlığı,https://tr.wikipedia.org/wiki/%C3%87a%C4%9Fatay_Hanl%C4%B1%C4%9F%C4%B1,11,Anadolu Selçuklu Devleti#2;Büyük Selçuklu İmparatorluğu#2;Germiyanoğulları Beyliği#2;Karamanoğulları Beyliği#27;Osmanlı İmparatorluğu#2;Selçuklu Hanedanı#2;Timur İmparatorluğu#2;Timur#18;Timur#2;Timur#21;Timur#4
