E,U,Frekans,Kaynak_IDler
Vienna,https://en.wikipedia.org/wiki/Vienna,4,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#2;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#234;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#299;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#6
Geneva interim agreement,https://en.wikipedia.org/wiki/Geneva_interim_agreement_on_the_Iranian_nuclear_program,4,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#11;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#123;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#32;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#4
International Atomic Energy Agency,https://en.wikipedia.org/wiki/International_Atomic_Energy_Agency,4,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#159;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#167;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#234;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#70
Security Council Resolution 1929,https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_1929,4,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#123;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#167;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#196;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#211
Ali Khamenei,https://en.wikipedia.org/wiki/Ali_Khamenei,4,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#202;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#234;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#238;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#252
Iran's nuclear program,https://en.wikipedia.org/wiki/Nuclear_program_of_Iran,3,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#12;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#196;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#3
Iran,https://en.wikipedia.org/wiki/Iran,3,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#1;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#2;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#238
Benjamin Netanyahu,https://en.wikipedia.org/wiki/Benjamin_Netanyahu,3,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#244;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#292;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#76
Mohammad Javad Zarif,https://en.wikipedia.org/wiki/Mohammad_Javad_Zarif,3,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#17;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#249;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#63
George Shultz,https://en.wikipedia.org/wiki/George_Shultz,3,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#208;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#244;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#274
Catherine Ashton,https://en.wikipedia.org/wiki/Catherine_Ashton,2,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#14;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#21
IAEA,https://en.wikipedia.org/wiki/IAEA,2,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#24;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#7
Hassan Rouhani,https://en.wikipedia.org/wiki/Hassan_Rouhani,2,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#178;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#9
European Union,https://en.wikipedia.org/wiki/European_Union,2,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#2;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#9
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom,2,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#2;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#284
United States House Committee on Foreign Affairs,https://en.wikipedia.org/wiki/United_States_House_Committee_on_Foreign_Affairs,2,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#139;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#31
Security Council,https://en.wikipedia.org/wiki/Security_Council,2,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#123;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#42
Muscat,"https://en.wikipedia.org/wiki/Muscat,_Oman",2,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#114;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#43
Wendy Sherman,https://en.wikipedia.org/wiki/Wendy_Sherman,2,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#17;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#80
fatwa,https://en.wikipedia.org/wiki/Fatwa,2,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#234;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#236
Barack Obama,https://en.wikipedia.org/wiki/Barack_Obama,2,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#243;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#290
Federica Mogherini,https://en.wikipedia.org/wiki/Federica_Mogherini,2,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#299;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#63
Under Secretary of State for Arms Control and International Security Affairs,https://en.wikipedia.org/wiki/Under_Secretary_of_State_for_Arms_Control_and_International_Security_Affairs,2,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#128;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#142
Sergey Lavrov,https://en.wikipedia.org/wiki/Sergey_Lavrov,2,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#300;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#49
plutonium,https://en.wikipedia.org/wiki/Plutonium,2,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#138;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#67
US Congress,https://en.wikipedia.org/wiki/US_Congress,2,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#76
Nonproliferation Treaty,https://en.wikipedia.org/wiki/Treaty_on_the_Non-Proliferation_of_Nuclear_Weapons,2,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#164;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#8
from one to four reports,"https://en.wikipedia.org/wiki/Nuclear_program_of_Iran#International_Atomic_Energy_Agency_reports,_2007–2015",2,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#167;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#6
nuclear weapons,https://en.wikipedia.org/wiki/Nuclear_weapon,2,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#234;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#8
economic sanctions on Iran,https://en.wikipedia.org/wiki/Sanctions_against_Iran,2,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#12;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#5
P5+1,https://en.wikipedia.org/wiki/P5%2B1,2,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#1;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#2
Robert Joseph,https://en.wikipedia.org/wiki/Robert_Joseph,2,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#128;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#51
Lausanne,https://en.wikipedia.org/wiki/Lausanne,2,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#105;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#63
Yukiya Amano,https://en.wikipedia.org/wiki/Yukiya_Amano,2,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#178;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#225
Henry Kissinger,https://en.wikipedia.org/wiki/Henry_Kissinger,2,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#188;Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#244
Joint Comprehensive Plan of Action,https://en.wikipedia.org/wiki/Joint_Comprehensive_Plan_of_Action,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#1
Persian,https://en.wikipedia.org/wiki/Persian_language,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#2
permanent members of the United Nations Security Council,https://en.wikipedia.org/wiki/Permanent_members_of_the_United_Nations_Security_Council,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#2
China,https://en.wikipedia.org/wiki/China,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#2
Germany,https://en.wikipedia.org/wiki/Germany,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#2
France,https://en.wikipedia.org/wiki/France,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#2
Russia,https://en.wikipedia.org/wiki/Russia,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#2
United States,https://en.wikipedia.org/wiki/United_States,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#2
NTI,https://en.wikipedia.org/wiki/Nuclear_Threat_Initiative,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#7
nuclear facilities in Iran,https://en.wikipedia.org/wiki/Nuclear_facilities_in_Iran,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#7
negotiations on Iran nuclear deal framework,https://en.wikipedia.org/wiki/Negotiations_on_Iran_nuclear_deal_framework,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#6
2013 Presidential election of Iran,"https://en.wikipedia.org/wiki/Iranian_presidential_election,_2013",1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#10
