E,U,Frekans,Kaynak_IDler
Khulumani Support Group,https://de.wikipedia.org/wiki/Khulumani,1,General Motors - Wikipedia#265
first revealed,"https://en.wikinews.org/wiki/Margaret_Thatcher_suffering_from_dementia,_says_daughter",1,Margaret Thatcher - Wikipedia#351
$Trump,https://en.wikipedia.org/wiki/$Trump,1,Donald Trump - Wikipedia#351
Polish concentration camps,https://en.wikipedia.org/wiki/%22Polish_death_camp%22_controversy,1,Benjamin Netanyahu - Wikipedia#518
valor,https://en.wikipedia.org/wiki/%22V%22_device,1,David Petraeus - WikipediaCard#16
'Uruq Bani Ma'arid,https://en.wikipedia.org/wiki/%27Uruq_Bani_Ma%27arid,1,Saudi Arabia - Wikipedia#491
+–=÷× Tour,https://en.wikipedia.org/wiki/%2B%E2%80%93%3D%C3%B7%C3%97_Tour,1,Empower Field at Mile High - WikipediaCard#9
+254,https://en.wikipedia.org/wiki/%2B254,1,Kenya - WikipediaCard#32
+970,https://en.wikipedia.org/wiki/%2B970,1,Palestine - WikipediaCard#30
+972 magazine,https://en.wikipedia.org/wiki/%2B972_magazine,1,2014 Gaza War - Wikipedia#178
Álvar Núñez Cabeza de Vaca,https://en.wikipedia.org/wiki/%C3%81lvar_N%C3%BA%C3%B1ez_Cabeza_de_Vaca,3,Hispanic and Latino Americans - Wikipedia#51;Hispanic and Latino Americans - Wikipedia#54;Texas - Wikipedia#59
Álvaro Obregón,https://en.wikipedia.org/wiki/%C3%81lvaro_Obreg%C3%B3n,2,Calvin Coolidge - Wikipedia#243;Warren G. Harding - Wikipedia#288
Ángel Cabrera,https://en.wikipedia.org/wiki/%C3%81ngel_Cabrera,1,Hispanic - Wikipedia#97
Ángel Castro,https://en.wikipedia.org/wiki/%C3%81ngel_Castro_y_Argiz,2,Raúl Castro - Wikipedia#10;Raúl Castro - WikipediaCard#12
Ángel Nieto,https://en.wikipedia.org/wiki/%C3%81ngel_Nieto,1,Hispanic - Wikipedia#97
Ángel de Villafañe,https://en.wikipedia.org/wiki/%C3%81ngel_de_Villafa%C3%B1e,1,Gulf of Mexico - Wikipedia#108
Ángela Aguilar,https://en.wikipedia.org/wiki/%C3%81ngela_Aguilar,1,Hispanic and Latino Americans - Wikipedia#487
Åke Sellström,https://en.wikipedia.org/wiki/%C3%85ke_Sellstr%C3%B6m,4,Ghouta chemical attack - Wikipedia#51;Ghouta chemical attack - Wikipedia#66;Ghouta chemical attack - Wikipedia#83;Ghouta chemical attack - Wikipedia#9
Åland,https://en.wikipedia.org/wiki/%C3%85land,1,Europe - Wikipedia#353
Åmål,https://en.wikipedia.org/wiki/%C3%85m%C3%A5l,1,Women's suffrage - Wikipedia#410
Éamon de Valera,https://en.wikipedia.org/wiki/%C3%89amon_de_Valera,1,Women's suffrage - Wikipedia#336
Écoles Normales Supérieures,https://en.wikipedia.org/wiki/%C3%89cole_normale_sup%C3%A9rieure,1,Ivy League - Wikipedia#18
Élysée,https://en.wikipedia.org/wiki/%C3%89lys%C3%A9e,1,France 24 - Wikipedia#51
Élysée,https://en.wikipedia.org/wiki/%C3%89lys%C3%A9e_Palace,2,France 24 - Wikipedia#133;France 24 - Wikipedia#27
Éric Zemmour,https://en.wikipedia.org/wiki/%C3%89ric_Zemmour,1,Second inauguration of Donald Trump - Wikipedia#62
Étienne Serres,https://en.wikipedia.org/wiki/%C3%89tienne_Serres,1,Anthropology - Wikipedia#11
HPÊ,https://en.wikipedia.org/wiki/%C3%8Az%C3%AEdxan_Protection_Force,1,Sinjar massacre - Wikipedia#22
Ñengo Flow,https://en.wikipedia.org/wiki/%C3%91engo_Flow,1,Hispanic and Latino Americans - Wikipedia#487
